"";"24hpf_neg";"24hpf_pos";"24hpf_pos.1";"48hpf_neg";"48hpf_pos";"48hpf_pos.1";"72hpf_neg";"72hpf_pos";"72hpf_pos.1";"72hpf_neg_gata5";"72hpf_pos_gata5";"72hpf_pos_gata5.1";"72hpf_neg_tbx5";"72hpf_pos_tbx5";"72hpf_pos_tbx5.1";"72hpf_neg_hand2";"72hpf_pos_hand2";"72hpf_pos_hand2.1"
"'de novo' protein folding";1,9074810094875;2,9231321515115;1,47398378503788;-0,936151435085189;-0,524253958368593;-0,770074709619765;-0,549598783137197;-0,947673582039822;0,859960410787518;-2,3591469305297;0,0612891780324377;-0,711989166544192;-1,60774019075102;-0,162045571931801;-0,391464191805622;0,519529247260532;-1,17752312572665;-0,00896061298333187
"1-phosphatidylinositol-3-kinase activity";-2,19287518559227;1,06772277535301;0,672448006309452;-0,900733664185947;1,36409757870337;1,68516445196283;-1,52652713765614;0,535491075623659;-0,553764645607505;-1,60576182031645;1,27838189303755;1,86160639387294;-1,97849671619732;0,735738680917588;0,188334147349077;-1,47162463564913;1,48172065806782;0,798191529455861
"2 iron, 2 sulfur cluster binding";-2,53384189283884;0,479008784366746;-0,715909402136125;-5,06529280648127;5,56272028003101;4,2154409122164;-3,67288063000111;3,64336667139011;2,14634806415742;-4,30882296161978;3,52983066805404;5,09873104288055;-5,51854390784089;0,709943249702745;3,23881700667043;-5,96752495091883;2,22703398620987;2,81251229209414
"3'-5' exonuclease activity";3,48542289729831;2,90253527422797;3,08387974116538;0,0427044975289664;-2,45252825147554;-2,25650868844284;0,842351720743104;-0,513202934756712;-0,954025479264784;-0,931437350247266;-2,00219033517192;-1,48048079064425;-1,27681466758892;-0,659273634703086;-0,610412446776975;-1,2120859686617;-0,586107681150116;0,289005551154944
"3',5'-cyclic-nucleotide phosphodiesterase activity";-2,20401757144768;-1,63559436816766;-0,0933607534785468;0,381333838187005;-1,67315147132489;-2,9254117405222;2,92374547659277;0,395581216443248;1,93557631474415;1,09971227286454;-0,622625537681611;-1,8361570827334;4,21624859505362;-0,30969751710237;-0,509133843704215;2,6359623895678;-1,35248947462664;-1,98170981873443
"3-oxo-arachidoyl-CoA synthase activity";-0,532820930021816;0,110090523113951;-0,458246433315426;0,139641970664047;0,30619750308023;-1,33353284642599;-0,220997080153521;0,0662109216737244;2,20265901618229;0,0669353565643439;1,63485578616122;-0,669631394791281;-0,385250913803882;-0,490305487341591;1,23350561605055;-1,67279290156859;0,394421908925166;-0,144395013960249
"3-oxo-cerotoyl-CoA synthase activity";-0,532820930021816;0,110090523113951;-0,458246433315426;0,139641970664047;0,30619750308023;-1,33353284642599;-0,220997080153521;0,0662109216737244;2,20265901618229;0,0669353565643439;1,63485578616122;-0,669631394791281;-0,385250913803882;-0,490305487341591;1,23350561605055;-1,67279290156859;0,394421908925166;-0,144395013960249
"3-oxo-lignoceronyl-CoA synthase activity";-0,532820930021816;0,110090523113951;-0,458246433315426;0,139641970664047;0,30619750308023;-1,33353284642599;-0,220997080153521;0,0662109216737244;2,20265901618229;0,0669353565643439;1,63485578616122;-0,669631394791281;-0,385250913803882;-0,490305487341591;1,23350561605055;-1,67279290156859;0,394421908925166;-0,144395013960249
"4 iron, 4 sulfur cluster binding";0,623476669608121;0,955715123091913;0,582852121648599;-4,13957730361438;1,97934683556296;1,02596500961805;-1,3728873554836;2,9144503556403;0,983527252982774;-3,88541573296526;1,57614899764363;2,16479904394691;-4,36876147128488;1,66556506101255;2,55219888363978;-4,19947536462258;1,56950232982887;1,83115891408359
"5'-nucleotidase activity";-0,510637784242736;0,0690431139224264;0,859785573459111;0,727571755501108;1,02549872303224;0,680325779524913;0,181558989966189;-1,09041013444038;-3,53340961517056;0,87990018825376;-0,126756582120433;0,355741986847717;1,40415204307735;-0,0614082483695668;-0,287924891089807;-0,228085499767557;-0,163633057818989;-0,421664493049343
"acetylcholine-gated cation-selective channel activity";1,00788481144325;-0,0182164576324019;-0,18599266379357;0,520844677812639;-0,364925966441432;-0,932334434557723;-0,316712189560699;-1,54866533008168;0,206057790972713;1,7602523866293;-0,661179607639452;-1,34969583523421;2,39779606653624;-0,498946129333906;-1,28560480061873;1,69653832513828;-0,792820814231243;-1,13237061965737
"acetylcholine-gated channel complex";1,170912490377;0,223025794792588;-0,0730176244581119;0,354285585109103;0,131988485300146;-0,810503764465922;-0,237925174145881;-1,48752887474505;-0,146741053323362;0,863849925089279;-0,866482800376068;-1,11209536576009;2,01813646553362;-0,538038395528745;-0,984910625226544;1,35114529014557;-0,325573789262476;-0,791010355114824
"acetylcholine binding";1,24178679889678;0,111280849648612;-0,06685159782128;0,455465162599507;0,122683574036845;-0,776734639033555;-0,455164963984225;-1,2228353243298;0,203303175539502;0,574325614374895;-0,9334295591815;-1,194351381176;2,01938445584118;-0,499339012063418;-1,17209753215214;1,47480067813028;-0,307001646530119;-0,838640656773799
"acetylgalactosaminyltransferase activity";0,476401346627305;-0,0117362278808848;-2,05096623159462;2,18942200404482;-1,64275763379835;-0,410843256649514;3,40850639303758;-2,14699430913198;0,838737442920017;2,82257254226023;-1,6880635738464;-1,10075386303395;2,34297893093114;-1,07741300692204;-1,14652139753606;2,06521389629798;-2,41083229129284;-1,84988833035168
"acetylglucosaminyltransferase activity";0,236438214218163;1,37630119663571;1,42265782835026;0,11056611810004;-1,48569139333941;-0,71250809824916;-0,114901323799268;0,0797350235818774;1,08643647108302;0,501194415882841;0,923324729979404;-0,756643324398256;-0,693056304458802;-0,543084412771545;-1,9048853322706;-0,354318826966027;-0,730505991085152;-0,505732445481703
"acid phosphatase activity";-1,68425919630908;-0,136603361415672;0,951227775348248;-1,84895803040434;-0,257297764028727;0,114142099055792;-0,820222745079829;0,53752796101628;1,064612198679;-0,655833893342242;1,55654793388277;1,05379933290078;-1,46290268683378;0,947290102970736;0,931174658534044;-1,68897947864735;1,87224251379677;0,559348884423232
"acrosin binding";0,401700009125431;0,369076115222246;0,284259925178278;-0,0808933676937138;0,256275064162703;-0,348869010741223;-0,412638906981731;-0,142860326048787;-0,165324831157652;0,000457004584356302;-0,266744382412165;0,110965345124292;-0,229400928995582;-0,175694892172933;0,0474999832004191;-0,178787101473373;0,18663690890049;0,0110883834081473
"actin binding";-6,94681847865991;-6,25534455756459;-6,44198093887194;-4,88747757881443;2,75156478203912;5,01424473795018;-0,546290540377647;3,25239360599956;6,28628650692658;-0,583774907879592;3,87196863393979;-3,31247619864867;0,247646953106481;7,32470482271141;0,240536376901929;-1,52672563989047;9,3049064663052;4,27603967494456
"actin cytoskeleton";-2,59490909356981;-2,90959959571561;-2,19080936962809;-3,29531392300821;4,46600133766613;3,31064429207515;-1,13147760795494;1,39844549312465;2,9337034828889;-3,49043502698772;4,72321712858951;1,92514761027483;-3,78705548400166;0,552086605354349;2,77218539689455;-2,99286516745621;3,95294180236901;3,48823834105246
"actin cytoskeleton organization";-3,42433008944407;-1,14498392492328;-0,756221834090391;-0,45454378236912;-0,907862357058394;2,45432649333757;0,739959234498468;-0,450187898543454;-0,208419466451371;0,94931699238748;0,345497815212799;0,0929304083953408;1,30026390273724;1,65235793850604;-0,52951565603639;1,05259702036292;0,290780219689363;0,834503049185727
"actin cytoskeleton reorganization";-0,603398869168863;-0,580251824719755;0,118009644169532;-0,818393987112976;0,56867107475089;-0,988987404009817;-0,527115747921483;1,26423148163759;0,200460961411474;-0,11846635448482;-0,570249467125305;0,975589356961099;-0,374773001635125;0,608940791941544;0,0218307801553212;-0,431650030888419;0,932620300168811;1,00858871963117
"actin filament";-2,53411623197513;-3,11975914478891;-2,95347519627522;-2,9942078744344;1,55875783129744;1,46285330746532;-0,231922262712979;1,66362760568095;3,43749185209736;-0,455671064948002;2,38094608351291;1,70419714172845;-1,07275071354756;1,37527633340205;1,40926483895416;-0,14499487850597;2,52737900673003;1,15467976407173
"actin filament binding";-3,46226700706932;-3,37200894989063;-1,20876471019992;-4,34543533230276;2,41317908957577;4,05726728826709;0,344588971623367;2,0086019463854;6,29196729441296;-0,701790762858187;2,36542777093102;-2,41539826647671;-2,7458760947396;1,20779664281155;-0,574150192631106;-1,29411583308089;4,91622875999013;2,07661103723571
"actin filament bundle assembly";-0,275340689390656;-0,415402222545135;-1,02308423877073;0,919151086658361;-1,66125712350587;0,0749209003626734;1,79489573770942;1,03834110979821;1,20623327924477;1,35243617149295;-0,0673917232444572;-0,363926570759825;0,570853832724906;0,0896082344957219;-1,37839692923166;0,729208136605901;-1,06707404467541;-1,92429834351419
"actin filament organization";-3,174873639453;-2,19261003070879;-0,586534212646904;-2,7322803385624;4,50104390476727;4,18788709685241;-0,837664468393308;1,71821878764189;3,26346515233902;-1,0447911208626;0,832653780374585;-3,64166809844022;-1,2101036151373;0,420164801234271;-1,99117439150128;-0,960488797650732;5,49068597261002;2,7137930044572
"actin filament polymerization";-2,0869573069173;-1,61153155036996;-0,877823122371695;-2,55985039405119;2,37130757964342;1,44405671138163;-1,86419360594812;2,04490382692086;-0,869607629576289;-2,24359155559125;3,47924610483226;2,96293549306335;-3,61236758577444;0,997142774099354;3,05340498970176;-1,99711088429465;3,1588979077509;3,18449051705663
"actin monomer binding";-0,329766958527487;-2,2125470370607;-0,00646593883756085;-0,58797111108976;1,40177357956854;-0,276462329707774;0,926386811086765;-0,0422400816736349;-0,615714337179611;1,07541543749844;2,27267317302315;1,20858968442667;-0,269619972389987;0,0731564026728461;-1,20689030806523;-0,938492821376525;0,270449193540467;0,867995055936856
"actin nucleation";-2,10081646607925;-4,32534765117507;-3,75458948087767;-0,356010615614545;0,760313851729563;2,24804440566432;-0,246684259045838;1,70840692345262;3,44914475279882;-0,0613230521575668;1,91976707828032;1,08263757093479;0,781746413056614;1,34905895886426;1,25060071401729;0,160760874000455;0,939124239286021;0,202504921941748
"actin polymerization or depolymerization";-0,6446090136787;-1,05643675397579;-0,233989576109562;-0,0172366987241341;-1,67699125497154;-0,976924742272843;0,257883399478457;-0,380912826952183;0,398036899619467;0,430962682426338;1,06150346734513;-1,09753541837438;0,0616629255207032;0,294482931438185;0,921684608664291;-0,21128448766815;1,62754754487825;1,98443650328797
"activation of GTPase activity";-3,10222004282421;-1,05837597045203;-1,31576401443118;-1,50588427043402;1,35336530745068;2,63622660844396;-2,49131999720751;1,02126336284911;0,37785217066357;-2,31106687006387;0,878976128101321;0,967557119049832;0,223663828114979;2,74548421160992;2,598405720891;-2,7154032071816;3,04825101397314;3,06184624009183
"activation of MAPK activity";-1,15899115217422;-0,103385826925494;-0,0227183778787613;-1,26623452499105;-0,11860004964761;0,606930939890518;-1,1756582744383;-0,16143385241758;0,332148150614018;-0,885808123236402;-1,30884850425767;1,50113342652248;-0,317145001218392;1,04981324593689;1,06207191286304;-0,571803183475617;2,23902755041736;1,59168257285311
"activation of MAPKK activity";-0,0238112898817995;-0,830089056706047;-0,136898709276988;0,776848362376164;-1,11840683592033;0,55595450700053;0,108319933084243;-2,17812777402837;0,0076661342485978;0,223225176972082;-0,120398749701172;-0,100122386298745;0,487333737986216;0,578354205627532;-0,0757441108897575;0,850538132860786;0,737969874485144;0,563892736208276
"activation of MAPKKK activity";-1,04900178504017;-2,13202300582596;-2,15091737030783;-1,1477935879029;1,7662324617414;0,681337403562388;-0,68766947606628;2,12179584592643;1,02444427920168;1,6102868581517;-0,0720636531310582;0,655540375135386;0,659762575630191;1,13695502896968;1,1130907360938;-0,189924724302811;0,29411174473357;-0,953772481991401
"activation of protein kinase activity";0,902226162148379;0,445399060428446;1,69917005704893;0,0351702255426943;-1,05956424621683;0,355429053577712;0,300136487321536;-0,879063940137707;1,36475698811205;-1,79373881473057;-2,07343731871203;-1,55866289150377;-0,73911007562108;-0,113321435435918;0,215981820567908;0,316549704049639;0,281724970969306;0,89124395747854
"actomyosin structure organization";0,404917876349985;-0,372367186740696;-0,912503643478543;0,703360244897343;-0,0685764583054316;0,102658584118283;1,14659142839074;-2,63948496793114;0,406681845695638;1,62569388621308;-0,215201767533824;-0,886958965591818;2,04963544053894;-0,74453668559748;-1,19057794117441;2,61928506725032;-1,21989344981023;-1,59400332768384
"acyl-CoA dehydrogenase activity";-3,34932155929336;-1,48452932872335;-1,78003252926;-2,48816507278242;1,59720113566279;2,13364576471967;-0,594785482037237;2,75262530385059;2,04862925947325;-2,47315826918086;1,65742769457424;1,20371316368328;-2,40875592501023;3,37581812440618;2,68563136574842;-2,87693125383865;2,33676898702945;2,86899327008279
"acyl-CoA hydrolase activity";0,433809701417968;0,946914350152007;-0,0381573485389263;-0,63073226269547;-1,49731998356578;-1,04677808849883;-0,973286091958493;1,1018279016011;1,45152373037615;-1,73212420698075;0,660859805448423;0,59522490879401;-1,97963516792041;1,3997498046618;1,19545421432479;-1,49486866028042;1,27311994920885;0,572050856981386
"acyl-CoA metabolic process";-0,00665097209009872;1,38804549858831;0,0845873835371754;-1,02559867062165;-1,67681044555046;-1,07943618434606;-0,881720873343348;0,747609942549448;0,831338578032323;-1,72599619028556;0,767629948250869;1,36373494968955;-2,11557561885545;1,93637952995958;1,39883319696372;-1,51300436932665;1,00905029975615;0,732521677046891
