"Rank";"Upregulated";"GSZ";"p.value";"fdr";".";"Downregulated";"GSZ.";"p.value.";"fdr."
1;"oxidation-reduction process";10,2388493;"      .";"      .";"";"DNA binding";-12,09355387;"      .";"      ."
2;"oxidoreductase activity";8,8756415;"      .";"      .";"";"regulation of transcription, DNA-templated";-11,53316296;"      .";"      ."
3;"structural constituent of ribosome";8,46173834;"      .";"      .";"";"nucleus";-10,47773999;"      .";"      ."
4;"ribosome";7,68194073;"      .";"      .";"";"nucleic acid binding";-9,60551967;"      .";"      ."
5;"pigmentation";7,61820165;"      .";"      .";"";"cell adhesion";-9,34783001;"      .";"      ."
6;"translation";7,19116608;"      .";"      .";"";"axon guidance";-8,46682471;"      .";"      ."
7;"glutathione transferase activity";7,10507153;"      .";"      .";"";"sequence-specific DNA binding";-8,09047539;"      .";"      ."
8;"GTP binding";6,8334898;"      .";"      .";"";"striated muscle contraction";-7,64557192;"      .";"      ."
9;"lipid transport";6,56810565;"      .";"      .";"";"striated muscle myosin thick filament assembly";-7,31863863;"      .";"      ."
10;"molecular_function";6,44053827;"      .";"      .";"";"multicellular organism development";-7,24091517;"      .";"      ."
11;"cellular_component";6,28374808;"      .";"      .";"";"M band";-7,08638738;"      .";"      ."
12;"lipoprotein metabolic process";6,27370578;"      .";"      .";"";"transcription factor activity, sequence-specific DNA binding";-6,86486245;"      .";"      ."
13;"lysosome";6,21455443;"      .";"      .";"";"extracellular matrix";-6,58574434;"      .";"      ."
14;"nucleoside metabolic process";5,93907276;"      .";"      .";"";"extracellular matrix structural constituent";-6,50711566;"      .";"      ."
15;"autophagosome assembly";5,78361649;"      .";"      .";"";"protein binding";-6,13766375;"      .";"      ."
16;"intracellular";5,67211309;"      .";"      .";"";"transcription, DNA-templated";-5,99893224;"      .";"      ."
17;"iron-sulfur cluster binding";5,65289594;"      .";"      .";"";"sarcomere organization";-5,8240966;"      .";"      ."
18;"biological_process";5,64381026;"      .";"      .";"";"heart looping";-5,73531522;"      .";"      ."
19;"metabolic process";5,56989154;"      .";"      .";"";"basement membrane";-5,70267906;"      .";"      ."
20;"GTPase activity";5,54217204;"      .";"      .";"";"retinal ganglion cell axon guidance";-5,68937952;"      .";"      ."
21;"mitochondrion";5,45541527;"      .";"      .";"";"ATP binding";-5,66206985;"      .";"      ."
22;"purine nucleotide biosynthetic process";5,32771025;"      .";"      .";"";"blood vessel development";-5,49943702;"      .";"      ."
23;"cytosolic large ribosomal subunit";5,3115562;"      .";"      .";"";"heart development";-5,49262118;"      .";"      ."
24;"catalytic activity";5,19371831;"      .";"      .";"";"fin morphogenesis";-5,45951433;"      .";"      ."
25;"2 iron, 2 sulfur cluster binding";5,09873104;"      .";"      .";"";"sprouting angiogenesis";-5,27291412;"      .";"      ."
26;"chylomicron";5,05918321;"      .";"      .";"";"chromosome";-5,27049556;"      .";"      ."
27;"autophagy";5,03264704;"      .";"      .";"";"ephrin receptor signaling pathway";-5,21504318;"      .";"      ."
28;"proteolysis involved in cellular protein catabolic process";4,90543983;"      .";"      .";"";"embryonic heart tube development";-5,16635856;"      .";"      ."
29;"melanosome";4,75945266;"      .";"      .";"";"homophilic cell adhesion via plasma membrane adhesion molecules";-5,1304681;"      .";"      ."
30;"mitophagy";4,72023227;"      .";"      .";"";"RNA-dependent DNA biosynthetic process";-5,09078916;"      .";"      ."
31;"cellular response to nitrogen starvation";4,69399688;"      .";"      .";"";"nervous system development";-5,09027108;"      .";"      ."
32;"cytosolic small ribosomal subunit";4,6933459;"      .";"      .";"";"RNA-directed DNA polymerase activity";-5,05414417;"      .";"      ."
33;"high-density lipoprotein particle";4,6778886;"      .";"      .";"";"metalloendopeptidase activity";-4,93771302;"      .";"      ."
34;"late endosome membrane";4,67682243;"      .";"      .";"";"Wnt signaling pathway";-4,93233772;"      .";"      ."
35;"ATP-activated inward rectifier potassium channel activity";4,65389641;"      .";"      .";"";"cytokinesis";-4,91656655;"      .";"      ."
36;"electron carrier activity";4,64805611;"      .";"      .";"";"embryonic viscerocranium morphogenesis";-4,85010783;"      .";"      ."
37;"triglyceride catabolic process";4,62652788;"      .";"      .";"";"proteinaceous extracellular matrix";-4,8399435;"      .";"      ."
38;"intracellular ribonucleoprotein complex";4,51298515;"      .";"      .";"";"Z disc";-4,82261918;"      .";"      ."
39;"vacuolar transport";4,46073607;"      .";"      .";"";"motor activity";-4,80443647;"      .";"      ."
40;"substrate-specific transmembrane transporter activity";4,40567133;"      .";"      .";"";"lymphangiogenesis";-4,78298516;"      .";"      ."
41;"transport";4,38796628;"      .";"      .";"";"fin development";-4,71280583;"      .";"      ."
42;"flavin adenine dinucleotide binding";4,25355765;"      .";"      .";"";"heart morphogenesis";-4,70189349;"      .";"      ."
43;"calcium-dependent phospholipid binding";4,21191583;"      .";"      .";"";"cardiac muscle tissue development";-4,65294738;"      .";"      ."
44;"BLOC-1 complex";4,19953252;"      .";"      .";"";"calcium ion binding";-4,60097587;"      .";"      ."
45;"cytosol";4,18157429;"      .";"      .";"";"growth factor activity";-4,56979258;"      .";"      ."
46;"cysteine-type peptidase activity";4,17506315;"      .";"      .";"";"canonical Wnt signaling pathway";-4,56975754;"      .";"      ."
47;"endosome";4,15086686;"      .";"      .";"";"cardiac muscle cell proliferation";-4,56787135;"      .";"      ."
48;"response to toxic substance";4,07946683;"      .";"      .";"";"camera-type eye morphogenesis";-4,51239223;"      .";"      ."
49;"cholesterol homeostasis";4,05467752;"      .";"      .";"";"structural constituent of cytoskeleton";-4,50968817;"      .";"      ."
50;"cholesterol biosynthetic process";4,03754187;"      .";"      .";"";"cardiac muscle cell differentiation";-4,41767948;"      .";"      ."
51;"vesicle-mediated transport";4,02044852;"      .";"      .";"";"branching involved in blood vessel morphogenesis";-4,3871119;"      .";"      ."
52;"aromatic amino acid family metabolic process";4,01907028;"      .";"      .";"";"lymph vessel development";-4,38196598;"      .";"      ."
53;"lipid binding";3,92943734;"      .";"      .";"";"microtubule binding";-4,37151705;"      .";"      ."
54;"melanosome transport";3,87561252;"      .";"      .";"";"cell-cell signaling";-4,36472149;"      .";"      ."
55;"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides";3,86555755;"      .";"      .";"";"cellular calcium ion homeostasis";-4,34692776;"      .";"      ."
56;"melanosome organization";3,84643111;"      .";"      .";"";"vasculogenesis";-4,3439179;"      .";"      ."
57;"endomembrane system";3,82936222;"      .";"      .";"";"somitogenesis";-4,33477107;"      .";"      ."
58;"ferric iron binding";3,80686072;"      .";"      .";"";"embryonic hemopoiesis";-4,32223888;"      .";"      ."
59;"iron ion transport";3,79748582;"      .";"      .";"";"closure of optic fissure";-4,25510096;"      .";"      ."
60;"mitochondrial electron transport, NADH to ubiquinone";3,79163192;"      .";"      .";"";"negative regulation of angiogenesis";-4,2353652;"      .";"      ."
61;"cysteine-type endopeptidase activity";3,79134404;"      .";"      .";"";"transcription regulatory region DNA binding";-4,18997581;"      .";"      ."
62;"mitochondrial respiratory chain complex I";3,76711228;"      .";"      .";"";"chromatin binding";-4,1690274;"      .";"      ."
63;"cholesterol transporter activity";3,76471846;"      .";"      .";"";"locomotory behavior";-4,13183558;"      .";"      ."
64;"cholesterol efflux";3,75526665;"      .";"      .";"";"heparin binding";-4,12968731;"      .";"      ."
65;"melanocyte differentiation";3,75208772;"      .";"      .";"";"induction of positive chemotaxis";-4,11425328;"      .";"      ."
66;"pre-autophagosomal structure";3,73376195;"      .";"      .";"";"cerebellum development";-4,11379842;"      .";"      ."
67;"inward rectifier potassium channel activity";3,72112991;"      .";"      .";"";"structural constituent of muscle";-4,0942505;"      .";"      ."
68;"cytoplasmic translation";3,71526899;"      .";"      .";"";"regulation of heart contraction";-4,09288229;"      .";"      ."
69;"cellular oxidant detoxification";3,65370426;"      .";"      .";"";"ephrin receptor activity";-4,05327055;"      .";"      ."
70;"potassium ion import";3,63169176;"      .";"      .";"";"skeletal muscle tissue development";-4,02720237;"      .";"      ."
71;"cholesterol binding";3,61194283;"      .";"      .";"";"heart jogging";-3,98911926;"      .";"      ."
72;"peroxisome";3,61150153;"      .";"      .";"";"zinc ion binding";-3,98096322;"      .";"      ."
73;"cellular response to xenobiotic stimulus";3,57175245;"      .";"      .";"";"RNA polymerase II core promoter proximal region sequence-specific DNA binding";-3,97181554;"      .";"      ."
74;"photoreceptor activity";3,5629279;"      .";"      .";"";"pharyngeal system development";-3,96903109;"      .";"      ."
75;"extrinsic component of membrane";3,54502692;"      .";"      .";"";"nucleosome";-3,95812792;"      .";"      ."
76;"protein transport";3,52778597;"      .";"      .";"";"ventricular system development";-3,94782912;"      .";"      ."
77;"cysteine-type endopeptidase inhibitor activity";3,50636316;"      .";"      .";"";"regulation of transcription from RNA polymerase II promoter";-3,94500742;"      .";"      ."
78;"nucleotide biosynthetic process";3,50559761;"      .";"      .";"";"integrin complex";-3,92968752;"      .";"      ."
79;"endosome membrane";3,4648853;"      .";"      .";"";"angiogenesis";-3,9275411;"      .";"      ."
80;"cellular iron ion homeostasis";3,45845989;"      .";"      .";"";"hemoglobin complex";-3,89853721;"      .";"      ."
81;"vesicle";3,44026819;"      .";"      .";"";"microtubule";-3,8738732;"      .";"      ."
82;"protein-chromophore linkage";3,42674979;"      .";"      .";"";"kinesin complex";-3,85986548;"      .";"      ."
83;"phosphatidylinositol binding";3,41468948;"      .";"      .";"";"cell differentiation";-3,85803991;"      .";"      ."
84;"protein disulfide oxidoreductase activity";3,39483601;"      .";"      .";"";"RNA binding";-3,85070631;"      .";"      ."
85;"respiratory chain";3,35910783;"      .";"      .";"";"calcium ion transport";-3,83910006;"      .";"      ."
86;"blood microparticle";3,33563893;"      .";"      .";"";"neuron migration";-3,83351024;"      .";"      ."
87;"glutathione metabolic process";3,3305636;"      .";"      .";"";"protein tyrosine kinase activity";-3,82709613;"      .";"      ."
88;"intracellular protein transport";3,30309802;"      .";"      .";"";"metallopeptidase activity";-3,82522283;"      .";"      ."
89;"transporter activity";3,27877213;"      .";"      .";"";"voltage-gated potassium channel activity";-3,79456628;"      .";"      ."
90;"hydrogen ion transmembrane transport";3,27031119;"      .";"      .";"";"embryonic retina morphogenesis in camera-type eye";-3,79291144;"      .";"      ."
91;"mitochondrial outer membrane";3,25090242;"      .";"      .";"";"positive regulation of BMP signaling pathway";-3,7895222;"      .";"      ."
92;"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)";3,24583607;"      .";"      .";"";"positive regulation of GTPase activity";-3,77513163;"      .";"      ."
93;"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor";3,24186963;"      .";"      .";"";"animal organ morphogenesis";-3,77492881;"      .";"      ."
94;"hydrogen ion transmembrane transporter activity";3,23075368;"      .";"      .";"";"optic nerve development";-3,77118009;"      .";"      ."
95;"lysosomal membrane";3,21972162;"      .";"      .";"";"protein phosphorylation";-3,75888131;"      .";"      ."
96;"tricarboxylic acid cycle";3,06503686;"      .";"      .";"";"peptidyl-tyrosine phosphorylation";-3,75547452;"      .";"      ."
97;"GTP biosynthetic process";3,04329631;"      .";"      .";"";"protein kinase activity";-3,74636097;"      .";"      ."
98;"small GTPase mediated signal transduction";3,0330615;"      .";"      .";"";"calcium ion transmembrane transport";-3,71817746;"      .";"      ."
99;"glutathione peroxidase activity";3,02026005;"      .";"      .";"";"transmembrane signaling receptor activity";-3,66897483;"      .";"      ."
100;"carbohydrate metabolic process";3,00247095;"      .";"      .";"";"transmembrane receptor protein tyrosine kinase signaling pathway";-3,65522498;"      .";"      ."
101;"regulation of endocytosis";3,001593;"      .";"      .";"";"embryonic neurocranium morphogenesis";-3,65090319;"      .";"      ."
102;"regulation of actin filament polymerization";2,99131881;"      .";"      .";"";"BMP signaling pathway";-3,65038728;"      .";"      ."
103;"actin filament polymerization";2,96293549;"      .";"      .";"";"actin filament organization";-3,6416681;"      .";"      ."
104;"cytoplasm";2,93602546;"      .";"      .";"";"Wnt-protein binding";-3,63537695;"      .";"      ."
105;"trans-Golgi network";2,92397317;"      .";"      .";"";"cartilage development";-3,62670673;"      .";"      ."
106;"late endosome";2,92060303;"      .";"      .";"";"pronephros development";-3,61148819;"      .";"      ."
107;"dioxygenase activity";2,87540469;"      .";"      .";"";"plasma membrane";-3,60867677;"      .";"      ."
108;"ribosomal small subunit assembly";2,8487331;"      .";"      .";"";"mitotic sister chromatid segregation";-3,58713173;"      .";"      ."
109;"chloride transmembrane transport";2,83577791;"      .";"      .";"";"skeletal system development";-3,58281702;"      .";"      ."
110;"positive regulation of proteasomal ubiquitin-dependent protein catabolic process";2,8247968;"      .";"      .";"";"embryonic pectoral fin morphogenesis";-3,57668224;"      .";"      ."
111;"proteasome complex";2,8111194;"      .";"      .";"";"convergent extension";-3,57031654;"      .";"      ."
112;"extrinsic apoptotic signaling pathway in absence of ligand";2,79961531;"      .";"      .";"";"GTPase activator activity";-3,56203406;"      .";"      ."
113;"response to oxidative stress";2,79277574;"      .";"      .";"";"myofibril assembly";-3,56062573;"      .";"      ."
114;"negative regulation of catalytic activity";2,78639789;"      .";"      .";"";"regulation of cell migration";-3,55410758;"      .";"      ."
115;"antioxidant activity";2,78138577;"      .";"      .";"";"Wnt-activated receptor activity";-3,54314658;"      .";"      ."
116;"cell redox homeostasis";2,76510945;"      .";"      .";"";"dorsal/ventral pattern formation";-3,54097087;"      .";"      ."
117;"G-protein coupled photoreceptor activity";2,75620587;"      .";"      .";"";"vasculature development";-3,50544019;"      .";"      ."
118;"regulation of anion transmembrane transport";2,72384992;"      .";"      .";"";"positive regulation of angiogenesis";-3,50510727;"      .";"      ."
119;"lipid biosynthetic process";2,7175124;"      .";"      .";"";"chromosome, centromeric region";-3,50121196;"      .";"      ."
120;"cholesterol metabolic process";2,71380375;"      .";"      .";"";"signal transduction";-3,49793478;"      .";"      ."
121;"bicarbonate transmembrane transporter activity";2,70847922;"      .";"      .";"";"microtubule cytoskeleton organization";-3,48875456;"      .";"      ."
