"Rank";"Upregulated";"GSZ";"p.value";"fdr";".";"Downregulated";"GSZ.";"p.value.";"fdr."
1;"nucleosome";17,0670898;"      .";"      .";"";"oxidation-reduction process";-14,06995449;"      .";"      ."
2;"DNA binding";14,7595841;"      .";"      .";"";"oxidoreductase activity";-13,42962559;"      .";"      ."
3;"chromosome";14,63973959;"      .";"      .";"";"metabolic process";-10,95647848;"      .";"      ."
4;"cell adhesion";14,63061572;"      .";"      .";"";"lysosome";-9,88959259;"      .";"      ."
5;"homophilic cell adhesion via plasma membrane adhesion molecules";13,8253915;"      .";"      .";"";"iron-sulfur cluster binding";-7,89010262;"      .";"      ."
6;"nucleosome assembly";13,2861533;"      .";"      .";"";"catalytic activity";-7,45319998;"      .";"      ."
7;"synapse";13,17435183;"      .";"      .";"";"pigmentation";-7,43328356;"      .";"      ."
8;"nervous system development";12,79704746;"      .";"      .";"";"nucleoside metabolic process";-7,17473563;"      .";"      ."
9;"nucleus";12,55583623;"      .";"      .";"";"purine nucleotide biosynthetic process";-7,11280491;"      .";"      ."
10;"ion channel activity";12,48431035;"      .";"      .";"";"mitochondrion";-7,05602831;"      .";"      ."
11;"plasma membrane";11,95686836;"      .";"      .";"";"flavin adenine dinucleotide binding";-6,96948818;"      .";"      ."
12;"protein heterodimerization activity";11,5892439;"      .";"      .";"";"hydrolase activity";-6,5074826;"      .";"      ."
13;"extracellular matrix structural constituent";11,46757395;"      .";"      .";"";"lipid transport";-6,48733381;"      .";"      ."
14;"calcium ion binding";11,3475913;"      .";"      .";"";"carbohydrate metabolic process";-6,19286031;"      .";"      ."
15;"proteinaceous extracellular matrix";11,20665158;"      .";"      .";"";"cellular_component";-6,18498927;"      .";"      ."
16;"sequence-specific DNA binding";11,17133811;"      .";"      .";"";"glutathione transferase activity";-6,04984147;"      .";"      ."
17;"regulation of transcription, DNA-templated";10,83369926;"      .";"      .";"";"2 iron, 2 sulfur cluster binding";-5,96752495;"      .";"      ."
18;"extracellular-glutamate-gated ion channel activity";10,8158455;"      .";"      .";"";"sarcomere organization";-5,89535412;"      .";"      ."
19;"ionotropic glutamate receptor activity";10,8158455;"      .";"      .";"";"lipoprotein metabolic process";-5,76340765;"      .";"      ."
20;"ionotropic glutamate receptor signaling pathway";10,8158455;"      .";"      .";"";"cardiac muscle tissue development";-5,70131382;"      .";"      ."
21;"ion transport";10,62980633;"      .";"      .";"";"heart contraction";-5,6533584;"      .";"      ."
22;"axon guidance";9,77861801;"      .";"      .";"";"cytosol";-5,54130887;"      .";"      ."
23;"excitatory postsynaptic potential";9,35467819;"      .";"      .";"";"endoplasmic reticulum membrane";-5,39014769;"      .";"      ."
24;"multicellular organism development";9,24321132;"      .";"      .";"";"electron carrier activity";-5,28999085;"      .";"      ."
25;"regulation of ion transmembrane transport";8,75028497;"      .";"      .";"";"vesicle organization";-5,23627079;"      .";"      ."
26;"voltage-gated ion channel activity";8,75028497;"      .";"      .";"";"lipid metabolic process";-5,19955879;"      .";"      ."
27;"postsynaptic membrane";8,38890053;"      .";"      .";"";"molecular_function";-5,09286856;"      .";"      ."
28;"neuron projection";8,32278287;"      .";"      .";"";"lysosomal membrane";-5,08038621;"      .";"      ."
29;"voltage-gated calcium channel activity";8,2384959;"      .";"      .";"";"substrate-specific transmembrane transporter activity";-5,03340678;"      .";"      ."
30;"cell-cell signaling";8,21842533;"      .";"      .";"";"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides";-5,02847931;"      .";"      ."
31;"neuron development";8,19333418;"      .";"      .";"";"cysteine-type peptidase activity";-4,97668548;"      .";"      ."
32;"ion transmembrane transport";8,16285501;"      .";"      .";"";"endosome";-4,96922055;"      .";"      ."
33;"voltage-gated calcium channel complex";7,94209236;"      .";"      .";"";"cellular response to xenobiotic stimulus";-4,95810785;"      .";"      ."
34;"presynaptic active zone";7,68471546;"      .";"      .";"";"proteolysis involved in cellular protein catabolic process";-4,88230602;"      .";"      ."
35;"neurotransmitter secretion";7,64852316;"      .";"      .";"";"triglyceride catabolic process";-4,85636658;"      .";"      ."
36;"potassium ion transport";7,63399236;"      .";"      .";"";"cysteine-type endopeptidase activity";-4,83373178;"      .";"      ."
37;"membrane depolarization during action potential";7,60856688;"      .";"      .";"";"high-density lipoprotein particle";-4,74588342;"      .";"      ."
38;"tubulin binding";7,57521242;"      .";"      .";"";"biological_process";-4,64270344;"      .";"      ."
39;"calcium ion-regulated exocytosis of neurotransmitter";7,31264549;"      .";"      .";"";"nucleotide biosynthetic process";-4,59611802;"      .";"      ."
40;"synaptic vesicle endocytosis";7,30271499;"      .";"      .";"";"extrinsic component of membrane";-4,59224709;"      .";"      ."
41;"negative regulation of angiogenesis";7,21292241;"      .";"      .";"";"peroxisome";-4,5286455;"      .";"      ."
42;"potassium channel activity";7,17408006;"      .";"      .";"";"NAD binding";-4,51882978;"      .";"      ."
43;"presynapse";7,1383657;"      .";"      .";"";"hydrolase activity, acting on glycosyl bonds";-4,47930486;"      .";"      ."
44;"microtubule binding";7,13080411;"      .";"      .";"";"GTP binding";-4,45124975;"      .";"      ."
45;"receptor activity";7,11042596;"      .";"      .";"";"chylomicron";-4,4068673;"      .";"      ."
46;"microtubule";7,03198208;"      .";"      .";"";"transporter activity";-4,3873406;"      .";"      ."
47;"calcium ion transmembrane transport";7,01922368;"      .";"      .";"";"cholesterol homeostasis";-4,36836788;"      .";"      ."
48;"AMPA glutamate receptor complex";7,00751994;"      .";"      .";"";"cholesterol binding";-4,36653187;"      .";"      ."
49;"hemoglobin complex";7,00078919;"      .";"      .";"";"peptidase activity";-4,2980822;"      .";"      ."
50;"modulation of synaptic transmission";6,97608812;"      .";"      .";"";"endomembrane system";-4,28533778;"      .";"      ."
51;"neuron projection development";6,96054013;"      .";"      .";"";"oxidoreductase activity, acting on the CH-CH group of donors";-4,25408539;"      .";"      ."
52;"cell junction";6,90095492;"      .";"      .";"";"autophagy";-4,23539937;"      .";"      ."
53;"chemical synaptic transmission";6,74708081;"      .";"      .";"";"response to toxic substance";-4,22861096;"      .";"      ."
54;"potassium ion transmembrane transport";6,71784851;"      .";"      .";"";"hydrolase activity, hydrolyzing O-glycosyl compounds";-4,20217465;"      .";"      ."
55;"voltage-gated potassium channel activity";6,71009007;"      .";"      .";"";"4 iron, 4 sulfur cluster binding";-4,19947536;"      .";"      ."
56;"voltage-gated potassium channel complex";6,69629759;"      .";"      .";"";"endoplasmic reticulum";-4,15660491;"      .";"      ."
57;"calmodulin binding";6,42139875;"      .";"      .";"";"cell redox homeostasis";-4,15009685;"      .";"      ."
58;"nucleosomal DNA binding";6,41359021;"      .";"      .";"";"melanocyte differentiation";-4,1500286;"      .";"      ."
59;"brain development";6,3215925;"      .";"      .";"";"endopeptidase inhibitor activity";-4,10499316;"      .";"      ."
60;"DNA-templated transcription, initiation";6,23112153;"      .";"      .";"";"mitochondrial inner membrane";-4,04178101;"      .";"      ."
61;"oxygen binding";6,22221664;"      .";"      .";"";"anion:anion antiporter activity";-4,01465788;"      .";"      ."
62;"oxygen transport";6,22221664;"      .";"      .";"";"proteolysis";-3,99274924;"      .";"      ."
63;"oxygen transporter activity";6,22221664;"      .";"      .";"";"trans-Golgi network";-3,95125812;"      .";"      ."
64;"high voltage-gated calcium channel activity";6,11486768;"      .";"      .";"";"transaminase activity";-3,91108748;"      .";"      ."
65;"calcium channel activity";5,95197;"      .";"      .";"";"transmembrane transporter activity";-3,89051421;"      .";"      ."
66;"clathrin binding";5,94222424;"      .";"      .";"";"autophagosome assembly";-3,88271844;"      .";"      ."
67;"regulation of synaptic transmission, glutamatergic";5,92483003;"      .";"      .";"";"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor";-3,87869833;"      .";"      ."
68;"voltage-gated sodium channel activity";5,90947252;"      .";"      .";"";"protein disulfide oxidoreductase activity";-3,85517162;"      .";"      ."
69;"ephrin receptor signaling pathway";5,90389085;"      .";"      .";"";"striated muscle contraction";-3,83715041;"      .";"      ."
70;"regulation of microtubule polymerization or depolymerization";5,81422155;"      .";"      .";"";"lipid binding";-3,82566794;"      .";"      ."
71;"ephrin receptor activity";5,69554442;"      .";"      .";"";"fatty acid metabolic process";-3,8181207;"      .";"      ."
72;"heparin binding";5,63614006;"      .";"      .";"";"negative regulation of endopeptidase activity";-3,80846842;"      .";"      ."
73;"calcium ion transport";5,63432261;"      .";"      .";"";"biosynthetic process";-3,80008222;"      .";"      ."
74;"extracellular matrix";5,60588192;"      .";"      .";"";"cholesterol biosynthetic process";-3,78921898;"      .";"      ."
75;"glutamate receptor activity";5,60142391;"      .";"      .";"";"cholesterol transporter activity";-3,7469441;"      .";"      ."
76;"synapse assembly";5,59509326;"      .";"      .";"";"endocytosis";-3,74251616;"      .";"      ."
77;"syntaxin binding";5,49576039;"      .";"      .";"";"cholesterol efflux";-3,73573418;"      .";"      ."
78;"extracellular ligand-gated ion channel activity";5,49068569;"      .";"      .";"";"late endosome membrane";-3,71347596;"      .";"      ."
79;"transcription factor activity, sequence-specific DNA binding";5,4754131;"      .";"      .";"";"RNA phosphodiester bond hydrolysis, endonucleolytic";-3,70418684;"      .";"      ."
80;"neuronal action potential";5,45926706;"      .";"      .";"";"cellular oxidant detoxification";-3,68120646;"      .";"      ."
81;"GABA-A receptor activity";5,43659245;"      .";"      .";"";"protein transport";-3,67643263;"      .";"      ."
82;"integral component of plasma membrane";5,39519323;"      .";"      .";"";"heart development";-3,65422113;"      .";"      ."
83;"regulation of calcium ion-dependent exocytosis";5,38550834;"      .";"      .";"";"cellular amino acid metabolic process";-3,6519264;"      .";"      ."
84;"transcription, DNA-templated";5,37662586;"      .";"      .";"";"monooxygenase activity";-3,63575119;"      .";"      ."
85;"microtubule cytoskeleton organization";5,33409215;"      .";"      .";"";"cysteine-type endopeptidase inhibitor activity";-3,62270608;"      .";"      ."
86;"voltage-gated sodium channel complex";5,31679954;"      .";"      .";"";"cytoplasm";-3,5872706;"      .";"      ."
87;"chromatin silencing";5,25559653;"      .";"      .";"";"cell";-3,54525979;"      .";"      ."
88;"sodium channel activity";5,17227144;"      .";"      .";"";"intracellular protein transport";-3,52575442;"      .";"      ."
89;"synaptic vesicle";5,02182142;"      .";"      .";"";"protein catabolic process";-3,51608493;"      .";"      ."
90;"regulation of cytoskeleton organization";4,997351;"      .";"      .";"";"blood microparticle";-3,51294352;"      .";"      ."
91;"GABA-A receptor complex";4,98078813;"      .";"      .";"";"sodium-independent organic anion transmembrane transporter activity";-3,50430102;"      .";"      ."
92;"regulation of postsynaptic membrane potential";4,96198313;"      .";"      .";"";"sodium-independent organic anion transport";-3,50430102;"      .";"      ."
93;"protein kinase inhibitor activity";4,87176887;"      .";"      .";"";"lyase activity";-3,45533254;"      .";"      ."
94;"microtubule motor activity";4,85484046;"      .";"      .";"";"ligase activity";-3,45528522;"      .";"      ."
95;"protein homooligomerization";4,84538885;"      .";"      .";"";"GPI anchor biosynthetic process";-3,4509008;"      .";"      ."
96;"axonogenesis";4,77384179;"      .";"      .";"";"cellular response to oxidative stress";-3,44593075;"      .";"      ."
97;"protein binding";4,75862171;"      .";"      .";"";"calcium-dependent cysteine-type endopeptidase activity";-3,44333318;"      .";"      ."
98;"membrane disruption in other organism";4,71328076;"      .";"      .";"";"phosphatidylinositol binding";-3,41637147;"      .";"      ."
99;"neuronal cell body";4,69910784;"      .";"      .";"";"melanosome";-3,3867482;"      .";"      ."
100;"retinal ganglion cell axon guidance";4,68818994;"      .";"      .";"";"hemoglobin biosynthetic process";-3,35481056;"      .";"      ."
101;"synapse organization";4,65450636;"      .";"      .";"";"bicarbonate transmembrane transporter activity";-3,34243462;"      .";"      ."
102;"central nervous system development";4,59242643;"      .";"      .";"";"mitophagy";-3,33360025;"      .";"      ."
103;"spectrin binding";4,56727814;"      .";"      .";"";"oxalate transmembrane transporter activity";-3,33209445;"      .";"      ."
104;"cerebellum development";4,56687979;"      .";"      .";"";"oxalate transport";-3,33209445;"      .";"      ."
105;"regulation of exocytosis";4,52485217;"      .";"      .";"";"developmental pigmentation";-3,31422208;"      .";"      ."
106;"Wnt signaling pathway";4,52348899;"      .";"      .";"";"antioxidant activity";-3,2849679;"      .";"      ."
107;"fin regeneration";4,47378574;"      .";"      .";"";"early endosome";-3,26301022;"      .";"      ."
108;"protein tyrosine kinase activity";4,44561955;"      .";"      .";"";"heart morphogenesis";-3,1864349;"      .";"      ."
109;"negative regulation of JAK-STAT cascade";4,406366;"      .";"      .";"";"FAD binding";-3,12498486;"      .";"      ."
110;"peptidyl-tyrosine phosphorylation";4,30464172;"      .";"      .";"";"vesicle";-3,11689936;"      .";"      ."
111;"camera-type eye development";4,29447523;"      .";"      .";"";"myosin complex";-3,10847198;"      .";"      ."
112;"synaptic vesicle membrane";4,28466802;"      .";"      .";"";"immune response";-3,09858192;"      .";"      ."
113;"embryonic retina morphogenesis in camera-type eye";4,24697878;"      .";"      .";"";"endosome membrane";-3,09417635;"      .";"      ."
114;"sodium ion transport";4,22680383;"      .";"      .";"";"secondary active sulfate transmembrane transporter activity";-3,08627073;"      .";"      ."
115;"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding";4,21636775;"      .";"      .";"";"carboxypeptidase activity";-3,08522037;"      .";"      ."
116;"presynaptic membrane";4,21078306;"      .";"      .";"";"melanosome organization";-3,07011871;"      .";"      ."
117;"negative regulation of protein kinase activity";4,20794772;"      .";"      .";"";"sulfate transmembrane transport";-3,06909291;"      .";"      ."
118;"kinesin complex";4,2011943;"      .";"      .";"";"sulfate transmembrane transporter activity";-3,06909291;"      .";"      ."
119;"motor neuron axon guidance";4,20057411;"      .";"      .";"";"transferase activity, transferring acyl groups other than amino-acyl groups";-3,04273985;"      .";"      ."
120;"camera-type eye morphogenesis";4,17320835;"      .";"      .";"";"transferase activity, transferring acyl groups";-3,0229598;"      .";"      ."
121;"structural constituent of cytoskeleton";4,1605513;"      .";"      .";"";"vesicle-mediated transport";-2,99577948;"      .";"      ."
