"Rank";"Upregulated";"GSZ";"p.value";"fdr";".";"Downregulated";"GSZ.";"p.value.";"fdr."
1;"homophilic cell adhesion via plasma membrane adhesion molecules";17,55539879;"      .";"      .";"";"oxidation-reduction process";-15,74334523;"      .";"      ."
2;"synapse";17,26660215;"      .";"      .";"";"oxidoreductase activity";-14,94949955;"      .";"      ."
3;"plasma membrane";16,59485389;"      .";"      .";"";"mitochondrion";-9,92100954;"      .";"      ."
4;"cell adhesion";15,72393243;"      .";"      .";"";"translation";-9,30958484;"      .";"      ."
5;"nervous system development";15,55489937;"      .";"      .";"";"metabolic process";-9,2882314;"      .";"      ."
6;"ion channel activity";15,36160977;"      .";"      .";"";"ribosome";-8,81483278;"      .";"      ."
7;"ion transport";15,2415059;"      .";"      .";"";"structural constituent of ribosome";-8,70709894;"      .";"      ."
8;"extracellular-glutamate-gated ion channel activity";13,12932519;"      .";"      .";"";"catalytic activity";-8,13173563;"      .";"      ."
9;"ionotropic glutamate receptor activity";13,12932519;"      .";"      .";"";"lysosome";-7,85212571;"      .";"      ."
10;"ionotropic glutamate receptor signaling pathway";13,12932519;"      .";"      .";"";"iron-sulfur cluster binding";-7,74048424;"      .";"      ."
11;"calcium ion binding";12,47168869;"      .";"      .";"";"endopeptidase inhibitor activity";-7,62702158;"      .";"      ."
12;"regulation of transcription, DNA-templated";12,41779358;"      .";"      .";"";"pigmentation";-7,20502474;"      .";"      ."
13;"sequence-specific DNA binding";12,07516784;"      .";"      .";"";"cellular_component";-6,81640932;"      .";"      ."
14;"extracellular matrix structural constituent";11,60698954;"      .";"      .";"";"electron carrier activity";-6,57162199;"      .";"      ."
15;"excitatory postsynaptic potential";11,27401525;"      .";"      .";"";"carbohydrate metabolic process";-6,54751379;"      .";"      ."
16;"regulation of ion transmembrane transport";11,18238905;"      .";"      .";"";"lipoprotein metabolic process";-6,53814753;"      .";"      ."
17;"voltage-gated ion channel activity";11,18238905;"      .";"      .";"";"flavin adenine dinucleotide binding";-6,50159594;"      .";"      ."
18;"postsynaptic membrane";11,01661918;"      .";"      .";"";"proteolysis involved in cellular protein catabolic process";-6,42510669;"      .";"      ."
19;"DNA binding";11,00384517;"      .";"      .";"";"purine nucleotide biosynthetic process";-6,34216636;"      .";"      ."
20;"axon guidance";10,59630967;"      .";"      .";"";"cytosolic large ribosomal subunit";-6,13373264;"      .";"      ."
21;"integral component of membrane";10,5925095;"      .";"      .";"";"intracellular ribonucleoprotein complex";-6,04076084;"      .";"      ."
22;"presynaptic active zone";10,53001861;"      .";"      .";"";"nucleoside metabolic process";-5,98431484;"      .";"      ."
23;"membrane";10,4672935;"      .";"      .";"";"molecular_function";-5,92141892;"      .";"      ."
24;"voltage-gated calcium channel activity";10,41571037;"      .";"      .";"";"glutathione transferase activity";-5,76971759;"      .";"      ."
25;"ion transmembrane transport";10,35910403;"      .";"      .";"";"chylomicron";-5,76888503;"      .";"      ."
26;"calcium ion transmembrane transport";10,17038108;"      .";"      .";"";"nucleolus";-5,71872315;"      .";"      ."
27;"proteinaceous extracellular matrix";10,04685606;"      .";"      .";"";"hydrolase activity";-5,71298367;"      .";"      ."
28;"voltage-gated calcium channel complex";9,90854181;"      .";"      .";"";"lipid transport";-5,65895848;"      .";"      ."
29;"microtubule binding";9,8013802;"      .";"      .";"";"mitochondrial inner membrane";-5,53628303;"      .";"      ."
30;"neuron projection";9,60286946;"      .";"      .";"";"substrate-specific transmembrane transporter activity";-5,52307481;"      .";"      ."
31;"potassium ion transport";9,56766687;"      .";"      .";"";"2 iron, 2 sulfur cluster binding";-5,51854391;"      .";"      ."
32;"cell-cell signaling";9,51273036;"      .";"      .";"";"triglyceride catabolic process";-5,44682909;"      .";"      ."
33;"calcium ion-regulated exocytosis of neurotransmitter";9,4439632;"      .";"      .";"";"cysteine-type endopeptidase activity";-5,41877208;"      .";"      ."
