"Rank";"Upregulated";"GSZ";"p.value";"fdr";".";"Downregulated";"GSZ.";"p.value.";"fdr."
1;"DNA binding";19,98349902;"      .";"      .";"";"oxidation-reduction process";-16,64799891;"      .";"      ."
2;"nucleus";19,84932536;"      .";"      .";"";"oxidoreductase activity";-15,92337624;"      .";"      ."
3;"regulation of transcription, DNA-templated";18,37388215;"      .";"      .";"";"metabolic process";-10,8389796;"      .";"      ."
4;"sequence-specific DNA binding";16,58219379;"      .";"      .";"";"catalytic activity";-10,05780961;"      .";"      ."
5;"hemoglobin complex";13,33399927;"      .";"      .";"";"pigmentation";-9,8467019;"      .";"      ."
6;"homophilic cell adhesion via plasma membrane adhesion molecules";13,14142761;"      .";"      .";"";"sarcomere organization";-9,38319502;"      .";"      ."
7;"nucleic acid binding";12,93112103;"      .";"      .";"";"heart contraction";-9,26405475;"      .";"      ."
8;"nervous system development";12,79122755;"      .";"      .";"";"lipoprotein metabolic process";-7,69678474;"      .";"      ."
9;"multicellular organism development";12,20480115;"      .";"      .";"";"endopeptidase inhibitor activity";-7,57318965;"      .";"      ."
10;"oxygen binding";11,49717484;"      .";"      .";"";"mitochondrion";-7,56879461;"      .";"      ."
11;"oxygen transport";11,49717484;"      .";"      .";"";"lysosome";-7,22357241;"      .";"      ."
12;"oxygen transporter activity";11,49717484;"      .";"      .";"";"melanosome";-7,20961471;"      .";"      ."
13;"cell adhesion";10,99719658;"      .";"      .";"";"iron-sulfur cluster binding";-7,01576663;"      .";"      ."
14;"transcription, DNA-templated";10,59011268;"      .";"      .";"";"carbohydrate metabolic process";-6,96891867;"      .";"      ."
15;"axon guidance";9,53866232;"      .";"      .";"";"lipid transport";-6,94233737;"      .";"      ."
16;"transcription factor activity, sequence-specific DNA binding";9,43446764;"      .";"      .";"";"ribosome";-6,9040998;"      .";"      ."
17;"microtubule binding";9,22622398;"      .";"      .";"";"melanosome organization";-6,80504937;"      .";"      ."
18;"nucleosome";8,45531694;"      .";"      .";"";"structural constituent of ribosome";-6,80468306;"      .";"      ."
19;"chromosome";8,40037794;"      .";"      .";"";"cellular_component";-6,68022437;"      .";"      ."
20;"microtubule";7,96042409;"      .";"      .";"";"response to bacterium";-6,55686611;"      .";"      ."
21;"neuron development";7,79909317;"      .";"      .";"";"GTP binding";-6,52227223;"      .";"      ."
22;"peripheral nervous system neuron axonogenesis";7,7052327;"      .";"      .";"";"cardiac muscle tissue development";-6,5193747;"      .";"      ."
23;"synapse";7,58050767;"      .";"      .";"";"nucleoside metabolic process";-6,38128627;"      .";"      ."
24;"nucleosome assembly";7,24123953;"      .";"      .";"";"negative regulation of endopeptidase activity";-6,35914839;"      .";"      ."
25;"neuron projection development";7,1534382;"      .";"      .";"";"purine nucleotide biosynthetic process";-6,32466602;"      .";"      ."
26;"extracellular matrix structural constituent";7,04279787;"      .";"      .";"";"translation";-6,28281818;"      .";"      ."
27;"ephrin receptor signaling pathway";6,82114046;"      .";"      .";"";"flavin adenine dinucleotide binding";-6,03579029;"      .";"      ."
28;"nucleosomal DNA binding";6,80735641;"      .";"      .";"";"substrate-specific transmembrane transporter activity";-6,0071954;"      .";"      ."
29;"plasma membrane";6,63868318;"      .";"      .";"";"electron carrier activity";-5,89068219;"      .";"      ."
30;"regulation of transcription from RNA polymerase II promoter";6,60003471;"      .";"      .";"";"troponin complex";-5,6858454;"      .";"      ."
31;"presynaptic active zone";6,50645541;"      .";"      .";"";"monooxygenase activity";-5,62966341;"      .";"      ."
32;"ephrin receptor activity";6,47494262;"      .";"      .";"";"cytosolic large ribosomal subunit";-5,62899208;"      .";"      ."
33;"microtubule motor activity";6,4513313;"      .";"      .";"";"chylomicron";-5,58902281;"      .";"      ."
34;"cell differentiation";6,43242026;"      .";"      .";"";"response to cadmium ion";-5,46081243;"      .";"      ."
35;"calcium ion binding";6,34435865;"      .";"      .";"";"gluconeogenesis";-5,45017388;"      .";"      ."
36;"brain development";6,33949323;"      .";"      .";"";"photoreceptor activity";-5,41479824;"      .";"      ."
37;"RNA binding";6,12562338;"      .";"      .";"";"hydrolase activity";-5,39723635;"      .";"      ."
38;"cell-cell signaling";6,01384361;"      .";"      .";"";"lipid metabolic process";-5,39713628;"      .";"      ."
39;"microtubule cytoskeleton organization";5,99132976;"      .";"      .";"";"cardiac muscle contraction";-5,32737045;"      .";"      ."
40;"tubulin binding";5,93493132;"      .";"      .";"";"respiratory chain";-5,31637181;"      .";"      ."
41;"RNA polymerase II transcription factor activity, sequence-specific DNA binding";5,85354681;"      .";"      .";"";"triglyceride catabolic process";-5,27392895;"      .";"      ."
42;"spectrin binding";5,76256972;"      .";"      .";"";"cellular response to estrogen stimulus";-5,25206842;"      .";"      ."
43;"protein heterodimerization activity";5,75439155;"      .";"      .";"";"protein-chromophore linkage";-5,24845734;"      .";"      ."
44;"microtubule-based movement";5,75392099;"      .";"      .";"";"glutathione transferase activity";-5,17188132;"      .";"      ."
45;"hindbrain development";5,66914921;"      .";"      .";"";"negative regulation of insulin receptor signaling pathway";-5,16968598;"      .";"      ."
46;"kinesin complex";5,58396507;"      .";"      .";"";"GTPase activity";-5,13143876;"      .";"      ."
47;"extracellular-glutamate-gated ion channel activity";5,57170993;"      .";"      .";"";"immune response";-5,08873844;"      .";"      ."
48;"ionotropic glutamate receptor activity";5,57170993;"      .";"      .";"";"2 iron, 2 sulfur cluster binding";-5,06529281;"      .";"      ."
49;"ionotropic glutamate receptor signaling pathway";5,57170993;"      .";"      .";"";"skeletal muscle contraction";-4,97889137;"      .";"      ."
50;"protein dimerization activity";5,54580582;"      .";"      .";"";"transmembrane transporter activity";-4,93620902;"      .";"      ."
51;"transcription from RNA polymerase II promoter";5,49555857;"      .";"      .";"";"lipid binding";-4,92750675;"      .";"      ."
52;"neurotransmitter secretion";5,46695343;"      .";"      .";"";"Z disc";-4,90384664;"      .";"      ."
53;"midbrain development";5,46212255;"      .";"      .";"";"actin binding";-4,88747758;"      .";"      ."
54;"anterior/posterior pattern specification";5,44270303;"      .";"      .";"";"high-density lipoprotein particle";-4,79254919;"      .";"      ."
55;"proteinaceous extracellular matrix";5,32793029;"      .";"      .";"";"cholesterol biosynthetic process";-4,66485636;"      .";"      ."
56;"chromatin binding";5,32385791;"      .";"      .";"";"tricarboxylic acid cycle";-4,65883374;"      .";"      ."
57;"neuron projection";5,25171203;"      .";"      .";"";"cholesterol homeostasis";-4,63318389;"      .";"      ."
58;"positive regulation of transcription from RNA polymerase II promoter";5,03439911;"      .";"      .";"";"cellular response to xenobiotic stimulus";-4,61278367;"      .";"      ."
59;"transcription regulatory region DNA binding";4,98415739;"      .";"      .";"";"transaminase activity";-4,60408174;"      .";"      ."
60;"otic placode formation";4,87627461;"      .";"      .";"";"proteolysis involved in cellular protein catabolic process";-4,5358787;"      .";"      ."
61;"potassium ion transport";4,7984826;"      .";"      .";"";"extracellular region";-4,52081011;"      .";"      ."
62;"neuron differentiation";4,76543794;"      .";"      .";"";"blood microparticle";-4,49615317;"      .";"      ."
63;"regulation of neurogenesis";4,7464499;"      .";"      .";"";"transporter activity";-4,41752415;"      .";"      ."
64;"Wnt signaling pathway";4,74488753;"      .";"      .";"";"cell";-4,3932805;"      .";"      ."
65;"calcium ion-regulated exocytosis of neurotransmitter";4,73894858;"      .";"      .";"";"mitochondrial inner membrane";-4,39265023;"      .";"      ."
66;"presynapse";4,69457521;"      .";"      .";"";"pyridoxal phosphate binding";-4,35927788;"      .";"      ."
67;"regulation of gene expression";4,69217044;"      .";"      .";"";"actin filament binding";-4,34543533;"      .";"      ."
68;"ventral spinal cord interneuron differentiation";4,65067687;"      .";"      .";"";"developmental pigmentation";-4,30183617;"      .";"      ."
69;"Notch signaling pathway";4,60521997;"      .";"      .";"";"iron ion transport";-4,28434855;"      .";"      ."
70;"synapse assembly";4,58675159;"      .";"      .";"";"cytosol";-4,24891119;"      .";"      ."
71;"regulation of microtubule polymerization or depolymerization";4,57304263;"      .";"      .";"";"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor";-4,22787205;"      .";"      ."
72;"structural constituent of cytoskeleton";4,54637117;"      .";"      .";"";"cholesterol binding";-4,2123901;"      .";"      ."
73;"hypothalamus development";4,50679924;"      .";"      .";"";"cysteine-type endopeptidase inhibitor activity";-4,19802479;"      .";"      ."
74;"fin development";4,49898503;"      .";"      .";"";"regulation of muscle contraction";-4,19121985;"      .";"      ."
75;"protein binding";4,48219591;"      .";"      .";"";"trans-Golgi network";-4,18405708;"      .";"      ."
76;"voltage-gated calcium channel activity";4,440061;"      .";"      .";"";"cellular oxidant detoxification";-4,13972595;"      .";"      ."
77;"spinal cord motor neuron differentiation";4,42142604;"      .";"      .";"";"4 iron, 4 sulfur cluster binding";-4,1395773;"      .";"      ."
78;"voltage-gated calcium channel complex";4,41902521;"      .";"      .";"";"phosphatidylinositol binding";-4,13901564;"      .";"      ."
79;"centrosome";4,4185425;"      .";"      .";"";"defense response to bacterium";-4,13503432;"      .";"      ."
80;"larval locomotory behavior";4,35657354;"      .";"      .";"";"striated muscle contraction";-4,09701142;"      .";"      ."
81;"regulation of ion transmembrane transport";4,35394542;"      .";"      .";"";"myosin complex";-4,07813899;"      .";"      ."
82;"voltage-gated ion channel activity";4,35394542;"      .";"      .";"";"structural constituent of muscle";-4,07500616;"      .";"      ."
83;"positive regulation of neuron differentiation";4,34120244;"      .";"      .";"";"cytoplasm";-4,06728273;"      .";"      ."
84;"central nervous system development";4,32941131;"      .";"      .";"";"proton transport";-4,05935092;"      .";"      ."
85;"clathrin binding";4,32161172;"      .";"      .";"";"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen";-4,04546488;"      .";"      ."
86;"modulation of synaptic transmission";4,2678222;"      .";"      .";"";"endosome";-4,0349379;"      .";"      ."
87;"embryonic retina morphogenesis in camera-type eye";4,25722842;"      .";"      .";"";"response to toxic substance";-4,0299013;"      .";"      ."
88;"retinal ganglion cell axon guidance";4,24856347;"      .";"      .";"";"cholesterol transporter activity";-4,00847101;"      .";"      ."
89;"positive regulation of neurogenesis";4,18931319;"      .";"      .";"";"inflammatory response";-3,98936082;"      .";"      ."
90;"AMPA glutamate receptor complex";4,14122609;"      .";"      .";"";"aromatic amino acid family metabolic process";-3,98679703;"      .";"      ."
91;"motor neuron axon guidance";4,13939475;"      .";"      .";"";"proteolysis";-3,98513612;"      .";"      ."
92;"postsynaptic membrane";4,11234306;"      .";"      .";"";"NADH dehydrogenase (ubiquinone) activity";-3,96280562;"      .";"      ."
93;"synaptic vesicle endocytosis";4,08653848;"      .";"      .";"";"molecular_function";-3,94981688;"      .";"      ."
94;"forebrain development";4,06227842;"      .";"      .";"";"lipid catabolic process";-3,93831572;"      .";"      ."
95;"mRNA splicing, via spliceosome";4,03433001;"      .";"      .";"";"cholesterol efflux";-3,91674259;"      .";"      ."
96;"histone-lysine N-methyltransferase activity";4,0209071;"      .";"      .";"";"dioxygenase activity";-3,9049569;"      .";"      ."
97;"ion transport";4,00087635;"      .";"      .";"";"cysteine-type endopeptidase activity";-3,89851616;"      .";"      ."
98;"positive regulation of sequence-specific DNA binding transcription factor activity";3,99843281;"      .";"      .";"";"glycolytic process";-3,89621855;"      .";"      ."
99;"sodium ion transport";3,97971769;"      .";"      .";"";"myofibril assembly";-3,88852979;"      .";"      ."
100;"chemical synaptic transmission";3,95032794;"      .";"      .";"";"endomembrane system";-3,87573283;"      .";"      ."
101;"membrane depolarization during action potential";3,94274006;"      .";"      .";"";"cholesterol metabolic process";-3,87104191;"      .";"      ."
102;"excitatory postsynaptic potential";3,9345277;"      .";"      .";"";"steroid hydroxylase activity";-3,8670373;"      .";"      ."
103;"pectoral fin development";3,93105448;"      .";"      .";"";"extrinsic component of membrane";-3,85200255;"      .";"      ."
104;"receptor activity";3,88288405;"      .";"      .";"";"small molecule binding";-3,84448048;"      .";"      ."
105;"axon";3,86266694;"      .";"      .";"";"response to oxidative stress";-3,81876465;"      .";"      ."
106;"hematopoietic progenitor cell differentiation";3,82921256;"      .";"      .";"";"cellular iron ion homeostasis";-3,81344583;"      .";"      ."
107;"neural crest cell migration";3,79921553;"      .";"      .";"";"response to heat";-3,80229183;"      .";"      ."
108;"zinc ion binding";3,79812346;"      .";"      .";"";"late endosome membrane";-3,76975924;"      .";"      ."
109;"embryonic pectoral fin morphogenesis";3,78954894;"      .";"      .";"";"lysosomal membrane";-3,76960935;"      .";"      ."
110;"ion channel activity";3,78670439;"      .";"      .";"";"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides";-3,74856041;"      .";"      ."
