"Rank";"Upregulated";"GSZ";"p.value";"fdr";".";"Downregulated";"GSZ.";"p.value.";"fdr."
1;"oxidation-reduction process";13,11772404;"      .";"      .";"";"DNA binding";-15,46359063;"      .";"      ."
2;"oxidoreductase activity";13,00514879;"      .";"      .";"";"nucleus";-14,88594767;"      .";"      ."
3;"chylomicron";10,99934018;"      .";"      .";"";"regulation of transcription, DNA-templated";-12,41544205;"      .";"      ."
4;"lipoprotein metabolic process";10,19450695;"      .";"      .";"";"chromosome";-11,61692882;"      .";"      ."
5;"catalytic activity";10,01760939;"      .";"      .";"";"nucleosome";-11,59848264;"      .";"      ."
6;"endopeptidase inhibitor activity";9,93495379;"      .";"      .";"";"hemoglobin complex";-10,9999187;"      .";"      ."
7;"triglyceride catabolic process";9,8568974;"      .";"      .";"";"sequence-specific DNA binding";-10,38379493;"      .";"      ."
8;"high-density lipoprotein particle";9,80580803;"      .";"      .";"";"multicellular organism development";-10,33392336;"      .";"      ."
9;"cholesterol homeostasis";9,10027831;"      .";"      .";"";"cell adhesion";-9,66290484;"      .";"      ."
10;"lipid transport";8,9123666;"      .";"      .";"";"nucleosome assembly";-9,47293341;"      .";"      ."
11;"cholesterol biosynthetic process";8,86640327;"      .";"      .";"";"oxygen binding";-9,3424799;"      .";"      ."
12;"negative regulation of endopeptidase activity";8,63351411;"      .";"      .";"";"oxygen transport";-9,3424799;"      .";"      ."
13;"metabolic process";8,53492385;"      .";"      .";"";"oxygen transporter activity";-9,3424799;"      .";"      ."
14;"cholesterol efflux";8,42324087;"      .";"      .";"";"nucleic acid binding";-8,93293226;"      .";"      ."
15;"blood microparticle";8,41767619;"      .";"      .";"";"protein heterodimerization activity";-8,57783441;"      .";"      ."
16;"cholesterol binding";8,28151458;"      .";"      .";"";"nucleosomal DNA binding";-8,52106932;"      .";"      ."
17;"cholesterol transporter activity";7,57389383;"      .";"      .";"";"extracellular matrix structural constituent";-8,35164354;"      .";"      ."
18;"cellular_component";7,388481;"      .";"      .";"";"ephrin receptor signaling pathway";-7,37579952;"      .";"      ."
19;"pigmentation";7,24249298;"      .";"      .";"";"proteinaceous extracellular matrix";-7,12761104;"      .";"      ."
20;"lipid binding";7,14694392;"      .";"      .";"";"blood vessel development";-6,93824549;"      .";"      ."
21;"mitochondrion";6,71104845;"      .";"      .";"";"transcription, DNA-templated";-6,8876734;"      .";"      ."
22;"lysosome";6,57514788;"      .";"      .";"";"transcription factor activity, sequence-specific DNA binding";-6,73049475;"      .";"      ."
23;"gluconeogenesis";6,5313272;"      .";"      .";"";"transmembrane receptor protein tyrosine kinase activity";-6,66127693;"      .";"      ."
24;"transporter activity";6,2157911;"      .";"      .";"";"protein tyrosine kinase activity";-6,64411287;"      .";"      ."
25;"glutathione transferase activity";6,09337745;"      .";"      .";"";"ephrin receptor activity";-6,58190773;"      .";"      ."
26;"troponin complex";5,9980839;"      .";"      .";"";"retinal ganglion cell axon guidance";-6,52986493;"      .";"      ."
27;"GTP binding";5,85941855;"      .";"      .";"";"axon guidance";-6,51153372;"      .";"      ."
28;"cellular response to estrogen stimulus";5,36508994;"      .";"      .";"";"basement membrane";-6,48202273;"      .";"      ."
29;"cytosol";5,23587556;"      .";"      .";"";"fin development";-6,40034175;"      .";"      ."
30;"flavin adenine dinucleotide binding";5,15530766;"      .";"      .";"";"homophilic cell adhesion via plasma membrane adhesion molecules";-6,3331719;"      .";"      ."
31;"response to bacterium";5,15126916;"      .";"      .";"";"peptidyl-tyrosine phosphorylation";-6,27781598;"      .";"      ."
32;"electron carrier activity";5,0764867;"      .";"      .";"";"protein binding";-6,14912168;"      .";"      ."
33;"transaminase activity";4,94741968;"      .";"      .";"";"calcium ion binding";-5,97878201;"      .";"      ."
34;"lipid metabolic process";4,88154049;"      .";"      .";"";"Wnt signaling pathway";-5,83359359;"      .";"      ."
35;"substrate-specific transmembrane transporter activity";4,85657558;"      .";"      .";"";"hyaluronic acid binding";-5,75836262;"      .";"      ."
36;"skeletal muscle contraction";4,84922973;"      .";"      .";"";"camera-type eye morphogenesis";-5,72844271;"      .";"      ."
37;"regulation of muscle contraction";4,83141112;"      .";"      .";"";"chromatin binding";-5,50276157;"      .";"      ."
38;"peroxisome";4,82785495;"      .";"      .";"";"embryonic hemopoiesis";-5,48382561;"      .";"      ."
39;"molecular_function";4,78438057;"      .";"      .";"";"fin morphogenesis";-5,45207875;"      .";"      ."
40;"monooxygenase activity";4,7350652;"      .";"      .";"";"vasculogenesis";-5,25402489;"      .";"      ."
41;"cerebellum development";4,71799462;"      .";"      .";"";"fin regeneration";-5,21213168;"      .";"      ."
42;"transmembrane transporter activity";4,62877785;"      .";"      .";"";"extracellular matrix";-5,08864382;"      .";"      ."
43;"iron-sulfur cluster binding";4,62395948;"      .";"      .";"";"nervous system development";-5,08196209;"      .";"      ."
44;"cysteine-type endopeptidase inhibitor activity";4,61721157;"      .";"      .";"";"embryonic viscerocranium morphogenesis";-5,07073846;"      .";"      ."
45;"nucleoside metabolic process";4,56050148;"      .";"      .";"";"smoothened signaling pathway";-5,06556457;"      .";"      ."
46;"endomembrane system";4,55235816;"      .";"      .";"";"heart looping";-5,04053854;"      .";"      ."
47;"melanosome organization";4,54544744;"      .";"      .";"";"neuron migration";-5,0155907;"      .";"      ."
48;"GTPase activity";4,4944154;"      .";"      .";"";"transmembrane receptor protein tyrosine kinase signaling pathway";-5,00906512;"      .";"      ."
49;"protein binding, bridging";4,42308245;"      .";"      .";"";"canonical Wnt signaling pathway";-5,00359042;"      .";"      ."
50;"phosphatidylinositol binding";4,40723456;"      .";"      .";"";"cell differentiation";-4,9787232;"      .";"      ."
