"Rank";"Upregulated";"GSZ";"p.value";"fdr";".";"Downregulated";"GSZ.";"p.value.";"fdr."
1;"oxidation-reduction process";11,8213968;"      .";"      .";"";"nucleic acid binding";-19,36720073;"      .";"      ."
2;"oxidoreductase activity";10,50105302;"      .";"      .";"";"nucleus";-10,8708913;"      .";"      ."
3;"intermediate filament";9,40412846;"      .";"      .";"";"DNA binding";-9,57804458;"      .";"      ."
4;"structural molecule activity";7,97066252;"      .";"      .";"";"multicellular organism development";-9,037543;"      .";"      ."
5;"lysosome";7,41500549;"      .";"      .";"";"regulation of transcription, DNA-templated";-8,97925149;"      .";"      ."
6;"cellular response to xenobiotic stimulus";7,35161512;"      .";"      .";"";"RNA binding";-7,6883065;"      .";"      ."
7;"ATP-activated inward rectifier potassium channel activity";7,18082467;"      .";"      .";"";"axon guidance";-7,03847695;"      .";"      ."
8;"catalytic activity";6,46054812;"      .";"      .";"";"ephrin receptor signaling pathway";-6,65933954;"      .";"      ."
9;"metabolic process";6,44383755;"      .";"      .";"";"sequence-specific DNA binding";-6,60399354;"      .";"      ."
10;"lipid metabolic process";6,23024584;"      .";"      .";"";"homophilic cell adhesion via plasma membrane adhesion molecules";-6,20200709;"      .";"      ."
11;"cellular_component";6,02161835;"      .";"      .";"";"nervous system development";-5,83261669;"      .";"      ."
12;"glutathione transferase activity";5,96602978;"      .";"      .";"";"Wnt signaling pathway";-5,75766157;"      .";"      ."
13;"response to bacterium";5,81598726;"      .";"      .";"";"cell adhesion";-5,71164178;"      .";"      ."
14;"transport";5,53699741;"      .";"      .";"";"helicase activity";-5,24902086;"      .";"      ."
15;"integral component of membrane";5,52009518;"      .";"      .";"";"blood vessel development";-5,05300272;"      .";"      ."
16;"iron ion transport";5,44578173;"      .";"      .";"";"protein binding";-4,96364624;"      .";"      ."
17;"transition metal ion binding";5,37887715;"      .";"      .";"";"DNA replication";-4,94445077;"      .";"      ."
18;"membrane";5,35019071;"      .";"      .";"";"ephrin receptor activity";-4,91906262;"      .";"      ."
19;"flavin adenine dinucleotide binding";5,30990264;"      .";"      .";"";"retinal ganglion cell axon guidance";-4,85842768;"      .";"      ."
20;"ferric iron binding";5,29298676;"      .";"      .";"";"nucleolus";-4,81497667;"      .";"      ."
21;"response to oxidative stress";5,1919677;"      .";"      .";"";"chromatin binding";-4,81354682;"      .";"      ."
