"Rank";"Upregulated";"GSZ";"p.value";"fdr";".";"Downregulated";"GSZ.";"p.value.";"fdr."
1;"oxidoreductase activity";14,58293795;"      .";"      .";"";"nucleus";-17,95736255;"      .";"      ."
2;"endopeptidase inhibitor activity";14,21529532;"      .";"      .";"";"DNA binding";-16,14430854;"      .";"      ."
3;"oxidation-reduction process";14,15703439;"      .";"      .";"";"hemoglobin complex";-15,47394709;"      .";"      ."
4;"negative regulation of endopeptidase activity";12,34285816;"      .";"      .";"";"oxygen binding";-13,66760364;"      .";"      ."
5;"chylomicron";12,27187825;"      .";"      .";"";"oxygen transport";-13,66760364;"      .";"      ."
6;"lipoprotein metabolic process";12,09476471;"      .";"      .";"";"oxygen transporter activity";-13,66760364;"      .";"      ."
7;"cholesterol homeostasis";11,44447107;"      .";"      .";"";"nucleosome";-13,20152643;"      .";"      ."
8;"triglyceride catabolic process";11,0726441;"      .";"      .";"";"chromosome";-12,95165406;"      .";"      ."
9;"high-density lipoprotein particle";11,05299015;"      .";"      .";"";"nucleic acid binding";-12,9437534;"      .";"      ."
10;"metabolic process";10,89604447;"      .";"      .";"";"nucleosome assembly";-11,74793484;"      .";"      ."
11;"lipid transport";10,74608831;"      .";"      .";"";"regulation of transcription, DNA-templated";-11,24673051;"      .";"      ."
12;"catalytic activity";10,7027968;"      .";"      .";"";"multicellular organism development";-10,62474153;"      .";"      ."
13;"cholesterol biosynthetic process";10,25652307;"      .";"      .";"";"nucleosomal DNA binding";-10,60053547;"      .";"      ."
14;"cholesterol efflux";9,58331874;"      .";"      .";"";"sequence-specific DNA binding";-10,30797026;"      .";"      ."
15;"transporter activity";9,499856;"      .";"      .";"";"protein heterodimerization activity";-9,87953437;"      .";"      ."
16;"cellular response to estrogen stimulus";9,31908006;"      .";"      .";"";"RNA binding";-6,21523991;"      .";"      ."
17;"blood microparticle";9,20030579;"      .";"      .";"";"chromatin binding";-5,50456464;"      .";"      ."
18;"gluconeogenesis";9,14360916;"      .";"      .";"";"transcription, DNA-templated";-5,41790179;"      .";"      ."
19;"cholesterol transporter activity";8,74106463;"      .";"      .";"";"proteinaceous extracellular matrix";-5,35367737;"      .";"      ."
20;"cholesterol binding";8,49761617;"      .";"      .";"";"DNA replication";-5,09631218;"      .";"      ."
21;"lysosome";8,15864693;"      .";"      .";"";"DNA repair";-5,09540926;"      .";"      ."
22;"transmembrane transport";8,12592776;"      .";"      .";"";"defense response to Gram-positive bacterium";-4,9865121;"      .";"      ."
23;"response to bacterium";7,83497492;"      .";"      .";"";"peripheral nervous system neuron axonogenesis";-4,94860096;"      .";"      ."
24;"pigmentation";7,55128792;"      .";"      .";"";"nervous system development";-4,86475768;"      .";"      ."
25;"transaminase activity";7,50231868;"      .";"      .";"";"mitotic sister chromatid segregation";-4,86224884;"      .";"      ."
26;"actin binding";7,32470482;"      .";"      .";"";"Wnt signaling pathway";-4,8606729;"      .";"      ."
27;"lipid binding";7,08791141;"      .";"      .";"";"axon guidance";-4,80170739;"      .";"      ."
28;"protein binding, bridging";7,08344486;"      .";"      .";"";"membrane disruption in other organism";-4,77455165;"      .";"      ."
29;"myosin complex";7,03250449;"      .";"      .";"";"cell adhesion";-4,766751;"      .";"      ."
30;"flavin adenine dinucleotide binding";6,91131755;"      .";"      .";"";"erythrocyte differentiation";-4,612349;"      .";"      ."
31;"monooxygenase activity";6,74081458;"      .";"      .";"";"mRNA splicing, via spliceosome";-4,54103245;"      .";"      ."
32;"lipid transporter activity";6,60486176;"      .";"      .";"";"ephrin receptor signaling pathway";-4,46493313;"      .";"      ."
33;"hydrolase activity";6,53096718;"      .";"      .";"";"cellular response to DNA damage stimulus";-4,43079819;"      .";"      ."
