"Rank";"Upregulated";"GSZ";"p.value";"fdr";".";"Downregulated";"GSZ.";"p.value.";"fdr."
1;"extracellular matrix structural constituent";17,25063073;"      .";"      .";"";"oxidation-reduction process";-10,62170652;"      .";"      ."
2;"cell adhesion";15,62522001;"      .";"      .";"";"oxidoreductase activity";-10,28891312;"      .";"      ."
3;"sequence-specific DNA binding";14,70276509;"      .";"      .";"";"mitochondrion";-8,99676421;"      .";"      ."
4;"homophilic cell adhesion via plasma membrane adhesion molecules";13,57688544;"      .";"      .";"";"melanosome";-8,48540596;"      .";"      ."
5;"regulation of transcription, DNA-templated";13,52756917;"      .";"      .";"";"pigmentation";-8,18724012;"      .";"      ."
6;"calcium ion binding";13,0575378;"      .";"      .";"";"melanosome organization";-8,11890073;"      .";"      ."
7;"proteinaceous extracellular matrix";12,82806547;"      .";"      .";"";"cellular_component";-7,97556773;"      .";"      ."
8;"multicellular organism development";12,15580001;"      .";"      .";"";"catalytic activity";-7,94038531;"      .";"      ."
9;"plasma membrane";11,19955408;"      .";"      .";"";"GTP binding";-7,08652972;"      .";"      ."
10;"nervous system development";10,79949221;"      .";"      .";"";"sarcomere organization";-6,9011108;"      .";"      ."
11;"DNA binding";10,50072739;"      .";"      .";"";"lysosome";-6,87589394;"      .";"      ."
12;"transcription factor activity, sequence-specific DNA binding";10,20510825;"      .";"      .";"";"purine nucleotide biosynthetic process";-6,50687479;"      .";"      ."
13;"integral component of membrane";9,74920251;"      .";"      .";"";"electron carrier activity";-6,50142567;"      .";"      ."
14;"ion channel activity";9,48818942;"      .";"      .";"";"proteolysis involved in cellular protein catabolic process";-6,40299946;"      .";"      ."
15;"axon guidance";9,12707425;"      .";"      .";"";"substrate-specific transmembrane transporter activity";-6,35313666;"      .";"      ."
16;"membrane";8,90138987;"      .";"      .";"";"flavin adenine dinucleotide binding";-6,26888399;"      .";"      ."
17;"synapse";8,69412015;"      .";"      .";"";"iron-sulfur cluster binding";-6,26881549;"      .";"      ."
18;"ion transport";8,66392185;"      .";"      .";"";"metabolic process";-6,11515497;"      .";"      ."
19;"nucleus";8,32401783;"      .";"      .";"";"GTPase activity";-6,06679893;"      .";"      ."
20;"hyaluronic acid binding";7,62215331;"      .";"      .";"";"troponin complex";-6,03986536;"      .";"      ."
21;"cell-cell signaling";7,45267236;"      .";"      .";"";"nucleoside metabolic process";-5,95517121;"      .";"      ."
22;"collagen trimer";7,3993968;"      .";"      .";"";"heart contraction";-5,89181555;"      .";"      ."
23;"transcription, DNA-templated";7,12700075;"      .";"      .";"";"nucleolus";-5,79654758;"      .";"      ."
24;"ion transmembrane transport";7,12600992;"      .";"      .";"";"Z disc";-5,76920537;"      .";"      ."
25;"extracellular-glutamate-gated ion channel activity";7,10571552;"      .";"      .";"";"hydrolase activity";-5,70012043;"      .";"      ."
26;"ionotropic glutamate receptor activity";7,10571552;"      .";"      .";"";"melanosome transport";-5,58898029;"      .";"      ."
27;"ionotropic glutamate receptor signaling pathway";7,10571552;"      .";"      .";"";"cysteine-type endopeptidase activity";-5,57070891;"      .";"      ."
28;"heparin binding";7,00563426;"      .";"      .";"";"molecular_function";-5,45587154;"      .";"      ."
29;"neuron development";6,92083725;"      .";"      .";"";"mitochondrial inner membrane";-5,38883168;"      .";"      ."
30;"cartilage development";6,88923489;"      .";"      .";"";"cytosol";-5,3645107;"      .";"      ."
31;"integral component of plasma membrane";6,84548258;"      .";"      .";"";"striated muscle contraction";-5,3169726;"      .";"      ."
32;"transmembrane receptor protein tyrosine kinase activity";6,82695707;"      .";"      .";"";"cardiac muscle tissue development";-5,26827584;"      .";"      ."
33;"hemoglobin complex";6,65612094;"      .";"      .";"";"cytoplasm";-5,21527027;"      .";"      ."
34;"fin development";6,60479415;"      .";"      .";"";"lipoprotein metabolic process";-5,17962631;"      .";"      ."
35;"skeletal system development";6,42856811;"      .";"      .";"";"lysosomal membrane";-5,14915864;"      .";"      ."
36;"potassium ion transport";6,40236243;"      .";"      .";"";"tRNA processing";-5,0437368;"      .";"      ."
37;"presynaptic active zone";6,38635534;"      .";"      .";"";"late endosome membrane";-4,97437337;"      .";"      ."
38;"regulation of ion transmembrane transport";6,36926711;"      .";"      .";"";"M band";-4,86741652;"      .";"      ."
39;"voltage-gated ion channel activity";6,36926711;"      .";"      .";"";"DNA replication";-4,83630082;"      .";"      ."
40;"excitatory postsynaptic potential";6,32601378;"      .";"      .";"";"carbohydrate metabolic process";-4,79560177;"      .";"      ."
41;"negative regulation of angiogenesis";6,31104342;"      .";"      .";"";"proteasome complex";-4,77957881;"      .";"      ."
42;"extracellular region";6,29265461;"      .";"      .";"";"cysteine-type peptidase activity";-4,66566446;"      .";"      ."
