"Rank";"Upregulated";"GSZ";"p.value";"fdr";".";"Downregulated";"GSZ.";"p.value.";"fdr."
1;"sarcomere organization";9,94584862;"      .";"      .";"";"nucleosome";-12,60700595;"      .";"      ."
2;"pigmentation";9,88639105;"      .";"      .";"";"chromosome";-12,33041546;"      .";"      ."
3;"purine nucleotide biosynthetic process";9,22045693;"      .";"      .";"";"nucleosome assembly";-11,92054905;"      .";"      ."
4;"cardiac muscle tissue development";8,56491501;"      .";"      .";"";"protein heterodimerization activity";-8,55781641;"      .";"      ."
5;"heart contraction";8,23719017;"      .";"      .";"";"extracellular space";-7,2650395;"      .";"      ."
6;"melanosome";7,63913931;"      .";"      .";"";"DNA binding";-6,9139032;"      .";"      ."
7;"striated muscle contraction";6,67898517;"      .";"      .";"";"extracellular region";-6,65004625;"      .";"      ."
8;"endosome";6,48791092;"      .";"      .";"";"negative regulation of endopeptidase activity";-6,6354925;"      .";"      ."
9;"developmental pigmentation";6,33047707;"      .";"      .";"";"DNA-templated transcription, initiation";-6,467671;"      .";"      ."
10;"vesicle-mediated transport";6,22761815;"      .";"      .";"";"nucleosomal DNA binding";-6,43061578;"      .";"      ."
11;"melanocyte differentiation";6,14335467;"      .";"      .";"";"nucleus";-6,41116502;"      .";"      ."
12;"nucleoside metabolic process";6,10054217;"      .";"      .";"";"extracellular matrix structural constituent";-6,09841478;"      .";"      ."
13;"oxidation-reduction process";5,87871146;"      .";"      .";"";"DNA replication";-5,40100439;"      .";"      ."
14;"melanosome organization";5,66104498;"      .";"      .";"";"DNA replication initiation";-5,39022094;"      .";"      ."
15;"cardiac muscle cell proliferation";5,61167362;"      .";"      .";"";"serine-type endopeptidase inhibitor activity";-5,07953313;"      .";"      ."
16;"Z disc";5,57573072;"      .";"      .";"";"sodium ion transport";-5,0528299;"      .";"      ."
17;"oxidoreductase activity";5,53774215;"      .";"      .";"";"visual perception";-5,03811417;"      .";"      ."
18;"melanosome transport";5,44133822;"      .";"      .";"";"cellular response to estrogen stimulus";-5,02192607;"      .";"      ."
19;"M band";5,33727466;"      .";"      .";"";"small molecule binding";-4,97098316;"      .";"      ."
20;"GTPase activity";5,33402746;"      .";"      .";"";"endopeptidase inhibitor activity";-4,86013567;"      .";"      ."
21;"GTP binding";5,2906181;"      .";"      .";"";"proteinaceous extracellular matrix";-4,41514492;"      .";"      ."
22;"heart morphogenesis";5,16589928;"      .";"      .";"";"synaptic vesicle endocytosis";-4,41268614;"      .";"      ."
23;"actin binding";5,01424474;"      .";"      .";"";"DNA duplex unwinding";-4,13393034;"      .";"      ."
24;"late endosome membrane";4,96132596;"      .";"      .";"";"DNA repair";-4,1111439;"      .";"      ."
25;"cytosol";4,83221779;"      .";"      .";"";"chemokine-mediated signaling pathway";-4,01545933;"      .";"      ."
26;"myofibril assembly";4,82391235;"      .";"      .";"";"insulin-like growth factor binding";-3,87406463;"      .";"      ."
27;"electron carrier activity";4,79240175;"      .";"      .";"";"intermediate filament";-3,84368235;"      .";"      ."
28;"regulation of muscle contraction";4,76199183;"      .";"      .";"";"nucleic acid phosphodiester bond hydrolysis";-3,8263984;"      .";"      ."
29;"iron-sulfur cluster binding";4,75701511;"      .";"      .";"";"signal transduction";-3,78642097;"      .";"      ."
30;"autophagosome assembly";4,72335186;"      .";"      .";"";"ribosome";-3,76125747;"      .";"      ."
31;"regulation of heart contraction";4,6950278;"      .";"      .";"";"mismatch repair";-3,75490618;"      .";"      ."
32;"catalytic activity";4,67187589;"      .";"      .";"";"lymphangiogenesis";-3,75322486;"      .";"      ."
33;"autophagy";4,65402426;"      .";"      .";"";"collagen trimer";-3,71378684;"      .";"      ."
34;"glutathione transferase activity";4,62246048;"      .";"      .";"";"L-alpha-amino acid transmembrane transport";-3,6529282;"      .";"      ."
35;"flavin adenine dinucleotide binding";4,57940965;"      .";"      .";"";"response to bacterium";-3,64021208;"      .";"      ."
36;"heart development";4,56926918;"      .";"      .";"";"intracellular membrane-bounded organelle";-3,63350645;"      .";"      ."
37;"response to toxic substance";4,4655857;"      .";"      .";"";"protein binding, bridging";-3,50382258;"      .";"      ."
38;"endomembrane system";4,4108781;"      .";"      .";"";"kinetochore";-3,50059231;"      .";"      ."
39;"intracellular protein transport";4,37449135;"      .";"      .";"";"chemotaxis";-3,49737032;"      .";"      ."
