"Rank";"Upregulated";"GSZ";"p.value";"fdr";".";"Downregulated";"GSZ.";"p.value.";"fdr."
1;"nucleic acid binding";14,09183146;"      .";"      .";"";"calcium ion binding";-11,75363872;"      .";"      ."
2;"hemoglobin complex";10,3125953;"      .";"      .";"";"intermediate filament";-10,28066301;"      .";"      ."
3;"embryonic hemopoiesis";10,18753865;"      .";"      .";"";"ion transport";-9,93552429;"      .";"      ."
4;"DNA replication";8,03413818;"      .";"      .";"";"homophilic cell adhesion via plasma membrane adhesion molecules";-9,84707477;"      .";"      ."
5;"chromosome";7,99459732;"      .";"      .";"";"membrane";-9,77396031;"      .";"      ."
6;"erythrocyte differentiation";7,9343048;"      .";"      .";"";"nervous system development";-9,21772534;"      .";"      ."
7;"heme biosynthetic process";7,83420038;"      .";"      .";"";"plasma membrane";-9,13233147;"      .";"      ."
8;"oxygen binding";7,39491448;"      .";"      .";"";"synapse";-8,82311697;"      .";"      ."
9;"oxygen transport";7,39491448;"      .";"      .";"";"integral component of membrane";-8,71834849;"      .";"      ."
10;"oxygen transporter activity";7,39491448;"      .";"      .";"";"cell adhesion";-8,66948242;"      .";"      ."
11;"myeloid cell differentiation";7,09408905;"      .";"      .";"";"extracellular matrix structural constituent";-8,58177009;"      .";"      ."
12;"DNA replication initiation";6,58763629;"      .";"      .";"";"extracellular-glutamate-gated ion channel activity";-8,18787706;"      .";"      ."
13;"DNA duplex unwinding";6,43193825;"      .";"      .";"";"ionotropic glutamate receptor activity";-8,18787706;"      .";"      ."
14;"nucleosome";6,38865946;"      .";"      .";"";"ionotropic glutamate receptor signaling pathway";-8,18787706;"      .";"      ."
15;"DNA repair";6,2095177;"      .";"      .";"";"structural molecule activity";-8,14061864;"      .";"      ."
16;"blood vessel development";6,09635553;"      .";"      .";"";"myosin complex";-8,02613252;"      .";"      ."
17;"cell cycle";6,08076114;"      .";"      .";"";"tubulin binding";-7,76495785;"      .";"      ."
18;"mitotic cell cycle";6,0693857;"      .";"      .";"";"transport";-7,70036198;"      .";"      ."
19;"nucleolus";6,01875181;"      .";"      .";"";"motor activity";-7,22846117;"      .";"      ."
20;"kinetochore";5,61844314;"      .";"      .";"";"ion channel activity";-7,18215583;"      .";"      ."
21;"cell division";5,60838832;"      .";"      .";"";"neuron projection";-7,13014371;"      .";"      ."
22;"mitotic sister chromatid segregation";5,23225516;"      .";"      .";"";"chylomicron";-6,93161552;"      .";"      ."
23;"helicase activity";5,16914048;"      .";"      .";"";"neuron projection development";-6,74665122;"      .";"      ."
24;"hemoglobin biosynthetic process";5,14781009;"      .";"      .";"";"cell junction";-6,55518859;"      .";"      ."
25;"DNA biosynthetic process";4,82324662;"      .";"      .";"";"negative regulation of endopeptidase activity";-6,49749141;"      .";"      ."
26;"nucleosome assembly";4,7525719;"      .";"      .";"";"actin binding";-6,44198094;"      .";"      ."
27;"chromosome, centromeric region";4,69692246;"      .";"      .";"";"lipoprotein metabolic process";-6,42804123;"      .";"      ."
28;"erythrocyte development";4,66709681;"      .";"      .";"";"cytoskeleton-dependent intracellular transport";-6,2140038;"      .";"      ."
29;"nucleus";4,64135511;"      .";"      .";"";"calcium ion transport";-6,20022249;"      .";"      ."
30;"protein heterodimerization activity";4,58812468;"      .";"      .";"";"calcium ion transmembrane transport";-6,12830302;"      .";"      ."
31;"vasculogenesis";4,55798224;"      .";"      .";"";"triglyceride catabolic process";-6,0783973;"      .";"      ."
32;"DNA-directed DNA polymerase activity";4,51390752;"      .";"      .";"";"sodium ion transport";-6,0542925;"      .";"      ."
33;"nucleic acid phosphodiester bond hydrolysis";4,40352363;"      .";"      .";"";"gluconeogenesis";-6,02528948;"      .";"      ."
34;"RNA binding";4,40094048;"      .";"      .";"";"presynaptic active zone";-6,02178812;"      .";"      ."
35;"histone binding";4,32107871;"      .";"      .";"";"high-density lipoprotein particle";-5,8612762;"      .";"      ."
36;"chromosome segregation";4,29699013;"      .";"      .";"";"excitatory postsynaptic potential";-5,82021163;"      .";"      ."
37;"single-stranded DNA binding";4,21604171;"      .";"      .";"";"visual perception";-5,78823054;"      .";"      ."
38;"cellular response to DNA damage stimulus";4,20676202;"      .";"      .";"";"aromatic amino acid family metabolic process";-5,75505053;"      .";"      ."
39;"RNA-directed DNA polymerase activity";4,15665824;"      .";"      .";"";"microtubule binding";-5,70608122;"      .";"      ."
40;"RNA-dependent DNA biosynthetic process";4,13911809;"      .";"      .";"";"neurotransmitter secretion";-5,69009358;"      .";"      ."
41;"primitive hemopoiesis";4,10113967;"      .";"      .";"";"glutathione transferase activity";-5,6733892;"      .";"      ."
42;"cytokinesis";4,05613775;"      .";"      .";"";"potassium ion transport";-5,66706841;"      .";"      ."
43;"chromatin binding";4,04791626;"      .";"      .";"";"regulation of microtubule polymerization or depolymerization";-5,51298669;"      .";"      ."
44;"methyltransferase activity";4,02446296;"      .";"      .";"";"receptor activity";-5,47912626;"      .";"      ."
45;"G1/S transition of mitotic cell cycle";4,0239947;"      .";"      .";"";"ion transmembrane transport";-5,45873261;"      .";"      ."
46;"heart morphogenesis";3,85076834;"      .";"      .";"";"oxidoreductase activity";-5,40392898;"      .";"      ."
47;"tRNA processing";3,81647071;"      .";"      .";"";"glycolytic process";-5,35635938;"      .";"      ."
48;"positive regulation of pathway-restricted SMAD protein phosphorylation";3,79037028;"      .";"      .";"";"transmembrane transport";-5,29879368;"      .";"      ."
49;"transforming growth factor beta receptor binding";3,79037028;"      .";"      .";"";"postsynaptic membrane";-5,25201993;"      .";"      ."
50;"ATP-dependent DNA helicase activity";3,76594783;"      .";"      .";"";"pigmentation";-5,22930042;"      .";"      ."
51;"SMAD protein signal transduction";3,74356578;"      .";"      .";"";"sequence-specific DNA binding";-5,21065042;"      .";"      ."
52;"small-subunit processome";3,68296109;"      .";"      .";"";"central nervous system development";-5,1650468;"      .";"      ."
53;"heart development";3,65988538;"      .";"      .";"";"cholesterol efflux";-5,14971299;"      .";"      ."
54;"hemopoiesis";3,65908148;"      .";"      .";"";"cholesterol biosynthetic process";-5,07544679;"      .";"      ."
55;"nuclease activity";3,5959671;"      .";"      .";"";"secretory granule";-5,05120416;"      .";"      ."
56;"aminoacyl-tRNA ligase activity";3,5878226;"      .";"      .";"";"blood microparticle";-5,03287337;"      .";"      ."
57;"cardiac muscle cell proliferation";3,5638679;"      .";"      .";"";"oxidation-reduction process";-5,02662439;"      .";"      ."
58;"protein import into nucleus";3,53885029;"      .";"      .";"";"cellular calcium ion homeostasis";-5,01023129;"      .";"      ."
59;"DNA helicase activity";3,51365383;"      .";"      .";"";"fin regeneration";-4,94638568;"      .";"      ."
60;"condensed chromosome kinetochore";3,51309872;"      .";"      .";"";"transporter activity";-4,94208979;"      .";"      ."
61;"nuclear pore";3,47601336;"      .";"      .";"";"proteinaceous extracellular matrix";-4,94104608;"      .";"      ."
62;"rRNA processing";3,42590067;"      .";"      .";"";"calcium-transporting ATPase activity";-4,88543368;"      .";"      ."
63;"ATP-dependent RNA helicase activity";3,42450248;"      .";"      .";"";"cell-cell signaling";-4,85180616;"      .";"      ."
64;"nucleosomal DNA binding";3,41912657;"      .";"      .";"";"presynapse";-4,84638281;"      .";"      ."
65;"DNA binding";3,38713554;"      .";"      .";"";"microtubule associated complex";-4,82269139;"      .";"      ."
66;"definitive hemopoiesis";3,37286742;"      .";"      .";"";"lipid binding";-4,76977624;"      .";"      ."
67;"mitotic spindle assembly checkpoint";3,34719333;"      .";"      .";"";"regulation of cytoskeleton organization";-4,7641598;"      .";"      ."
68;"regulation of MAPK cascade";3,34261946;"      .";"      .";"";"synapse assembly";-4,74090638;"      .";"      ."
69;"tRNA aminoacylation for protein translation";3,33201195;"      .";"      .";"";"serine-type endopeptidase inhibitor activity";-4,72983769;"      .";"      ."
70;"Ran GTPase binding";3,32632509;"      .";"      .";"";"synaptic vesicle";-4,72463714;"      .";"      ."
