"Rank";"Upregulated";"GSZ";"p.value";"fdr";".";"Downregulated";"GSZ.";"p.value.";"fdr."
1;"oxidation-reduction process";12,51253033;"      .";"      .";"";"nucleosome";-17,95975429;"      .";"      ."
2;"oxidoreductase activity";12,46021652;"      .";"      .";"";"chromosome";-17,47299251;"      .";"      ."
3;"sarcomere organization";11,52752291;"      .";"      .";"";"DNA binding";-16,69638876;"      .";"      ."
4;"heart contraction";10,54805534;"      .";"      .";"";"nucleus";-15,71366328;"      .";"      ."
5;"actin binding";9,30490647;"      .";"      .";"";"nucleosome assembly";-15,16452072;"      .";"      ."
6;"cardiac muscle tissue development";8,90795209;"      .";"      .";"";"protein heterodimerization activity";-12,99601454;"      .";"      ."
7;"metabolic process";8,66604333;"      .";"      .";"";"hemoglobin complex";-12,74294652;"      .";"      ."
8;"myosin complex";8,50660714;"      .";"      .";"";"nucleosomal DNA binding";-11,02261747;"      .";"      ."
9;"lysosome";8,40402134;"      .";"      .";"";"nucleic acid binding";-10,9806308;"      .";"      ."
10;"troponin complex";8,18953392;"      .";"      .";"";"oxygen binding";-10,93425793;"      .";"      ."
11;"striated muscle contraction";8,17481376;"      .";"      .";"";"oxygen transport";-10,93425793;"      .";"      ."
12;"Z disc";8,11876819;"      .";"      .";"";"oxygen transporter activity";-10,93425793;"      .";"      ."
13;"catalytic activity";8,10625203;"      .";"      .";"";"sequence-specific DNA binding";-10,17195113;"      .";"      ."
14;"endopeptidase inhibitor activity";7,9916759;"      .";"      .";"";"regulation of transcription, DNA-templated";-9,68077058;"      .";"      ."
15;"response to bacterium";7,93586765;"      .";"      .";"";"multicellular organism development";-9,26813561;"      .";"      ."
16;"cardiac muscle contraction";7,65628564;"      .";"      .";"";"nervous system development";-8,70562628;"      .";"      ."
17;"response to cadmium ion";7,62361378;"      .";"      .";"";"homophilic cell adhesion via plasma membrane adhesion molecules";-8,03618238;"      .";"      ."
18;"cardiac muscle cell proliferation";7,55547313;"      .";"      .";"";"DNA-templated transcription, initiation";-7,94284488;"      .";"      ."
19;"pigmentation";7,37254893;"      .";"      .";"";"synapse";-7,30744794;"      .";"      ."
20;"lipoprotein metabolic process";7,24455569;"      .";"      .";"";"proteinaceous extracellular matrix";-7,13418804;"      .";"      ."
21;"striated muscle myosin thick filament assembly";6,93812007;"      .";"      .";"";"presynaptic active zone";-7,04917129;"      .";"      ."
22;"myofibril assembly";6,93027615;"      .";"      .";"";"extracellular matrix structural constituent";-6,83586935;"      .";"      ."
23;"lipid transport";6,90406561;"      .";"      .";"";"cell adhesion";-6,29798385;"      .";"      ."
24;"skeletal muscle contraction";6,86603949;"      .";"      .";"";"visual perception";-6,04363582;"      .";"      ."
25;"structural constituent of muscle";6,861902;"      .";"      .";"";"peripheral nervous system neuron axonogenesis";-5,94730379;"      .";"      ."
26;"M band";6,6587299;"      .";"      .";"";"transcription, DNA-templated";-5,94710054;"      .";"      ."
27;"chylomicron";6,40319936;"      .";"      .";"";"microtubule";-5,77154005;"      .";"      ."
28;"regulation of muscle contraction";6,27164682;"      .";"      .";"";"axon guidance";-5,68633808;"      .";"      ."
29;"melanosome";6,20183013;"      .";"      .";"";"extracellular-glutamate-gated ion channel activity";-5,44491739;"      .";"      ."
30;"immune response";6,10761101;"      .";"      .";"";"ionotropic glutamate receptor activity";-5,44491739;"      .";"      ."
31;"inflammatory response";5,93052331;"      .";"      .";"";"ionotropic glutamate receptor signaling pathway";-5,44491739;"      .";"      ."
32;"triglyceride catabolic process";5,83573303;"      .";"      .";"";"ion channel activity";-5,23827164;"      .";"      ."
