"Rank";"Upregulated";"GSZ";"p.value";"fdr";".";"Downregulated";"GSZ.";"p.value.";"fdr."
1;"nucleic acid binding";25,37457828;"      .";"      .";"";"membrane";-14,05477489;"      .";"      ."
2;"nucleus";23,37760463;"      .";"      .";"";"integral component of membrane";-12,80350438;"      .";"      ."
3;"chromosome";23,24489063;"      .";"      .";"";"oxidation-reduction process";-9,91739918;"      .";"      ."
4;"nucleosome";22,66515413;"      .";"      .";"";"transport";-9,79292801;"      .";"      ."
5;"DNA binding";22,25124516;"      .";"      .";"";"oxidoreductase activity";-9,58812068;"      .";"      ."
6;"nucleosome assembly";18,2127788;"      .";"      .";"";"transmembrane transport";-8,31503917;"      .";"      ."
7;"protein heterodimerization activity";16,93112849;"      .";"      .";"";"ion transport";-8,16766861;"      .";"      ."
8;"nucleosomal DNA binding";13,10733017;"      .";"      .";"";"gluconeogenesis";-7,99323922;"      .";"      ."
9;"multicellular organism development";12,22631922;"      .";"      .";"";"lipid transport";-7,86690031;"      .";"      ."
10;"regulation of transcription, DNA-templated";11,67951418;"      .";"      .";"";"response to bacterium";-7,64310273;"      .";"      ."
11;"DNA replication";11,01719413;"      .";"      .";"";"troponin complex";-7,37344048;"      .";"      ."
12;"RNA binding";10,91035946;"      .";"      .";"";"metabolic process";-7,36040131;"      .";"      ."
13;"DNA-templated transcription, initiation";10,00961515;"      .";"      .";"";"lipoprotein metabolic process";-7,19496869;"      .";"      ."
14;"DNA repair";9,16838918;"      .";"      .";"";"glycolytic process";-7,15796386;"      .";"      ."
15;"sequence-specific DNA binding";8,96889148;"      .";"      .";"";"actin binding";-6,94681848;"      .";"      ."
16;"DNA replication initiation";8,62268261;"      .";"      .";"";"heart contraction";-6,93227249;"      .";"      ."
17;"membrane disruption in other organism";8,51462107;"      .";"      .";"";"response to cadmium ion";-6,92061853;"      .";"      ."
18;"DNA duplex unwinding";8,15240243;"      .";"      .";"";"catalytic activity";-6,85270101;"      .";"      ."
19;"nucleolus";8,04056659;"      .";"      .";"";"negative regulation of insulin receptor signaling pathway";-6,79090899;"      .";"      ."
20;"transcription, DNA-templated";8,01010638;"      .";"      .";"";"transporter activity";-6,66026091;"      .";"      ."
21;"defense response to Gram-positive bacterium";7,7227113;"      .";"      .";"";"negative regulation of endopeptidase activity";-6,48088109;"      .";"      ."
22;"cellular response to DNA damage stimulus";7,6425284;"      .";"      .";"";"chylomicron";-6,46047255;"      .";"      ."
23;"chromatin binding";7,49858452;"      .";"      .";"";"cytokine-mediated signaling pathway";-6,41289507;"      .";"      ."
24;"helicase activity";7,32644367;"      .";"      .";"";"plasma membrane";-6,3194395;"      .";"      ."
25;"chromatin silencing";7,23418208;"      .";"      .";"";"visual perception";-6,2707216;"      .";"      ."
26;"hindbrain development";7,05224001;"      .";"      .";"";"signal transduction";-6,13033418;"      .";"      ."
27;"cell cycle";6,95423966;"      .";"      .";"";"cardiac muscle contraction";-6,08740192;"      .";"      ."
28;"ephrin receptor signaling pathway";6,74421794;"      .";"      .";"";"photoreceptor activity";-6,05658409;"      .";"      ."
29;"kinetochore";6,48118918;"      .";"      .";"";"skeletal muscle contraction";-5,9968473;"      .";"      ."
30;"mitotic cell cycle";6,26643238;"      .";"      .";"";"triglyceride catabolic process";-5,96586668;"      .";"      ."
31;"DNA biosynthetic process";6,25474843;"      .";"      .";"";"cholesterol homeostasis";-5,96520006;"      .";"      ."
32;"mRNA splicing, via spliceosome";6,18130375;"      .";"      .";"";"cellular calcium ion homeostasis";-5,90929483;"      .";"      ."
33;"Notch signaling pathway";5,91322317;"      .";"      .";"";"circadian regulation of gene expression";-5,81787981;"      .";"      ."
34;"anterior/posterior pattern specification";5,80577903;"      .";"      .";"";"ion channel activity";-5,73271551;"      .";"      ."
35;"chromosome, centromeric region";5,79093805;"      .";"      .";"";"high-density lipoprotein particle";-5,68676253;"      .";"      ."
36;"methyltransferase activity";5,78551766;"      .";"      .";"";"protein-chromophore linkage";-5,66933163;"      .";"      ."
37;"cell division";5,66478228;"      .";"      .";"";"sarcomere organization";-5,51229494;"      .";"      ."
38;"ephrin receptor activity";5,65211076;"      .";"      .";"";"cholesterol biosynthetic process";-5,34388095;"      .";"      ."
39;"nuclear chromatin";5,57306668;"      .";"      .";"";"integral component of plasma membrane";-5,32983072;"      .";"      ."
40;"DNA recombination";5,54688217;"      .";"      .";"";"phototransduction";-5,32837976;"      .";"      ."
41;"nucleic acid phosphodiester bond hydrolysis";5,51686004;"      .";"      .";"";"platelet activation";-5,32016011;"      .";"      ."
42;"mitotic sister chromatid segregation";5,42157333;"      .";"      .";"";"intracellular signal transduction";-5,27081118;"      .";"      ."
