"Rank";"Upregulated";"GSZ";"p.value";"fdr";".";"Downregulated";"GSZ.";"p.value.";"fdr."
1;"chromosome";18,01609112;"      .";"      .";"";"calcium ion binding";-11,73975827;"      .";"      ."
2;"nucleosome";17,41919045;"      .";"      .";"";"ion transport";-11,42658221;"      .";"      ."
3;"nucleic acid binding";13,57506057;"      .";"      .";"";"extracellular matrix structural constituent";-9,73680709;"      .";"      ."
4;"nucleosome assembly";13,48643078;"      .";"      .";"";"nervous system development";-9,71477475;"      .";"      ."
5;"protein heterodimerization activity";13,43098446;"      .";"      .";"";"plasma membrane";-9,67331727;"      .";"      ."
6;"hemoglobin complex";11,53888499;"      .";"      .";"";"synapse";-9,48862569;"      .";"      ."
7;"embryonic hemopoiesis";11,33344297;"      .";"      .";"";"ion channel activity";-8,94433394;"      .";"      ."
8;"oxygen binding";9,05168028;"      .";"      .";"";"extracellular-glutamate-gated ion channel activity";-8,73809693;"      .";"      ."
9;"oxygen transport";9,05168028;"      .";"      .";"";"ionotropic glutamate receptor activity";-8,73809693;"      .";"      ."
10;"oxygen transporter activity";9,05168028;"      .";"      .";"";"ionotropic glutamate receptor signaling pathway";-8,73809693;"      .";"      ."
11;"DNA-templated transcription, initiation";9,00824157;"      .";"      .";"";"membrane";-8,72777876;"      .";"      ."
12;"nucleolus";8,65148971;"      .";"      .";"";"homophilic cell adhesion via plasma membrane adhesion molecules";-8,65630171;"      .";"      ."
13;"nucleosomal DNA binding";8,54768506;"      .";"      .";"";"intermediate filament";-8,51943048;"      .";"      ."
14;"erythrocyte differentiation";8,52867131;"      .";"      .";"";"transport";-8,2102704;"      .";"      ."
15;"heme biosynthetic process";8,36768548;"      .";"      .";"";"neuron projection";-7,96560031;"      .";"      ."
16;"DNA replication";8,19653353;"      .";"      .";"";"integral component of membrane";-7,72169993;"      .";"      ."
17;"myeloid cell differentiation";7,83217953;"      .";"      .";"";"negative regulation of endopeptidase activity";-7,62576625;"      .";"      ."
18;"membrane disruption in other organism";7,56036097;"      .";"      .";"";"microtubule binding";-7,50576079;"      .";"      ."
19;"blood vessel development";7,31369364;"      .";"      .";"";"cell adhesion";-7,26530257;"      .";"      ."
20;"RNA binding";7,28985586;"      .";"      .";"";"lipoprotein metabolic process";-7,08921145;"      .";"      ."
21;"defense response to Gram-positive bacterium";7,23836425;"      .";"      .";"";"structural molecule activity";-6,99058346;"      .";"      ."
22;"DNA replication initiation";7,14296913;"      .";"      .";"";"neurotransmitter secretion";-6,96833757;"      .";"      ."
23;"DNA repair";7,04701849;"      .";"      .";"";"calcium ion transport";-6,8890388;"      .";"      ."
24;"translation";6,81624213;"      .";"      .";"";"glycolytic process";-6,85953125;"      .";"      ."
25;"vasculogenesis";6,50081283;"      .";"      .";"";"neuron development";-6,82053506;"      .";"      ."
26;"rRNA processing";6,45326474;"      .";"      .";"";"endopeptidase inhibitor activity";-6,69424347;"      .";"      ."
27;"DNA duplex unwinding";6,41502834;"      .";"      .";"";"calcium ion transmembrane transport";-6,68404113;"      .";"      ."
28;"hemoglobin biosynthetic process";6,38159204;"      .";"      .";"";"proteinaceous extracellular matrix";-6,54841625;"      .";"      ."
29;"helicase activity";6,16131701;"      .";"      .";"";"lipid transport";-6,53369483;"      .";"      ."
30;"heart development";6,10223512;"      .";"      .";"";"ion transmembrane transport";-6,50921825;"      .";"      ."
31;"nucleus";6,08201859;"      .";"      .";"";"intracellular receptor signaling pathway";-6,45959062;"      .";"      ."
32;"erythrocyte development";5,74828038;"      .";"      .";"";"excitatory postsynaptic potential";-6,45731375;"      .";"      ."
33;"cellular response to DNA damage stimulus";5,6895634;"      .";"      .";"";"sodium ion transport";-6,3984744;"      .";"      ."
34;"nucleic acid phosphodiester bond hydrolysis";5,65086119;"      .";"      .";"";"cell junction";-6,39719808;"      .";"      ."
35;"tRNA processing";5,60897579;"      .";"      .";"";"visual perception";-6,37209342;"      .";"      ."
36;"ribosome biogenesis";5,55756851;"      .";"      .";"";"chylomicron";-6,36645258;"      .";"      ."
37;"heart morphogenesis";5,50047519;"      .";"      .";"";"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding";-6,28248316;"      .";"      ."
38;"mitotic sister chromatid segregation";5,32695168;"      .";"      .";"";"actin binding";-6,25534456;"      .";"      ."
39;"DNA binding";5,26537148;"      .";"      .";"";"sequence-specific DNA binding";-6,20422608;"      .";"      ."
40;"methyltransferase activity";5,21908854;"      .";"      .";"";"potassium ion transport";-6,14739186;"      .";"      ."
41;"cell division";5,193075;"      .";"      .";"";"presynaptic active zone";-5,98915172;"      .";"      ."
42;"small-subunit processome";5,15297624;"      .";"      .";"";"regulation of ion transmembrane transport";-5,93928368;"      .";"      ."
43;"kinetochore";5,12370244;"      .";"      .";"";"voltage-gated ion channel activity";-5,93928368;"      .";"      ."
44;"mitotic cell cycle";5,06056711;"      .";"      .";"";"tubulin binding";-5,88334292;"      .";"      ."
45;"cell cycle";5,01410714;"      .";"      .";"";"synapse assembly";-5,86703437;"      .";"      ."
46;"chromatin silencing";5,01067481;"      .";"      .";"";"postsynaptic membrane";-5,82653821;"      .";"      ."
47;"DNA biosynthetic process";4,99703923;"      .";"      .";"";"myosin complex";-5,79682228;"      .";"      ."
48;"RNA processing";4,97283837;"      .";"      .";"";"extracellular region";-5,73511484;"      .";"      ."
49;"ATP-dependent RNA helicase activity";4,9199313;"      .";"      .";"";"transmembrane transport";-5,71520209;"      .";"      ."
50;"nuclease activity";4,80601489;"      .";"      .";"";"transporter activity";-5,70020942;"      .";"      ."
51;"intracellular ribonucleoprotein complex";4,79356595;"      .";"      .";"";"voltage-gated calcium channel complex";-5,69348742;"      .";"      ."
52;"protein import into nucleus";4,72896165;"      .";"      .";"";"circadian regulation of gene expression";-5,6071548;"      .";"      ."
53;"hemopoiesis";4,7207502;"      .";"      .";"";"voltage-gated calcium channel activity";-5,57701861;"      .";"      ."
54;"methylation";4,66363615;"      .";"      .";"";"synaptic vesicle";-5,52257356;"      .";"      ."
55;"single-stranded DNA binding";4,60839319;"      .";"      .";"";"RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding";-5,44275905;"      .";"      ."
56;"angiogenesis";4,57429383;"      .";"      .";"";"microtubule associated complex";-5,41873182;"      .";"      ."
57;"innate immune response";4,54464219;"      .";"      .";"";"cytoskeleton-dependent intracellular transport";-5,3462124;"      .";"      ."
58;"nuclear chromatin";4,48191778;"      .";"      .";"";"triglyceride catabolic process";-5,30367566;"      .";"      ."
59;"DNA-directed DNA polymerase activity";4,43775027;"      .";"      .";"";"receptor activity";-5,29920764;"      .";"      ."
60;"ribosome";4,43337647;"      .";"      .";"";"lipid binding";-5,2940369;"      .";"      ."
61;"translational initiation";4,38224313;"      .";"      .";"";"oxidoreductase activity";-5,25411712;"      .";"      ."
62;"nuclear pore";4,36956422;"      .";"      .";"";"high-density lipoprotein particle";-5,21994549;"      .";"      ."
63;"endonuclease activity";4,35870493;"      .";"      .";"";"small molecule binding";-5,19319742;"      .";"      ."
64;"aminoacyl-tRNA ligase activity";4,2846787;"      .";"      .";"";"transcription factor activity, sequence-specific DNA binding";-5,16546222;"      .";"      ."
