"Rank";"Upregulated";"GSZ";"p.value";"fdr";".";"Downregulated";"GSZ.";"p.value.";"fdr."
1;"oxidoreductase activity";11,29359738;"      .";"      .";"";"DNA binding";-12,42664375;"      .";"      ."
2;"oxidation-reduction process";10,5970071;"      .";"      .";"";"nucleus";-11,41469202;"      .";"      ."
3;"lipoprotein metabolic process";8,3960952;"      .";"      .";"";"nucleosome";-10,90960099;"      .";"      ."
4;"chylomicron";7,27579917;"      .";"      .";"";"chromosome";-9,99986516;"      .";"      ."
5;"lipid transport";7,18173241;"      .";"      .";"";"regulation of transcription, DNA-templated";-8,74905363;"      .";"      ."
6;"triglyceride catabolic process";7,15422215;"      .";"      .";"";"sequence-specific DNA binding";-8,35651034;"      .";"      ."
7;"cholesterol homeostasis";6,82912907;"      .";"      .";"";"hemoglobin complex";-8,21482469;"      .";"      ."
8;"high-density lipoprotein particle";6,82311383;"      .";"      .";"";"protein heterodimerization activity";-8,1124961;"      .";"      ."
9;"negative regulation of endopeptidase activity";6,76581068;"      .";"      .";"";"nucleosome assembly";-7,60437673;"      .";"      ."
10;"endopeptidase inhibitor activity";6,7624449;"      .";"      .";"";"multicellular organism development";-7,57088033;"      .";"      ."
11;"pigmentation";6,21863801;"      .";"      .";"";"oxygen binding";-6,79598962;"      .";"      ."
12;"photoreceptor activity";5,9905936;"      .";"      .";"";"oxygen transport";-6,79598962;"      .";"      ."
13;"blood microparticle";5,96220482;"      .";"      .";"";"oxygen transporter activity";-6,79598962;"      .";"      ."
14;"sarcomere organization";5,89309776;"      .";"      .";"";"nucleic acid binding";-6,40834315;"      .";"      ."
15;"cellular_component";5,75796717;"      .";"      .";"";"cell adhesion";-6,14700881;"      .";"      ."
16;"cholesterol efflux";5,67442961;"      .";"      .";"";"homophilic cell adhesion via plasma membrane adhesion molecules";-6,08432977;"      .";"      ."
17;"protein-chromophore linkage";5,66508522;"      .";"      .";"";"DNA-templated transcription, initiation";-5,52835648;"      .";"      ."
18;"transporter activity";5,48183657;"      .";"      .";"";"erythrocyte differentiation";-5,49092875;"      .";"      ."
19;"metabolic process";5,36569809;"      .";"      .";"";"transcription factor activity, sequence-specific DNA binding";-5,45180899;"      .";"      ."
20;"cholesterol biosynthetic process";5,30053623;"      .";"      .";"";"vasculogenesis";-5,44487348;"      .";"      ."
21;"cholesterol binding";5,29297874;"      .";"      .";"";"nervous system development";-5,01017383;"      .";"      ."
22;"lipid binding";5,225829;"      .";"      .";"";"ephrin receptor signaling pathway";-4,93916459;"      .";"      ."
23;"regulation of muscle contraction";5,08910377;"      .";"      .";"";"regulation of ion transmembrane transport";-4,70909045;"      .";"      ."
24;"troponin complex";5,07908122;"      .";"      .";"";"voltage-gated ion channel activity";-4,70909045;"      .";"      ."
