"gene set";"p-value";"fdr"
"activation of MAPKK activity";"0.0555555555555556      .";"0.847081218274112      ."
"actomyosin structure organization";"0.0555555555555556      .";"0.847081218274112      ."
"camera-type eye morphogenesis";"0.0555555555555556      .";"0.847081218274112      ."
"cation binding";"0.0555555555555556      .";"0.847081218274112      ."
"cell fate specification";"0.0555555555555556      .";"0.847081218274112      ."
"determination of dorsal identity";"0.0555555555555556      .";"0.847081218274112      ."
"developmental process";"0.0555555555555556      .";"0.847081218274112      ."
"dynamin family protein polymerization involved in mitochondrial fission";"0.0555555555555556      .";"0.847081218274112      ."
"dynein heavy chain binding";"0.0555555555555556      .";"0.847081218274112      ."
"eye photoreceptor cell development";"0.0555555555555556      .";"0.847081218274112      ."
"G-protein coupled serotonin receptor activity";"0.0555555555555556      .";"0.847081218274112      ."
"intrinsic apoptotic signaling pathway by p53 class mediator";"0.0555555555555556      .";"0.847081218274112      ."
"lipid phosphatase activity";"0.0555555555555556      .";"0.847081218274112      ."
"microtubule-based process";"0.0555555555555556      .";"0.847081218274112      ."
"mitochondrial fission";"0.0555555555555556      .";"0.847081218274112      ."
"motile cilium";"0.0555555555555556      .";"0.847081218274112      ."
"motor neuron axon guidance";"0.0555555555555556      .";"0.847081218274112      ."
"negative regulation of angiogenesis";"0.0555555555555556      .";"0.847081218274112      ."
"negative regulation of cell differentiation";"0.0555555555555556      .";"0.847081218274112      ."
"negative regulation of JAK-STAT cascade";"0.0555555555555556      .";"0.847081218274112      ."
"negative regulation of transforming growth factor beta receptor signaling pathway";"0.0555555555555556      .";"0.847081218274112      ."
"neuropeptide hormone activity";"0.0555555555555556      .";"0.847081218274112      ."
"neuropeptide receptor activity";"0.0555555555555556      .";"0.847081218274112      ."
"neuropeptide signaling pathway";"0.0555555555555556      .";"0.847081218274112      ."
"phosphatase activity";"0.0555555555555556      .";"0.847081218274112      ."
"phospholipid metabolic process";"0.0555555555555556      .";"0.847081218274112      ."
"protein complex assembly";"0.0555555555555556      .";"0.847081218274112      ."
"protein dephosphorylation";"0.0555555555555556      .";"0.847081218274112      ."
"protein phosphatase inhibitor activity";"0.0555555555555556      .";"0.847081218274112      ."
"protein phosphatase regulator activity";"0.0555555555555556      .";"0.847081218274112      ."
"regeneration";"0.0555555555555556      .";"0.847081218274112      ."
"regulation of microtubule polymerization or depolymerization";"0.0555555555555556      .";"0.847081218274112      ."
"response to biotic stimulus";"0.0555555555555556      .";"0.847081218274112      ."
"response to peptide";"0.0555555555555556      .";"0.847081218274112      ."
"sensory epithelium regeneration";"0.0555555555555556      .";"0.847081218274112      ."
"SMAD binding";"0.0555555555555556      .";"0.847081218274112      ."
"stabilization of membrane potential";"0.0555555555555556      .";"0.847081218274112      ."
"sulfotransferase activity";"0.0555555555555556      .";"0.847081218274112      ."
"tachykinin receptor signaling pathway";"0.0555555555555556      .";"0.847081218274112      ."
"acetylcholine-gated channel complex";"0.111111111111111      .";"1      ."
"acetylcholine binding";"0.111111111111111      .";"1      ."
"AMPA glutamate receptor complex";"0.111111111111111      .";"1      ."
"ATP-dependent chromatin remodeling";"0.111111111111111      .";"1      ."
"ATP-dependent microtubule motor activity, minus-end-directed";"0.111111111111111      .";"1      ."
"ATP-dependent microtubule motor activity, plus-end-directed";"0.111111111111111      .";"1      ."
"axon";"0.111111111111111      .";"1      ."
"axon guidance";"0.111111111111111      .";"1      ."
"axon regeneration";"0.111111111111111      .";"1      ."
"axonal fasciculation";"0.111111111111111      .";"1      ."
"axonogenesis";"0.111111111111111      .";"1      ."
"brain development";"0.111111111111111      .";"1      ."
"calcium-activated potassium channel activity";"0.111111111111111      .";"1      ."
"calcium channel activity";"0.111111111111111      .";"1      ."
"calcium ion-regulated exocytosis of neurotransmitter";"0.111111111111111      .";"1      ."
"calcium ion transmembrane transport";"0.111111111111111      .";"1      ."
"calcium ion transport";"0.111111111111111      .";"1      ."
"calmodulin-dependent protein kinase activity";"0.111111111111111      .";"1      ."
"calmodulin binding";"0.111111111111111      .";"1      ."
"camera-type eye development";"0.111111111111111      .";"1      ."
"carbohydrate biosynthetic process";"0.111111111111111      .";"1      ."
"carboxylic ester hydrolase activity";"0.111111111111111      .";"1      ."
"cell-cell junction";"0.111111111111111      .";"1      ."
"cell-cell signaling";"0.111111111111111      .";"1      ."
"cell junction";"0.111111111111111      .";"1      ."
"central nervous system projection neuron axonogenesis";"0.111111111111111      .";"1      ."
"channel regulator activity";"0.111111111111111      .";"1      ."
"chemical synaptic transmission";"0.111111111111111      .";"1      ."
"chromatin silencing";"0.111111111111111      .";"1      ."
"cilium movement";"0.111111111111111      .";"1      ."
"clathrin binding";"0.111111111111111      .";"1      ."
"clathrin coat assembly";"0.111111111111111      .";"1      ."
"cytoskeleton-dependent intracellular transport";"0.111111111111111      .";"1      ."
"cytoskeleton organization";"0.111111111111111      .";"1      ."
"dendrite";"0.111111111111111      .";"1      ."
"dopamine receptor signaling pathway";"0.111111111111111      .";"1      ."
"dynein complex";"0.111111111111111      .";"1      ."
"dynein intermediate chain binding";"0.111111111111111      .";"1      ."
"establishment of cell polarity";"0.111111111111111      .";"1      ."
"excitatory postsynaptic potential";"0.111111111111111      .";"1      ."
"exocrine pancreas development";"0.111111111111111      .";"1      ."
"extracellular-glutamate-gated ion channel activity";"0.111111111111111      .";"1      ."
"extracellular ligand-gated ion channel activity";"0.111111111111111      .";"1      ."
"feeding behavior";"0.111111111111111      .";"1      ."
"forebrain development";"0.111111111111111      .";"1      ."
"G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger";"0.111111111111111      .";"1      ."
"G-protein coupled serotonin receptor signaling pathway";"0.111111111111111      .";"1      ."
"GABA-A receptor activity";"0.111111111111111      .";"1      ."
"GABA-A receptor complex";"0.111111111111111      .";"1      ."
"glutamate receptor activity";"0.111111111111111      .";"1      ."
"heparin binding";"0.111111111111111      .";"1      ."
"high voltage-gated calcium channel activity";"0.111111111111111      .";"1      ."
"homophilic cell adhesion via plasma membrane adhesion molecules";"0.111111111111111      .";"1      ."
"hormone activity";"0.111111111111111      .";"1      ."
"identical protein binding";"0.111111111111111      .";"1      ."
"integrin binding";"0.111111111111111      .";"1      ."
"intra-Golgi vesicle-mediated transport";"0.111111111111111      .";"1      ."
"intracellular signal transduction";"0.111111111111111      .";"1      ."
"intrinsic component of the cytoplasmic side of the plasma membrane";"0.111111111111111      .";"1      ."
"ion channel activity";"0.111111111111111      .";"1      ."
"ion channel binding";"0.111111111111111      .";"1      ."
"ion transmembrane transport";"0.111111111111111      .";"1      ."
"ion transport";"0.111111111111111      .";"1      ."
"ionotropic glutamate receptor activity";"0.111111111111111      .";"1      ."
"ionotropic glutamate receptor signaling pathway";"0.111111111111111      .";"1      ."
"kinase activity";"0.111111111111111      .";"1      ."
"lymph vessel development";"0.111111111111111      .";"1      ."
"membrane depolarization during action potential";"0.111111111111111      .";"1      ."
"metalloendopeptidase activity";"0.111111111111111      .";"1      ."
"microtubule associated complex";"0.111111111111111      .";"1      ."
"modulation of synaptic transmission";"0.111111111111111      .";"1      ."
"negative regulation of BMP signaling pathway";"0.111111111111111      .";"1      ."
"negative regulation of mitotic cell cycle";"0.111111111111111      .";"1      ."
"negative regulation of protein kinase activity";"0.111111111111111      .";"1      ."
"negative regulation of Ras protein signal transduction";"0.111111111111111      .";"1      ."
"nervous system development";"0.111111111111111      .";"1      ."
"neuromuscular synaptic transmission";"0.111111111111111      .";"1      ."
"neuron development";"0.111111111111111      .";"1      ."
"neuron projection";"0.111111111111111      .";"1      ."
