"gene set";"p-value";"fdr"
"animal organ morphogenesis";"0.0555555555555556      .";"0.638387675424712      ."
"anion transport";"0.0555555555555556      .";"0.638387675424712      ."
"anterior/posterior axis specification";"0.0555555555555556      .";"0.638387675424712      ."
"beta-catenin binding";"0.0555555555555556      .";"0.638387675424712      ."
"bone mineralization";"0.0555555555555556      .";"0.638387675424712      ."
"calcium ion binding";"0.0555555555555556      .";"0.638387675424712      ."
"calcium ion homeostasis";"0.0555555555555556      .";"0.638387675424712      ."
"canonical Wnt signaling pathway";"0.0555555555555556      .";"0.638387675424712      ."
"cell-cell junction";"0.0555555555555556      .";"0.638387675424712      ."
"cell cortex";"0.0555555555555556      .";"0.638387675424712      ."
"cell growth";"0.0555555555555556      .";"0.638387675424712      ."
"cell surface receptor signaling pathway";"0.0555555555555556      .";"0.638387675424712      ."
"cellular component organization";"0.0555555555555556      .";"0.638387675424712      ."
"chloride channel complex";"0.0555555555555556      .";"0.638387675424712      ."
"closure of optic fissure";"0.0555555555555556      .";"0.638387675424712      ."
"cytoskeletal anchoring at nuclear membrane";"0.0555555555555556      .";"0.638387675424712      ."
"detection of mechanical stimulus";"0.0555555555555556      .";"0.638387675424712      ."
"embryonic cranial skeleton morphogenesis";"0.0555555555555556      .";"0.638387675424712      ."
"endocrine pancreas development";"0.0555555555555556      .";"0.638387675424712      ."
"endothelial cell proliferation";"0.0555555555555556      .";"0.638387675424712      ."
"establishment of cell polarity";"0.0555555555555556      .";"0.638387675424712      ."
"glomerular visceral epithelial cell development";"0.0555555555555556      .";"0.638387675424712      ."
"glucose homeostasis";"0.0555555555555556      .";"0.638387675424712      ."
"Golgi cisterna membrane";"0.0555555555555556      .";"0.638387675424712      ."
"head development";"0.0555555555555556      .";"0.638387675424712      ."
"heart jogging";"0.0555555555555556      .";"0.638387675424712      ."
"heparin binding";"0.0555555555555556      .";"0.638387675424712      ."
"hormone activity";"0.0555555555555556      .";"0.638387675424712      ."
"hyaluronic acid binding";"0.0555555555555556      .";"0.638387675424712      ."
"insulin-like growth factor binding";"0.0555555555555556      .";"0.638387675424712      ."
"insulin receptor binding";"0.0555555555555556      .";"0.638387675424712      ."
"integrin binding";"0.0555555555555556      .";"0.638387675424712      ."
"L-ascorbic acid binding";"0.0555555555555556      .";"0.638387675424712      ."
"lymph vessel development";"0.0555555555555556      .";"0.638387675424712      ."
"metalloendopeptidase activity";"0.0555555555555556      .";"0.638387675424712      ."
"multicellular organismal response to stress";"0.0555555555555556      .";"0.638387675424712      ."
"negative chemotaxis";"0.0555555555555556      .";"0.638387675424712      ."
"negative regulation of BMP signaling pathway";"0.0555555555555556      .";"0.638387675424712      ."
"negative regulation of canonical Wnt signaling pathway";"0.0555555555555556      .";"0.638387675424712      ."
"negative regulation of cell proliferation";"0.0555555555555556      .";"0.638387675424712      ."
"negative regulation of transcription from RNA polymerase II promoter";"0.0555555555555556      .";"0.638387675424712      ."
"negative regulation of transcription, DNA-templated";"0.0555555555555556      .";"0.638387675424712      ."
"negative regulation of Wnt signaling pathway";"0.0555555555555556      .";"0.638387675424712      ."
"neuropilin binding";"0.0555555555555556      .";"0.638387675424712      ."
"otolith development";"0.0555555555555556      .";"0.638387675424712      ."
"peptidyl-tyrosine phosphorylation";"0.0555555555555556      .";"0.638387675424712      ."
"pharyngeal system development";"0.0555555555555556      .";"0.638387675424712      ."
"phosphatidylinositol-4,5-bisphosphate binding";"0.0555555555555556      .";"0.638387675424712      ."
"phosphatidylinositol 3-kinase binding";"0.0555555555555556      .";"0.638387675424712      ."
"phosphatidylinositol phospholipase C activity";"0.0555555555555556      .";"0.638387675424712      ."
"phospholipid-translocating ATPase activity";"0.0555555555555556      .";"0.638387675424712      ."
"phospholipid translocation";"0.0555555555555556      .";"0.638387675424712      ."
"positive regulation of canonical Wnt signaling pathway";"0.0555555555555556      .";"0.638387675424712      ."
"positive regulation of transcription, DNA-templated";"0.0555555555555556      .";"0.638387675424712      ."
"posterior lateral line neuromast development";"0.0555555555555556      .";"0.638387675424712      ."
"posterior lateral line neuromast primordium migration";"0.0555555555555556      .";"0.638387675424712      ."
"protein binding";"0.0555555555555556      .";"0.638387675424712      ."
"protein tyrosine kinase activity";"0.0555555555555556      .";"0.638387675424712      ."
"regulation of angiogenesis";"0.0555555555555556      .";"0.638387675424712      ."
"regulation of canonical Wnt signaling pathway";"0.0555555555555556      .";"0.638387675424712      ."
"retinoic acid receptor signaling pathway";"0.0555555555555556      .";"0.638387675424712      ."
