"gene set";"p-value";"fdr"
"actin polymerization or depolymerization";"0.0065359477124183      .";"0.309594573997866      ."
"activation of GTPase activity";"0.0065359477124183      .";"0.309594573997866      ."
"activation of MAPK activity";"0.0065359477124183      .";"0.309594573997866      ."
"antigen processing and presentation";"0.0065359477124183      .";"0.309594573997866      ."
"carbohydrate phosphorylation";"0.0065359477124183      .";"0.309594573997866      ."
"CCR chemokine receptor binding";"0.0065359477124183      .";"0.309594573997866      ."
"cell chemotaxis";"0.0065359477124183      .";"0.309594573997866      ."
"cell migration";"0.0065359477124183      .";"0.309594573997866      ."
"cellular response to interferon-gamma";"0.0065359477124183      .";"0.309594573997866      ."
"cellular response to interleukin-1";"0.0065359477124183      .";"0.309594573997866      ."
"cellular response to tumor necrosis factor";"0.0065359477124183      .";"0.309594573997866      ."
"chemokine-mediated signaling pathway";"0.0065359477124183      .";"0.309594573997866      ."
"chemokine activity";"0.0065359477124183      .";"0.309594573997866      ."
"chemokine receptor activity";"0.0065359477124183      .";"0.309594573997866      ."
"chemotaxis";"0.0065359477124183      .";"0.309594573997866      ."
"cysteine-type endopeptidase activity";"0.0065359477124183      .";"0.309594573997866      ."
"cytokine receptor activity";"0.0065359477124183      .";"0.309594573997866      ."
"cytoplasm";"0.0065359477124183      .";"0.309594573997866      ."
"deaminase activity";"0.0065359477124183      .";"0.309594573997866      ."
"defense response to bacterium";"0.0065359477124183      .";"0.309594573997866      ."
"defense response to virus";"0.0065359477124183      .";"0.309594573997866      ."
"dephosphorylation";"0.0065359477124183      .";"0.309594573997866      ."
"enzyme activator activity";"0.0065359477124183      .";"0.309594573997866      ."
"extrinsic apoptotic signaling pathway in absence of ligand";"0.0065359477124183      .";"0.309594573997866      ."
"extrinsic component of cytoplasmic side of plasma membrane";"0.0065359477124183      .";"0.309594573997866      ."
"G-protein coupled purinergic nucleotide receptor activity";"0.0065359477124183      .";"0.309594573997866      ."
"G-protein coupled purinergic nucleotide receptor signaling pathway";"0.0065359477124183      .";"0.309594573997866      ."
"galanin receptor activity";"0.0065359477124183      .";"0.309594573997866      ."
"GDP-dissociation inhibitor activity";"0.0065359477124183      .";"0.309594573997866      ."
"GTPase activator activity";"0.0065359477124183      .";"0.309594573997866      ."
"histone deacetylase complex";"0.0065359477124183      .";"0.309594573997866      ."
"immune response";"0.0065359477124183      .";"0.309594573997866      ."
"immune system process";"0.0065359477124183      .";"0.309594573997866      ."
"inflammatory response";"0.0065359477124183      .";"0.309594573997866      ."
"intrinsic apoptotic signaling pathway in response to DNA damage";"0.0065359477124183      .";"0.309594573997866      ."
"lymphocyte chemotaxis";"0.0065359477124183      .";"0.309594573997866      ."
"lysosome";"0.0065359477124183      .";"0.309594573997866      ."
"mitochondrial outer membrane";"0.0065359477124183      .";"0.309594573997866      ."
"monocyte chemotaxis";"0.0065359477124183      .";"0.309594573997866      ."
"MyD88-dependent toll-like receptor signaling pathway";"0.0065359477124183      .";"0.309594573997866      ."
"NADH dehydrogenase (ubiquinone) activity";"0.0065359477124183      .";"0.309594573997866      ."
"neutrophil chemotaxis";"0.0065359477124183      .";"0.309594573997866      ."
"non-membrane spanning protein tyrosine kinase activity";"0.0065359477124183      .";"0.309594573997866      ."
"positive regulation of apoptotic process";"0.0065359477124183      .";"0.309594573997866      ."
"positive regulation of catalytic activity";"0.0065359477124183      .";"0.309594573997866      ."
"positive regulation of ERK1 and ERK2 cascade";"0.0065359477124183      .";"0.309594573997866      ."
"positive regulation of NF-kappaB transcription factor activity";"0.0065359477124183      .";"0.309594573997866      ."
"protein kinase binding";"0.0065359477124183      .";"0.309594573997866      ."
"receptor binding";"0.0065359477124183      .";"0.309594573997866      ."
"regulation of apoptotic process";"0.0065359477124183      .";"0.309594573997866      ."
"regulation of blood vessel diameter";"0.0065359477124183      .";"0.309594573997866      ."
"regulation of cell shape";"0.0065359477124183      .";"0.309594573997866      ."
"regulation of inflammatory response";"0.0065359477124183      .";"0.309594573997866      ."
"regulatory region DNA binding";"0.0065359477124183      .";"0.309594573997866      ."
"respiratory chain";"0.0065359477124183      .";"0.309594573997866      ."
"response to cytokine";"0.0065359477124183      .";"0.309594573997866      ."
"response to heat";"0.0065359477124183      .";"0.309594573997866      ."
"response to lipopolysaccharide";"0.0065359477124183      .";"0.309594573997866      ."
"response to virus";"0.0065359477124183      .";"0.309594573997866      ."
"single-stranded RNA binding";"0.0065359477124183      .";"0.309594573997866      ."
"substrate-specific transmembrane transporter activity";"0.0065359477124183      .";"0.309594573997866      ."
"transferase activity, transferring hexosyl groups";"0.0065359477124183      .";"0.309594573997866      ."
"tumor necrosis factor-activated receptor activity";"0.0065359477124183      .";"0.309594573997866      ."
"tumor necrosis factor-mediated signaling pathway";"0.0065359477124183      .";"0.309594573997866      ."
"aminopeptidase activity";"0.0130718954248366      .";"0.379956977179199      ."
"cellular response to hormone stimulus";"0.0130718954248366      .";"0.379956977179199      ."
"chaperone binding";"0.0130718954248366      .";"0.379956977179199      ."
"chordate embryonic development";"0.0130718954248366      .";"0.379956977179199      ."
"double-stranded RNA binding";"0.0130718954248366      .";"0.379956977179199      ."
"dynein light intermediate chain binding";"0.0130718954248366      .";"0.379956977179199      ."
"FAD binding";"0.0130718954248366      .";"0.379956977179199      ."
"focal adhesion";"0.0130718954248366      .";"0.379956977179199      ."
"fructose 6-phosphate metabolic process";"0.0130718954248366      .";"0.379956977179199      ."
"glucose transmembrane transport";"0.0130718954248366      .";"0.379956977179199      ."
"glycolytic process";"0.0130718954248366      .";"0.379956977179199      ."
"lipid biosynthetic process";"0.0130718954248366      .";"0.379956977179199      ."
"macrophage differentiation";"0.0130718954248366      .";"0.379956977179199      ."
"metalloaminopeptidase activity";"0.0130718954248366      .";"0.379956977179199      ."
"myeloid cell development";"0.0130718954248366      .";"0.379956977179199      ."
"NAD+ ADP-ribosyltransferase activity";"0.0130718954248366      .";"0.379956977179199      ."
"nucleotide metabolic process";"0.0130718954248366      .";"0.379956977179199      ."
"peptidyl-tyrosine autophosphorylation";"0.0130718954248366      .";"0.379956977179199      ."
"positive regulation of I-kappaB kinase/NF-kappaB signaling";"0.0130718954248366      .";"0.379956977179199      ."
"receptor-mediated endocytosis";"0.0130718954248366      .";"0.379956977179199      ."
"regulation of autophagy";"0.0130718954248366      .";"0.379956977179199      ."
"regulation of cell proliferation";"0.0130718954248366      .";"0.379956977179199      ."
"regulation of vesicle fusion";"0.0130718954248366      .";"0.379956977179199      ."
"response to bacterium";"0.0130718954248366      .";"0.379956977179199      ."
"response to cadmium ion";"0.0130718954248366      .";"0.379956977179199      ."
"response to xenobiotic stimulus";"0.0130718954248366      .";"0.379956977179199      ."
"scavenger receptor activity";"0.0130718954248366      .";"0.379956977179199      ."
"actin filament polymerization";"0.0261437908496732      .";"0.379956977179199      ."
"apoptotic signaling pathway";"0.0261437908496732      .";"0.379956977179199      ."
"Arp2/3 complex-mediated actin nucleation";"0.0261437908496732      .";"0.379956977179199      ."
"carbohydrate metabolic process";"0.0261437908496732      .";"0.379956977179199      ."
"cyclin binding";"0.0261437908496732      .";"0.379956977179199      ."
"cytokine-mediated signaling pathway";"0.0261437908496732      .";"0.379956977179199      ."
"cytoplasmic translation";"0.0261437908496732      .";"0.379956977179199      ."
"drug transmembrane transport";"0.0261437908496732      .";"0.379956977179199      ."
"dynein intermediate chain binding";"0.0261437908496732      .";"0.379956977179199      ."
"exocyst localization";"0.0261437908496732      .";"0.379956977179199      ."
"heart contraction";"0.0261437908496732      .";"0.379956977179199      ."
"heat shock protein binding";"0.0261437908496732      .";"0.379956977179199      ."
"hydrolase activity";"0.0261437908496732      .";"0.379956977179199      ."
"L-alpha-amino acid transmembrane transport";"0.0261437908496732      .";"0.379956977179199      ."
"lipid glycosylation";"0.0261437908496732      .";"0.379956977179199      ."
"magnesium ion binding";"0.0261437908496732      .";"0.379956977179199      ."
"MAP kinase tyrosine/serine/threonine phosphatase activity";"0.0261437908496732      .";"0.379956977179199      ."
"metabolic process";"0.0261437908496732      .";"0.379956977179199      ."
"metal ion transport";"0.0261437908496732      .";"0.379956977179199      ."
"mitochondrial electron transport, NADH to ubiquinone";"0.0261437908496732      .";"0.379956977179199      ."
"mitochondrial inner membrane";"0.0261437908496732      .";"0.379956977179199      ."
"mitochondrion";"0.0261437908496732      .";"0.379956977179199      ."
"negative regulation of cell migration";"0.0261437908496732      .";"0.379956977179199      ."
"negative regulation of insulin receptor signaling pathway";"0.0261437908496732      .";"0.379956977179199      ."
"neutral amino acid transmembrane transporter activity";"0.0261437908496732      .";"0.379956977179199      ."
"neutral amino acid transport";"0.0261437908496732      .";"0.379956977179199      ."
"nucleotide binding";"0.0261437908496732      .";"0.379956977179199      ."
"peroxisome";"0.0261437908496732      .";"0.379956977179199      ."
"phosphotransferase activity, alcohol group as acceptor";"0.0261437908496732      .";"0.379956977179199      ."
"positive regulation of protein ubiquitination";"0.0261437908496732      .";"0.379956977179199      ."
"protein secretion";"0.0261437908496732      .";"0.379956977179199      ."
"proton transport";"0.0261437908496732      .";"0.379956977179199      ."
"regulation of blood pressure";"0.0261437908496732      .";"0.379956977179199      ."
"regulation of cell cycle";"0.0261437908496732      .";"0.379956977179199      ."
"regulation of GTPase activity";"0.0261437908496732      .";"0.379956977179199      ."
"regulation of mitotic nuclear division";"0.0261437908496732      .";"0.379956977179199      ."
"response to oxidative stress";"0.0261437908496732      .";"0.379956977179199      ."
"ribosomal small subunit assembly";"0.0261437908496732      .";"0.379956977179199      ."
"tumor necrosis factor receptor binding";"0.0261437908496732      .";"0.379956977179199      ."
"vacuole";"0.0261437908496732      .";"0.379956977179199      ."
