"gene set";"p-value";"fdr"
"ammonium transmembrane transport";"0.0065359477124183      .";"0.483552631578948      ."
"ammonium transmembrane transporter activity";"0.0065359477124183      .";"0.483552631578948      ."
"ATP-activated inward rectifier potassium channel activity";"0.0065359477124183      .";"0.483552631578948      ."
"calcium-dependent phospholipid binding";"0.0065359477124183      .";"0.483552631578948      ."
"cellular iron ion homeostasis";"0.0065359477124183      .";"0.483552631578948      ."
"cellular response to nitrogen starvation";"0.0065359477124183      .";"0.483552631578948      ."
"cysteine-type peptidase activity";"0.0065359477124183      .";"0.483552631578948      ."
"ferric iron binding";"0.0065359477124183      .";"0.483552631578948      ."
"fucosylation";"0.0065359477124183      .";"0.483552631578948      ."
"fucosyltransferase activity";"0.0065359477124183      .";"0.483552631578948      ."
"glutathione metabolic process";"0.0065359477124183      .";"0.483552631578948      ."
"intracellular";"0.0065359477124183      .";"0.483552631578948      ."
"inward rectifier potassium channel activity";"0.0065359477124183      .";"0.483552631578948      ."
"iron ion transport";"0.0065359477124183      .";"0.483552631578948      ."
"mitochondrial envelope";"0.0065359477124183      .";"0.483552631578948      ."
"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)";"0.0065359477124183      .";"0.483552631578948      ."
"mitochondrial respiratory chain complex I";"0.0065359477124183      .";"0.483552631578948      ."
"negative regulation of catalytic activity";"0.0065359477124183      .";"0.483552631578948      ."
"phosphatidylinositol-3-phosphate biosynthetic process";"0.0065359477124183      .";"0.483552631578948      ."
"phosphatidylinositol 3-kinase signaling";"0.0065359477124183      .";"0.483552631578948      ."
"potassium ion import";"0.0065359477124183      .";"0.483552631578948      ."
"protease binding";"0.0065359477124183      .";"0.483552631578948      ."
"proteolysis involved in cellular protein catabolic process";"0.0065359477124183      .";"0.483552631578948      ."
"regulation of anion transmembrane transport";"0.0065359477124183      .";"0.483552631578948      ."
"regulation of pH";"0.0065359477124183      .";"0.483552631578948      ."
"sodium channel regulator activity";"0.0065359477124183      .";"0.483552631578948      ."
"solute:proton antiporter activity";"0.0065359477124183      .";"0.483552631578948      ."
"ubiquitin conjugating enzyme binding";"0.0065359477124183      .";"0.483552631578948      ."
"actin monomer binding";"0.0130718954248366      .";"0.655664585191793      ."
"bicarbonate transmembrane transporter activity";"0.0130718954248366      .";"0.655664585191793      ."
"cation:chloride symporter activity";"0.0130718954248366      .";"0.655664585191793      ."
"cellular oxidant detoxification";"0.0130718954248366      .";"0.655664585191793      ."
"cysteine-type endopeptidase activity involved in execution phase of apoptosis";"0.0130718954248366      .";"0.655664585191793      ."
"cytosolic large ribosomal subunit";"0.0130718954248366      .";"0.655664585191793      ."
"dopamine neurotransmitter receptor activity";"0.0130718954248366      .";"0.655664585191793      ."
"execution phase of apoptosis";"0.0130718954248366      .";"0.655664585191793      ."
"glutathione transferase activity";"0.0130718954248366      .";"0.655664585191793      ."
"hydrogen ion transmembrane transport";"0.0130718954248366      .";"0.655664585191793      ."
"iron ion binding";"0.0130718954248366      .";"0.655664585191793      ."
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen";"0.0130718954248366      .";"0.655664585191793      ."
"pre-autophagosomal structure";"0.0130718954248366      .";"0.655664585191793      ."
"protein polyubiquitination";"0.0130718954248366      .";"0.655664585191793      ."
"regulation of actin filament polymerization";"0.0130718954248366      .";"0.655664585191793      ."
"regulation of intracellular pH";"0.0130718954248366      .";"0.655664585191793      ."
"small ribosomal subunit";"0.0130718954248366      .";"0.655664585191793      ."
"structural constituent of ribosome";"0.0130718954248366      .";"0.655664585191793      ."
"transition metal ion binding";"0.0130718954248366      .";"0.655664585191793      ."
"voltage-gated chloride channel activity";"0.0130718954248366      .";"0.655664585191793      ."
"alpha-(1->3)-fucosyltransferase activity";"0.0261437908496732      .";"0.655664585191793      ."
"apoptotic signaling pathway";"0.0261437908496732      .";"0.655664585191793      ."
"bicarbonate transport";"0.0261437908496732      .";"0.655664585191793      ."
"biological_process";"0.0261437908496732      .";"0.655664585191793      ."
"calcium-dependent cysteine-type endopeptidase activity";"0.0261437908496732      .";"0.655664585191793      ."
"carbohydrate transport";"0.0261437908496732      .";"0.655664585191793      ."
"cellular_component";"0.0261437908496732      .";"0.655664585191793      ."
"chloride channel activity";"0.0261437908496732      .";"0.655664585191793      ."
"chloride transmembrane transport";"0.0261437908496732      .";"0.655664585191793      ."
"chloride transport";"0.0261437908496732      .";"0.655664585191793      ."
"cytoplasmic translation";"0.0261437908496732      .";"0.655664585191793      ."
"cytosolic small ribosomal subunit";"0.0261437908496732      .";"0.655664585191793      ."
"glutathione peroxidase activity";"0.0261437908496732      .";"0.655664585191793      ."
"mitochondrial electron transport, cytochrome c to oxygen";"0.0261437908496732      .";"0.655664585191793      ."
"molecular_function";"0.0261437908496732      .";"0.655664585191793      ."
"proteasome core complex, alpha-subunit complex";"0.0261437908496732      .";"0.655664585191793      ."
"proton-transporting ATP synthase activity, rotational mechanism";"0.0261437908496732      .";"0.655664585191793      ."
"regulation of endocytosis";"0.0261437908496732      .";"0.655664585191793      ."
"regulation of neuron apoptotic process";"0.0261437908496732      .";"0.655664585191793      ."
"response to oxidative stress";"0.0261437908496732      .";"0.655664585191793      ."
"ribosome";"0.0261437908496732      .";"0.655664585191793      ."
"SNAP receptor activity";"0.0261437908496732      .";"0.655664585191793      ."
"SNARE binding";"0.0261437908496732      .";"0.655664585191793      ."
"SNARE complex";"0.0261437908496732      .";"0.655664585191793      ."
"structural constituent of eye lens";"0.0261437908496732      .";"0.655664585191793      ."
"sugar:proton symporter activity";"0.0261437908496732      .";"0.655664585191793      ."
"threonine-type endopeptidase activity";"0.0261437908496732      .";"0.655664585191793      ."
"1-phosphatidylinositol-3-kinase activity";"0.0392156862745098      .";"0.966469428007889      ."
"acid phosphatase activity";"0.0392156862745098      .";"0.966469428007889      ."
"actin filament polymerization";"0.0392156862745098      .";"0.966469428007889      ."
"Arp2/3 protein complex";"0.0392156862745098      .";"0.966469428007889      ."
"ATP synthesis coupled proton transport";"0.0392156862745098      .";"0.966469428007889      ."
"autophagy";"0.0392156862745098      .";"0.966469428007889      ."
"coenzyme binding";"0.0392156862745098      .";"0.966469428007889      ."
"CTP biosynthetic process";"0.0392156862745098      .";"0.966469428007889      ."
"cytochrome-c oxidase activity";"0.0392156862745098      .";"0.966469428007889      ."
"developmental process";"0.0392156862745098      .";"0.966469428007889      ."
"dioxygenase activity";"0.0392156862745098      .";"0.966469428007889      ."
"ER to Golgi vesicle-mediated transport";"0.0392156862745098      .";"0.966469428007889      ."
"glycolipid biosynthetic process";"0.0392156862745098      .";"0.966469428007889      ."
"GTP biosynthetic process";"0.0392156862745098      .";"0.966469428007889      ."
"hydrogen ion transmembrane transporter activity";"0.0392156862745098      .";"0.966469428007889      ."
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides";"0.0392156862745098      .";"0.966469428007889      ."
"lipid biosynthetic process";"0.0392156862745098      .";"0.966469428007889      ."
"lipid catabolic process";"0.0392156862745098      .";"0.966469428007889      ."
"mitochondrial electron transport, NADH to ubiquinone";"0.0392156862745098      .";"0.966469428007889      ."
"mitochondrial respiratory chain complex IV";"0.0392156862745098      .";"0.966469428007889      ."
"mitophagy";"0.0392156862745098      .";"0.966469428007889      ."
"nucleoside diphosphate kinase activity";"0.0392156862745098      .";"0.966469428007889      ."
"nucleoside diphosphate phosphorylation";"0.0392156862745098      .";"0.966469428007889      ."
"proteasome core complex";"0.0392156862745098      .";"0.966469428007889      ."
"protein kinase C-activating G-protein coupled receptor signaling pathway";"0.0392156862745098      .";"0.966469428007889      ."
"proton transport";"0.0392156862745098      .";"0.966469428007889      ."
"regulation of cell proliferation";"0.0392156862745098      .";"0.966469428007889      ."
"translation";"0.0392156862745098      .";"0.966469428007889      ."
"translational elongation";"0.0392156862745098      .";"0.966469428007889      ."
"UTP biosynthetic process";"0.0392156862745098      .";"0.966469428007889      ."
"vacuolar transport";"0.0392156862745098      .";"0.966469428007889      ."
"vesicle";"0.0392156862745098      .";"0.966469428007889      ."
"2 iron, 2 sulfur cluster binding";"0.0588235294117647      .";"0.966469428007889      ."
"actin filament";"0.0588235294117647      .";"0.966469428007889      ."
"apoptotic process";"0.0588235294117647      .";"0.966469428007889      ."
"Arp2/3 complex-mediated actin nucleation";"0.0588235294117647      .";"0.966469428007889      ."
"cAMP biosynthetic process";"0.0588235294117647      .";"0.966469428007889      ."
"cellular response to xenobiotic stimulus";"0.0588235294117647      .";"0.966469428007889      ."
"diacylglycerol kinase activity";"0.0588235294117647      .";"0.966469428007889      ."
"hemoglobin biosynthetic process";"0.0588235294117647      .";"0.966469428007889      ."
"inorganic anion exchanger activity";"0.0588235294117647      .";"0.966469428007889      ."
"mitochondrial electron transport, ubiquinol to cytochrome c";"0.0588235294117647      .";"0.966469428007889      ."
"mitochondrial intermembrane space";"0.0588235294117647      .";"0.966469428007889      ."
"mitochondrial matrix";"0.0588235294117647      .";"0.966469428007889      ."
"NADH dehydrogenase (ubiquinone) activity";"0.0588235294117647      .";"0.966469428007889      ."
"nucleobase-containing compound kinase activity";"0.0588235294117647      .";"0.966469428007889      ."
"nucleophagy";"0.0588235294117647      .";"0.966469428007889      ."
"peptidase activity";"0.0588235294117647      .";"0.966469428007889      ."
"protein homodimerization activity";"0.0588235294117647      .";"0.966469428007889      ."
"respiratory chain";"0.0588235294117647      .";"0.966469428007889      ."
"response to zinc ion";"0.0588235294117647      .";"0.966469428007889      ."
"secondary active sulfate transmembrane transporter activity";"0.0588235294117647      .";"0.966469428007889      ."
"tricarboxylic acid cycle";"0.0588235294117647      .";"0.966469428007889      ."
"type B pancreatic cell development";"0.0588235294117647      .";"0.966469428007889      ."
"ubiquitin binding";"0.0588235294117647      .";"0.966469428007889      ."
"vesicle docking";"0.0588235294117647      .";"0.966469428007889      ."
"anion:anion antiporter activity";"0.0784313725490196      .";"0.966469428007889      ."
"antioxidant activity";"0.0784313725490196      .";"0.966469428007889      ."
"antiporter activity";"0.0784313725490196      .";"0.966469428007889      ."
"cysteine-type endopeptidase activity";"0.0784313725490196      .";"0.966469428007889      ."
"cytoplasmic vesicle membrane";"0.0784313725490196      .";"0.966469428007889      ."
"electron carrier activity";"0.0784313725490196      .";"0.966469428007889      ."
"fatty acid biosynthetic process";"0.0784313725490196      .";"0.966469428007889      ."
"G-protein coupled peptide receptor activity";"0.0784313725490196      .";"0.966469428007889      ."
"GTP-Rho binding";"0.0784313725490196      .";"0.966469428007889      ."
"GTP binding";"0.0784313725490196      .";"0.966469428007889      ."
"integral component of mitochondrial inner membrane";"0.0784313725490196      .";"0.966469428007889      ."
"late endosome";"0.0784313725490196      .";"0.966469428007889      ."
"lipid metabolic process";"0.0784313725490196      .";"0.966469428007889      ."
"lysosomal membrane";"0.0784313725490196      .";"0.966469428007889      ."
"mitochondrial inner membrane";"0.0784313725490196      .";"0.966469428007889      ."
"mitochondrial large ribosomal subunit";"0.0784313725490196      .";"0.966469428007889      ."
"NADP binding";"0.0784313725490196      .";"0.966469428007889      ."
"phosphatidylinositol metabolic process";"0.0784313725490196      .";"0.966469428007889      ."
"phospholipase A2 activity";"0.0784313725490196      .";"0.966469428007889      ."
"positive regulation of actin filament polymerization";"0.0784313725490196      .";"0.966469428007889      ."
"regulation of angiogenesis";"0.0784313725490196      .";"0.966469428007889      ."
"response to methylmercury";"0.0784313725490196      .";"0.966469428007889      ."
"response to yeast";"0.0784313725490196      .";"0.966469428007889      ."
"Rho protein signal transduction";"0.0784313725490196      .";"0.966469428007889      ."
"ribosomal small subunit assembly";"0.0784313725490196      .";"0.966469428007889      ."
"sphingolipid metabolic process";"0.0784313725490196      .";"0.966469428007889      ."
"steroid biosynthetic process";"0.0784313725490196      .";"0.966469428007889      ."
"sulfate transmembrane transport";"0.0784313725490196      .";"0.966469428007889      ."
"sulfate transmembrane transporter activity";"0.0784313725490196      .";"0.966469428007889      ."
"transport";"0.0784313725490196      .";"0.966469428007889      ."
"vasoconstriction";"0.0784313725490196      .";"0.966469428007889      ."
"actin cytoskeleton";"0.104575163398693      .";"0.999999999999999      ."
"aerobic respiration";"0.104575163398693      .";"0.999999999999999      ."
"autophagosome";"0.104575163398693      .";"0.999999999999999      ."
"autophagosome assembly";"0.104575163398693      .";"0.999999999999999      ."
"basolateral plasma membrane";"0.104575163398693      .";"0.999999999999999      ."
"bicellular tight junction";"0.104575163398693      .";"0.999999999999999      ."
"BLOC-1 complex";"0.104575163398693      .";"0.999999999999999      ."
"cell-matrix adhesion";"0.104575163398693      .";"0.999999999999999      ."
"cell surface";"0.104575163398693      .";"0.999999999999999      ."
"cellular response to oxidative stress";"0.104575163398693      .";"0.999999999999999      ."
"chordate embryonic development";"0.104575163398693      .";"0.999999999999999      ."
"Cul4-RING E3 ubiquitin ligase complex";"0.104575163398693      .";"0.999999999999999      ."
"endopeptidase activity";"0.104575163398693      .";"0.999999999999999      ."
"extrinsic apoptotic signaling pathway in absence of ligand";"0.104575163398693      .";"0.999999999999999      ."
"flavin adenine dinucleotide binding";"0.104575163398693      .";"0.999999999999999      ."
"hydrolase activity, acting on ester bonds";"0.104575163398693      .";"0.999999999999999      ."
"inorganic anion transport";"0.104575163398693      .";"0.999999999999999      ."
"intermediate filament";"0.104575163398693      .";"0.999999999999999      ."
"iron-sulfur cluster binding";"0.104575163398693      .";"0.999999999999999      ."
"late endosome membrane";"0.104575163398693      .";"0.999999999999999      ."
"membrane raft";"0.104575163398693      .";"0.999999999999999      ."
"mitochondrial outer membrane";"0.104575163398693      .";"0.999999999999999      ."
"mitochondrial small ribosomal subunit";"0.104575163398693      .";"0.999999999999999      ."
"mitochondrial translation";"0.104575163398693      .";"0.999999999999999      ."
"mitochondrion";"0.104575163398693      .";"0.999999999999999      ."
"NAD+ kinase activity";"0.104575163398693      .";"0.999999999999999      ."
"negative regulation of protein serine/threonine kinase activity";"0.104575163398693      .";"0.999999999999999      ."
"nucleotide metabolic process";"0.104575163398693      .";"0.999999999999999      ."
"oxalate transmembrane transporter activity";"0.104575163398693      .";"0.999999999999999      ."
"oxalate transport";"0.104575163398693      .";"0.999999999999999      ."
"peroxidase activity";"0.104575163398693      .";"0.999999999999999      ."
"positive regulation of cysteine-type endopeptidase activity involved in apoptotic process";"0.104575163398693      .";"0.999999999999999      ."
"positive regulation of proteasomal ubiquitin-dependent protein catabolic process";"0.104575163398693      .";"0.999999999999999      ."
"protein disulfide oxidoreductase activity";"0.104575163398693      .";"0.999999999999999      ."
"protein ubiquitination involved in ubiquitin-dependent protein catabolic process";"0.104575163398693      .";"0.999999999999999      ."
"receptor binding";"0.104575163398693      .";"0.999999999999999      ."
"reciprocal meiotic recombination";"0.104575163398693      .";"0.999999999999999      ."
"regulatory region DNA binding";"0.104575163398693      .";"0.999999999999999      ."
"serine-type endopeptidase activity";"0.104575163398693      .";"0.999999999999999      ."
"small GTPase mediated signal transduction";"0.104575163398693      .";"0.999999999999999      ."
"structural molecule activity";"0.104575163398693      .";"0.999999999999999      ."
"sulfate transport";"0.104575163398693      .";"0.999999999999999      ."
"superoxide metabolic process";"0.104575163398693      .";"0.999999999999999      ."
"translation elongation factor activity";"0.104575163398693      .";"0.999999999999999      ."
"tumor necrosis factor-activated receptor activity";"0.104575163398693      .";"0.999999999999999      ."
"ubiquitin ligase complex";"0.104575163398693      .";"0.999999999999999      ."
"ubiquitin protein ligase activity";"0.104575163398693      .";"0.999999999999999      ."
"4 iron, 4 sulfur cluster binding";"0.130718954248366      .";"1      ."
"actin nucleation";"0.130718954248366      .";"1      ."
"ATP metabolic process";"0.130718954248366      .";"1      ."
"biosynthetic process";"0.130718954248366      .";"1      ."
"cation transport";"0.130718954248366      .";"1      ."
