"gene set";"p-value";"fdr"
"acetylgalactosaminyltransferase activity";"0.0555555555555556      .";"1      ."
"actin filament bundle assembly";"0.0555555555555556      .";"1      ."
"anatomical structure morphogenesis";"0.0555555555555556      .";"1      ."
"basement membrane";"0.0555555555555556      .";"1      ."
"blood circulation";"0.0555555555555556      .";"1      ."
"BMP signaling pathway";"0.0555555555555556      .";"1      ."
"camera-type eye development";"0.0555555555555556      .";"1      ."
"cartilage development";"0.0555555555555556      .";"1      ."
"cartilage morphogenesis";"0.0555555555555556      .";"1      ."
"cell-matrix adhesion";"0.0555555555555556      .";"1      ."
"cell fate commitment";"0.0555555555555556      .";"1      ."
"cell migration involved in gastrulation";"0.0555555555555556      .";"1      ."
"central nervous system development";"0.0555555555555556      .";"1      ."
"cerebellum development";"0.0555555555555556      .";"1      ."
"chondrocyte differentiation";"0.0555555555555556      .";"1      ."
"chromatin organization";"0.0555555555555556      .";"1      ."
"collagen binding";"0.0555555555555556      .";"1      ."
"collagen fibril organization";"0.0555555555555556      .";"1      ."
"collagen trimer";"0.0555555555555556      .";"1      ."
"convergent extension involved in gastrulation";"0.0555555555555556      .";"1      ."
"cytoskeleton";"0.0555555555555556      .";"1      ."
"detection of chemical stimulus involved in sensory perception";"0.0555555555555556      .";"1      ."
"detection of chemical stimulus involved in sensory perception of smell";"0.0555555555555556      .";"1      ."
"dorsal convergence";"0.0555555555555556      .";"1      ."
"dorsal/ventral pattern formation";"0.0555555555555556      .";"1      ."
"embryonic pectoral fin morphogenesis";"0.0555555555555556      .";"1      ."
"embryonic viscerocranium morphogenesis";"0.0555555555555556      .";"1      ."
"endoplasmic reticulum unfolded protein response";"0.0555555555555556      .";"1      ."
"establishment of mitotic spindle orientation";"0.0555555555555556      .";"1      ."
"exocrine pancreas development";"0.0555555555555556      .";"1      ."
"extracellular matrix";"0.0555555555555556      .";"1      ."
"extracellular matrix organization";"0.0555555555555556      .";"1      ."
"extracellular matrix structural constituent";"0.0555555555555556      .";"1      ."
"extracellular region";"0.0555555555555556      .";"1      ."
"extracellular space";"0.0555555555555556      .";"1      ."
"eye development";"0.0555555555555556      .";"1      ."
"fin development";"0.0555555555555556      .";"1      ."
"fin morphogenesis";"0.0555555555555556      .";"1      ."
"fin regeneration";"0.0555555555555556      .";"1      ."
"FK506 binding";"0.0555555555555556      .";"1      ."
"G-protein coupled photoreceptor activity";"0.0555555555555556      .";"1      ."
"generation of neurons";"0.0555555555555556      .";"1      ."
"glomerulus development";"0.0555555555555556      .";"1      ."
"glycolipid biosynthetic process";"0.0555555555555556      .";"1      ."
"heterotrimeric G-protein complex";"0.0555555555555556      .";"1      ."
"identical protein binding";"0.0555555555555556      .";"1      ."
"inner ear morphogenesis";"0.0555555555555556      .";"1      ."
"lipid glycosylation";"0.0555555555555556      .";"1      ."
"metallocarboxypeptidase activity";"0.0555555555555556      .";"1      ."
"metallopeptidase activity";"0.0555555555555556      .";"1      ."
"muscle fiber development";"0.0555555555555556      .";"1      ."
"muscle organ development";"0.0555555555555556      .";"1      ."
"myelination";"0.0555555555555556      .";"1      ."
"negative regulation of peptidase activity";"0.0555555555555556      .";"1      ."
"neural crest cell migration";"0.0555555555555556      .";"1      ."
"non-canonical Wnt signaling pathway";"0.0555555555555556      .";"1      ."
"notochord development";"0.0555555555555556      .";"1      ."
"notochord morphogenesis";"0.0555555555555556      .";"1      ."
"odontogenesis";"0.0555555555555556      .";"1      ."
"olfactory receptor activity";"0.0555555555555556      .";"1      ."
"optokinetic behavior";"0.0555555555555556      .";"1      ."
"ossification";"0.0555555555555556      .";"1      ."
"otolith morphogenesis";"0.0555555555555556      .";"1      ."
"oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor";"0.0555555555555556      .";"1      ."
"pectoral fin development";"0.0555555555555556      .";"1      ."
"peptidase inhibitor activity";"0.0555555555555556      .";"1      ."
"peptide metabolic process";"0.0555555555555556      .";"1      ."
"photoreceptor cell maintenance";"0.0555555555555556      .";"1      ."
"photoreceptor outer segment";"0.0555555555555556      .";"1      ."
"phototransduction";"0.0555555555555556      .";"1      ."
"positive regulation of actin filament polymerization";"0.0555555555555556      .";"1      ."
"positive regulation of cell migration";"0.0555555555555556      .";"1      ."
"positive regulation of guanylate cyclase activity";"0.0555555555555556      .";"1      ."
"posterior lateral line development";"0.0555555555555556      .";"1      ."
"protein processing";"0.0555555555555556      .";"1      ."
"proteinaceous extracellular matrix";"0.0555555555555556      .";"1      ."
"regulation of cell migration";"0.0555555555555556      .";"1      ."
"regulation of neurogenesis";"0.0555555555555556      .";"1      ."
"regulation of neuron apoptotic process";"0.0555555555555556      .";"1      ."
"regulation of Notch signaling pathway";"0.0555555555555556      .";"1      ."
"regulation of Rho protein signal transduction";"0.0555555555555556      .";"1      ."
"regulation of vascular endothelial growth factor receptor signaling pathway";"0.0555555555555556      .";"1      ."
"regulation of Wnt signaling pathway";"0.0555555555555556      .";"1      ."
"retinal cone cell development";"0.0555555555555556      .";"1      ."
"retinal ganglion cell axon guidance";"0.0555555555555556      .";"1      ."
"retrograde vesicle-mediated transport, Golgi to ER";"0.0555555555555556      .";"1      ."
"Rho guanyl-nucleotide exchange factor activity";"0.0555555555555556      .";"1      ."
"semicircular canal morphogenesis";"0.0555555555555556      .";"1      ."
"serine-type endopeptidase inhibitor activity";"0.0555555555555556      .";"1      ."
"SH3 domain binding";"0.0555555555555556      .";"1      ."
"signal transduction by protein phosphorylation";"0.0555555555555556      .";"1      ."
"skeletal system development";"0.0555555555555556      .";"1      ."
"small molecule binding";"0.0555555555555556      .";"1      ."
"somite development";"0.0555555555555556      .";"1      ."
"somite specification";"0.0555555555555556      .";"1      ."
"thrombocyte differentiation";"0.0555555555555556      .";"1      ."
"transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding";"0.0555555555555556      .";"1      ."
"visual perception";"0.0555555555555556      .";"1      ."
"Wnt-activated receptor activity";"0.0555555555555556      .";"1      ."
"Wnt-protein binding";"0.0555555555555556      .";"1      ."
"3',5'-cyclic-nucleotide phosphodiesterase activity";"0.111111111111111      .";"1      ."
"adenohypophysis development";"0.111111111111111      .";"1      ."
"adherens junction";"0.111111111111111      .";"1      ."
"animal organ morphogenesis";"0.111111111111111      .";"1      ."
"anterior/posterior axis specification";"0.111111111111111      .";"1      ."
"artery morphogenesis";"0.111111111111111      .";"1      ."
"axoneme";"0.111111111111111      .";"1      ."
"bone mineralization";"0.111111111111111      .";"1      ."
"cadherin binding";"0.111111111111111      .";"1      ."
"calcium ion homeostasis";"0.111111111111111      .";"1      ."
"canonical Wnt signaling pathway";"0.111111111111111      .";"1      ."
"cell communication";"0.111111111111111      .";"1      ."
"cell cortex";"0.111111111111111      .";"1      ."
"cell development";"0.111111111111111      .";"1      ."
"cell growth";"0.111111111111111      .";"1      ."
