"gene set";"p-value";"fdr"
"acyl-CoA metabolic process";"0.0065359477124183      .";"0.360427541635595      ."
"blood microparticle";"0.0065359477124183      .";"0.360427541635595      ."
"catalytic activity";"0.0065359477124183      .";"0.360427541635595      ."
"cellular amino acid metabolic process";"0.0065359477124183      .";"0.360427541635595      ."
"cellular lipid metabolic process";"0.0065359477124183      .";"0.360427541635595      ."
"cellular response to estrogen stimulus";"0.0065359477124183      .";"0.360427541635595      ."
"cholesterol binding";"0.0065359477124183      .";"0.360427541635595      ."
"cholesterol biosynthetic process";"0.0065359477124183      .";"0.360427541635595      ."
"cholesterol efflux";"0.0065359477124183      .";"0.360427541635595      ."
"cholesterol homeostasis";"0.0065359477124183      .";"0.360427541635595      ."
"cholesterol metabolic process";"0.0065359477124183      .";"0.360427541635595      ."
"cholesterol transporter activity";"0.0065359477124183      .";"0.360427541635595      ."
"chylomicron";"0.0065359477124183      .";"0.360427541635595      ."
"circadian regulation of gene expression";"0.0065359477124183      .";"0.360427541635595      ."
"endopeptidase inhibitor activity";"0.0065359477124183      .";"0.360427541635595      ."
"fatty acid metabolic process";"0.0065359477124183      .";"0.360427541635595      ."
"gluconeogenesis";"0.0065359477124183      .";"0.360427541635595      ."
"high-density lipoprotein particle";"0.0065359477124183      .";"0.360427541635595      ."
"integral component of endoplasmic reticulum membrane";"0.0065359477124183      .";"0.360427541635595      ."
"lipid binding";"0.0065359477124183      .";"0.360427541635595      ."
"lipid transport";"0.0065359477124183      .";"0.360427541635595      ."
"lipoprotein metabolic process";"0.0065359477124183      .";"0.360427541635595      ."
"lyase activity";"0.0065359477124183      .";"0.360427541635595      ."
"mitochondrial matrix";"0.0065359477124183      .";"0.360427541635595      ."
"negative regulation of endopeptidase activity";"0.0065359477124183      .";"0.360427541635595      ."
"organic anion transport";"0.0065359477124183      .";"0.360427541635595      ."
"oxidation-reduction process";"0.0065359477124183      .";"0.360427541635595      ."
"oxidoreductase activity";"0.0065359477124183      .";"0.360427541635595      ."
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen";"0.0065359477124183      .";"0.360427541635595      ."
"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor";"0.0065359477124183      .";"0.360427541635595      ."
"phosphatidylinositol binding";"0.0065359477124183      .";"0.360427541635595      ."
"phosphatidylinositol dephosphorylation";"0.0065359477124183      .";"0.360427541635595      ."
"protein binding, bridging";"0.0065359477124183      .";"0.360427541635595      ."
"Rab GTPase binding";"0.0065359477124183      .";"0.360427541635595      ."
"response to light stimulus";"0.0065359477124183      .";"0.360427541635595      ."
"response to zinc ion";"0.0065359477124183      .";"0.360427541635595      ."
"sodium-independent organic anion transmembrane transporter activity";"0.0065359477124183      .";"0.360427541635595      ."
"sodium-independent organic anion transport";"0.0065359477124183      .";"0.360427541635595      ."
"steroid hydroxylase activity";"0.0065359477124183      .";"0.360427541635595      ."
"steroid metabolic process";"0.0065359477124183      .";"0.360427541635595      ."
"transaminase activity";"0.0065359477124183      .";"0.360427541635595      ."
"transferase activity, transferring acyl groups other than amino-acyl groups";"0.0065359477124183      .";"0.360427541635595      ."
"transferase activity, transferring phosphorus-containing groups";"0.0065359477124183      .";"0.360427541635595      ."
"triglyceride catabolic process";"0.0065359477124183      .";"0.360427541635595      ."
"zinc ion transmembrane transporter activity";"0.0065359477124183      .";"0.360427541635595      ."
"carboxylic acid metabolic process";"0.0130718954248366      .";"0.655978125776783      ."
"cation channel activity";"0.0130718954248366      .";"0.655978125776783      ."
"copper ion binding";"0.0130718954248366      .";"0.655978125776783      ."
"cysteine-type endopeptidase inhibitor activity";"0.0130718954248366      .";"0.655978125776783      ."
"endoplasmic reticulum membrane";"0.0130718954248366      .";"0.655978125776783      ."
"fatty acid beta-oxidation";"0.0130718954248366      .";"0.655978125776783      ."
"flavin adenine dinucleotide binding";"0.0130718954248366      .";"0.655978125776783      ."
"FMN binding";"0.0130718954248366      .";"0.655978125776783      ."
"glycogen biosynthetic process";"0.0130718954248366      .";"0.655978125776783      ."
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds";"0.0130718954248366      .";"0.655978125776783      ."
"lipid transporter activity";"0.0130718954248366      .";"0.655978125776783      ."
"membrane attack complex";"0.0130718954248366      .";"0.655978125776783      ."
"monooxygenase activity";"0.0130718954248366      .";"0.655978125776783      ."
"NAD biosynthetic process";"0.0130718954248366      .";"0.655978125776783      ."
