"gene set";"p-value";"fdr"
"acetylglucosaminyltransferase activity";"0.0065359477124183      .";"0.129820695181809      ."
"adaptive immune response";"0.0065359477124183      .";"0.129820695181809      ."
"adenosine receptor signaling pathway";"0.0065359477124183      .";"0.129820695181809      ."
"adenylate cyclase-activating adrenergic receptor signaling pathway";"0.0065359477124183      .";"0.129820695181809      ."
"aminoacyl-tRNA editing activity";"0.0065359477124183      .";"0.129820695181809      ."
"aminoacyl-tRNA ligase activity";"0.0065359477124183      .";"0.129820695181809      ."
"angiogenesis";"0.0065359477124183      .";"0.129820695181809      ."
"artery development";"0.0065359477124183      .";"0.129820695181809      ."
"blood vessel development";"0.0065359477124183      .";"0.129820695181809      ."
"blood vessel morphogenesis";"0.0065359477124183      .";"0.129820695181809      ."
"DNA damage checkpoint";"0.0065359477124183      .";"0.129820695181809      ."
"embryonic heart tube morphogenesis";"0.0065359477124183      .";"0.129820695181809      ."
"embryonic hemopoiesis";"0.0065359477124183      .";"0.129820695181809      ."
"erythrocyte development";"0.0065359477124183      .";"0.129820695181809      ."
"erythrocyte differentiation";"0.0065359477124183      .";"0.129820695181809      ."
"erythrocyte maturation";"0.0065359477124183      .";"0.129820695181809      ."
"eukaryotic 43S preinitiation complex";"0.0065359477124183      .";"0.129820695181809      ."
"eukaryotic 48S preinitiation complex";"0.0065359477124183      .";"0.129820695181809      ."
"eukaryotic translation initiation factor 3 complex";"0.0065359477124183      .";"0.129820695181809      ."
"external side of plasma membrane";"0.0065359477124183      .";"0.129820695181809      ."
"formation of translation preinitiation complex";"0.0065359477124183      .";"0.129820695181809      ."
"glomerular filtration";"0.0065359477124183      .";"0.129820695181809      ."
"Golgi membrane";"0.0065359477124183      .";"0.129820695181809      ."
"GPI anchor biosynthetic process";"0.0065359477124183      .";"0.129820695181809      ."
"heme biosynthetic process";"0.0065359477124183      .";"0.129820695181809      ."
"hemoglobin biosynthetic process";"0.0065359477124183      .";"0.129820695181809      ."
"hemopoiesis";"0.0065359477124183      .";"0.129820695181809      ."
"induction of positive chemotaxis";"0.0065359477124183      .";"0.129820695181809      ."
"mesoderm formation";"0.0065359477124183      .";"0.129820695181809      ."
"mitochondrial translation";"0.0065359477124183      .";"0.129820695181809      ."
"mitochondrial transport";"0.0065359477124183      .";"0.129820695181809      ."
"myeloid cell differentiation";"0.0065359477124183      .";"0.129820695181809      ."
"nuclear envelope";"0.0065359477124183      .";"0.129820695181809      ."
"nuclear envelope organization";"0.0065359477124183      .";"0.129820695181809      ."
"nuclear membrane";"0.0065359477124183      .";"0.129820695181809      ."
"nucleobase-containing compound metabolic process";"0.0065359477124183      .";"0.129820695181809      ."
"oligosaccharide metabolic process";"0.0065359477124183      .";"0.129820695181809      ."
"positive regulation of cysteine-type endopeptidase activity involved in apoptotic process";"0.0065359477124183      .";"0.129820695181809      ."
"positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway";"0.0065359477124183      .";"0.129820695181809      ."
"positive regulation of pathway-restricted SMAD protein phosphorylation";"0.0065359477124183      .";"0.129820695181809      ."
"positive regulation of Rho protein signal transduction";"0.0065359477124183      .";"0.129820695181809      ."
"positive regulation of signal transduction";"0.0065359477124183      .";"0.129820695181809      ."
"positive regulation of vasoconstriction";"0.0065359477124183      .";"0.129820695181809      ."
"primitive hemopoiesis";"0.0065359477124183      .";"0.129820695181809      ."
"protein methylation";"0.0065359477124183      .";"0.129820695181809      ."
"protein N-linked glycosylation via asparagine";"0.0065359477124183      .";"0.129820695181809      ."
"protein transporter activity";"0.0065359477124183      .";"0.129820695181809      ."
"regulation of MAPK cascade";"0.0065359477124183      .";"0.129820695181809      ."
"regulation of mitotic cell cycle";"0.0065359477124183      .";"0.129820695181809      ."
"regulation of translational initiation";"0.0065359477124183      .";"0.129820695181809      ."
"RNA phosphodiester bond hydrolysis";"0.0065359477124183      .";"0.129820695181809      ."
"RNA phosphodiester bond hydrolysis, endonucleolytic";"0.0065359477124183      .";"0.129820695181809      ."
"SH3/SH2 adaptor activity";"0.0065359477124183      .";"0.129820695181809      ."
"SMAD protein signal transduction";"0.0065359477124183      .";"0.129820695181809      ."
"spermatogenesis";"0.0065359477124183      .";"0.129820695181809      ."
"spindle organization";"0.0065359477124183      .";"0.129820695181809      ."
"thrombin-activated receptor activity";"0.0065359477124183      .";"0.129820695181809      ."
"thrombin-activated receptor signaling pathway";"0.0065359477124183      .";"0.129820695181809      ."
"thymus development";"0.0065359477124183      .";"0.129820695181809      ."
"transforming growth factor beta receptor binding";"0.0065359477124183      .";"0.129820695181809      ."
"translational initiation";"0.0065359477124183      .";"0.129820695181809      ."
"tRNA aminoacylation";"0.0065359477124183      .";"0.129820695181809      ."
"tRNA aminoacylation for protein translation";"0.0065359477124183      .";"0.129820695181809      ."
"tRNA methylation";"0.0065359477124183      .";"0.129820695181809      ."
"tRNA processing";"0.0065359477124183      .";"0.129820695181809      ."
"vascular endothelial growth factor receptor signaling pathway";"0.0065359477124183      .";"0.129820695181809      ."
"'de novo' protein folding";"0.0130718954248366      .";"0.170548756415318      ."
"adrenal gland development";"0.0130718954248366      .";"0.170548756415318      ."
"anaphase-promoting complex";"0.0130718954248366      .";"0.170548756415318      ."
"ATP-dependent RNA helicase activity";"0.0130718954248366      .";"0.170548756415318      ."
"cell development";"0.0130718954248366      .";"0.170548756415318      ."
"cellular protein modification process";"0.0130718954248366      .";"0.170548756415318      ."
"chaperonin-containing T-complex";"0.0130718954248366      .";"0.170548756415318      ."
"chromosome segregation";"0.0130718954248366      .";"0.170548756415318      ."
"cyclin-dependent protein kinase holoenzyme complex";"0.0130718954248366      .";"0.170548756415318      ."
"cytokine activity";"0.0130718954248366      .";"0.170548756415318      ."
"cytokinesis";"0.0130718954248366      .";"0.170548756415318      ."
"definitive hemopoiesis";"0.0130718954248366      .";"0.170548756415318      ."
"determination of liver left/right asymmetry";"0.0130718954248366      .";"0.170548756415318      ."
"determination of pancreatic left/right asymmetry";"0.0130718954248366      .";"0.170548756415318      ."
"digestive tract development";"0.0130718954248366      .";"0.170548756415318      ."
"DNA-dependent DNA replication";"0.0130718954248366      .";"0.170548756415318      ."
"DNA-directed 5'-3' RNA polymerase activity";"0.0130718954248366      .";"0.170548756415318      ."
"DNA topological change";"0.0130718954248366      .";"0.170548756415318      ."
"endoderm development";"0.0130718954248366      .";"0.170548756415318      ."
"endonuclease activity";"0.0130718954248366      .";"0.170548756415318      ."
"G-protein coupled serotonin receptor signaling pathway";"0.0130718954248366      .";"0.170548756415318      ."
"heme binding";"0.0130718954248366      .";"0.170548756415318      ."
"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides";"0.0130718954248366      .";"0.170548756415318      ."
"integral component of nuclear inner membrane";"0.0130718954248366      .";"0.170548756415318      ."
"maturation of LSU-rRNA";"0.0130718954248366      .";"0.170548756415318      ."
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)";"0.0130718954248366      .";"0.170548756415318      ."
"meiotic cell cycle";"0.0130718954248366      .";"0.170548756415318      ."
"mitotic spindle";"0.0130718954248366      .";"0.170548756415318      ."
"NAD+ kinase activity";"0.0130718954248366      .";"0.170548756415318      ."
"negative regulation of apoptotic process";"0.0130718954248366      .";"0.170548756415318      ."
"NLS-bearing protein import into nucleus";"0.0130718954248366      .";"0.170548756415318      ."
"nuclear-transcribed mRNA catabolic process";"0.0130718954248366      .";"0.170548756415318      ."
"nuclear localization sequence binding";"0.0130718954248366      .";"0.170548756415318      ."
"nuclear pore";"0.0130718954248366      .";"0.170548756415318      ."
"nuclease activity";"0.0130718954248366      .";"0.170548756415318      ."
"nucleic acid phosphodiester bond hydrolysis";"0.0130718954248366      .";"0.170548756415318      ."
"nucleolus";"0.0130718954248366      .";"0.170548756415318      ."
"nucleotide-excision repair";"0.0130718954248366      .";"0.170548756415318      ."
"nucleotidyltransferase activity";"0.0130718954248366      .";"0.170548756415318      ."
"phospholipase C-activating G-protein coupled receptor signaling pathway";"0.0130718954248366      .";"0.170548756415318      ."
"positive regulation of BMP signaling pathway";"0.0130718954248366      .";"0.170548756415318      ."
"positive regulation of cyclin-dependent protein serine/threonine kinase activity";"0.0130718954248366      .";"0.170548756415318      ."
"protein binding involved in protein folding";"0.0130718954248366      .";"0.170548756415318      ."
"protein folding";"0.0130718954248366      .";"0.170548756415318      ."
"protein import into nucleus";"0.0130718954248366      .";"0.170548756415318      ."
"protein ubiquitination";"0.0130718954248366      .";"0.170548756415318      ."
"pseudouridine synthase activity";"0.0130718954248366      .";"0.170548756415318      ."
"pseudouridine synthesis";"0.0130718954248366      .";"0.170548756415318      ."
"regulation of translational fidelity";"0.0130718954248366      .";"0.170548756415318      ."
"ribosome binding";"0.0130718954248366      .";"0.170548756415318      ."
"ribosome biogenesis";"0.0130718954248366      .";"0.170548756415318      ."
"RNA methylation";"0.0130718954248366      .";"0.170548756415318      ."
"RNA methyltransferase activity";"0.0130718954248366      .";"0.170548756415318      ."
"RNA modification";"0.0130718954248366      .";"0.170548756415318      ."
"RNA secondary structure unwinding";"0.0130718954248366      .";"0.170548756415318      ."
"rRNA binding";"0.0130718954248366      .";"0.170548756415318      ."
"rRNA processing";"0.0130718954248366      .";"0.170548756415318      ."
"small-subunit processome";"0.0130718954248366      .";"0.170548756415318      ."
"snoRNA binding";"0.0130718954248366      .";"0.170548756415318      ."
"transferase activity";"0.0130718954248366      .";"0.170548756415318      ."
"transferase activity, transferring acyl groups";"0.0130718954248366      .";"0.170548756415318      ."
"translation initiation factor activity";"0.0130718954248366      .";"0.170548756415318      ."
"tRNA binding";"0.0130718954248366      .";"0.170548756415318      ."
"tRNA modification";"0.0130718954248366      .";"0.170548756415318      ."
"ubiquitin-protein transferase activity";"0.0130718954248366      .";"0.170548756415318      ."
"ubiquitin protein ligase activity";"0.0130718954248366      .";"0.170548756415318      ."
"unfolded protein binding";"0.0130718954248366      .";"0.170548756415318      ."
"vasculogenesis";"0.0130718954248366      .";"0.170548756415318      ."
"3'-5' exonuclease activity";"0.0261437908496732      .";"1      ."
"acrosin binding";"0.0261437908496732      .";"1      ."
"ATP-dependent DNA helicase activity";"0.0261437908496732      .";"1      ."
"base-excision repair";"0.0261437908496732      .";"1      ."
"binding of sperm to zona pellucida";"0.0261437908496732      .";"1      ."
"catalytic step 2 spliceosome";"0.0261437908496732      .";"1      ."
"cell cycle";"0.0261437908496732      .";"1      ."
"cell division";"0.0261437908496732      .";"1      ."
"cellular response to DNA damage stimulus";"0.0261437908496732      .";"1      ."
"centriole";"0.0261437908496732      .";"1      ."
"chromosome, centromeric region";"0.0261437908496732      .";"1      ."
"chromosome, telomeric region";"0.0261437908496732      .";"1      ."
"condensed chromosome kinetochore";"0.0261437908496732      .";"1      ."
"damaged DNA binding";"0.0261437908496732      .";"1      ."
"defense response";"0.0261437908496732      .";"1      ."
"DNA-dependent ATPase activity";"0.0261437908496732      .";"1      ."
"DNA-directed DNA polymerase activity";"0.0261437908496732      .";"1      ."
"DNA-directed RNA polymerase III complex";"0.0261437908496732      .";"1      ."
"DNA biosynthetic process";"0.0261437908496732      .";"1      ."
"DNA duplex unwinding";"0.0261437908496732      .";"1      ."
"DNA helicase activity";"0.0261437908496732      .";"1      ."
"DNA metabolic process";"0.0261437908496732      .";"1      ."
"DNA recombination";"0.0261437908496732      .";"1      ."
"DNA repair";"0.0261437908496732      .";"1      ."
"DNA replication";"0.0261437908496732      .";"1      ."
"DNA replication initiation";"0.0261437908496732      .";"1      ."
"double-strand break repair";"0.0261437908496732      .";"1      ."
"double-strand break repair via homologous recombination";"0.0261437908496732      .";"1      ."
"double-stranded DNA binding";"0.0261437908496732      .";"1      ."
"egg coat formation";"0.0261437908496732      .";"1      ."
"endodeoxyribonuclease activity";"0.0261437908496732      .";"1      ."
"epithelial cilium movement involved in determination of left/right asymmetry";"0.0261437908496732      .";"1      ."
"exonuclease activity";"0.0261437908496732      .";"1      ."
"fibroblast growth factor receptor binding";"0.0261437908496732      .";"1      ."
"G1/S transition of mitotic cell cycle";"0.0261437908496732      .";"1      ."
"galactosyltransferase activity";"0.0261437908496732      .";"1      ."
"gene silencing by RNA";"0.0261437908496732      .";"1      ."
"germ cell migration";"0.0261437908496732      .";"1      ."
"glomerular visceral epithelial cell development";"0.0261437908496732      .";"1      ."
"heart development";"0.0261437908496732      .";"1      ."
"heart morphogenesis";"0.0261437908496732      .";"1      ."
"helicase activity";"0.0261437908496732      .";"1      ."
"hematopoietic stem cell differentiation";"0.0261437908496732      .";"1      ."
"hemoglobin complex";"0.0261437908496732      .";"1      ."
"integral component of mitochondrial outer membrane";"0.0261437908496732      .";"1      ."
"iron-sulfur cluster assembly";"0.0261437908496732      .";"1      ."
"kinetochore";"0.0261437908496732      .";"1      ."
"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity";"0.0261437908496732      .";"1      ."
"maturation of SSU-rRNA";"0.0261437908496732      .";"1      ."
"mediator complex";"0.0261437908496732      .";"1      ."
"mesoderm development";"0.0261437908496732      .";"1      ."
"methylation";"0.0261437908496732      .";"1      ."
"methyltransferase activity";"0.0261437908496732      .";"1      ."
"mismatch repair";"0.0261437908496732      .";"1      ."
"mitotic cell cycle";"0.0261437908496732      .";"1      ."
"mitotic sister chromatid segregation";"0.0261437908496732      .";"1      ."
"mitotic spindle assembly";"0.0261437908496732      .";"1      ."
"mitotic spindle assembly checkpoint";"0.0261437908496732      .";"1      ."
"mRNA polyadenylation";"0.0261437908496732      .";"1      ."
"neutrophil differentiation";"0.0261437908496732      .";"1      ."
"nuclear chromosome, telomeric region";"0.0261437908496732      .";"1      ."
"nuclear speck";"0.0261437908496732      .";"1      ."
"nucleic acid binding";"0.0261437908496732      .";"1      ."
"nucleocytoplasmic transporter activity";"0.0261437908496732      .";"1      ."
"nucleoplasm";"0.0261437908496732      .";"1      ."
"oxygen binding";"0.0261437908496732      .";"1      ."
"oxygen transport";"0.0261437908496732      .";"1      ."
"oxygen transporter activity";"0.0261437908496732      .";"1      ."
"P-body";"0.0261437908496732      .";"1      ."
"positive regulation of acrosome reaction";"0.0261437908496732      .";"1      ."
"positive regulation of angiogenesis";"0.0261437908496732      .";"1      ."
"precatalytic spliceosome";"0.0261437908496732      .";"1      ."
"preribosome, large subunit precursor";"0.0261437908496732      .";"1      ."
"proteasome regulatory particle, base subcomplex";"0.0261437908496732      .";"1      ."
"protein import into mitochondrial matrix";"0.0261437908496732      .";"1      ."
"Ran GTPase binding";"0.0261437908496732      .";"1      ."
"reciprocal meiotic recombination";"0.0261437908496732      .";"1      ."
"response to ionizing radiation";"0.0261437908496732      .";"1      ."
"ribonuclease activity";"0.0261437908496732      .";"1      ."
"ribosomal large subunit biogenesis";"0.0261437908496732      .";"1      ."
"RNA-dependent DNA biosynthetic process";"0.0261437908496732      .";"1      ."
"RNA-directed DNA polymerase activity";"0.0261437908496732      .";"1      ."
"RNA export from nucleus";"0.0261437908496732      .";"1      ."
"RNA polymerase II transcription cofactor activity";"0.0261437908496732      .";"1      ."
"RNA polymerase II transcription factor binding";"0.0261437908496732      .";"1      ."
"RNA polymerase III activity";"0.0261437908496732      .";"1      ."
"RNA processing";"0.0261437908496732      .";"1      ."
"signal transducer activity, downstream of receptor";"0.0261437908496732      .";"1      ."
"single-stranded DNA binding";"0.0261437908496732      .";"1      ."
"spindle assembly";"0.0261437908496732      .";"1      ."
"spliceosomal complex";"0.0261437908496732      .";"1      ."
"structural constituent of nuclear pore";"0.0261437908496732      .";"1      ."
"TBP-class protein binding";"0.0261437908496732      .";"1      ."
"telomere maintenance";"0.0261437908496732      .";"1      ."
"transcription elongation from RNA polymerase II promoter";"0.0261437908496732      .";"1      ."
"transcription factor activity, RNA polymerase II transcription factor recruiting";"0.0261437908496732      .";"1      ."
"transcription from RNA polymerase I promoter";"0.0261437908496732      .";"1      ."
"transcription from RNA polymerase III promoter";"0.0261437908496732      .";"1      ."
"U1 snRNP";"0.0261437908496732      .";"1      ."
"U4/U6 x U5 tri-snRNP complex";"0.0261437908496732      .";"1      ."
"U5 snRNP";"0.0261437908496732      .";"1      ."
"ubiquitin ligase complex";"0.0261437908496732      .";"1      ."
"activation of protein kinase activity";"0.0392156862745098      .";"1      ."
"adrenergic receptor activity";"0.0392156862745098      .";"1      ."
"ATP binding";"0.0392156862745098      .";"1      ."
"cell surface";"0.0392156862745098      .";"1      ."
"chaperone binding";"0.0392156862745098      .";"1      ."
"clathrin adaptor complex";"0.0392156862745098      .";"1      ."
"commitment complex";"0.0392156862745098      .";"1      ."
"defense response to Gram-positive bacterium";"0.0392156862745098      .";"1      ."
"determination of heart left/right asymmetry";"0.0392156862745098      .";"1      ."
"growth factor activity";"0.0392156862745098      .";"1      ."
"histone binding";"0.0392156862745098      .";"1      ."
"innate immune response";"0.0392156862745098      .";"1      ."
"isoprenoid biosynthetic process";"0.0392156862745098      .";"1      ."
"mRNA export from nucleus";"0.0392156862745098      .";"1      ."
"N-acetyltransferase activity";"0.0392156862745098      .";"1      ."
"neurotransmitter receptor activity";"0.0392156862745098      .";"1      ."
"nuclear chromatin";"0.0392156862745098      .";"1      ."
"positive regulation of cytosolic calcium ion concentration";"0.0392156862745098      .";"1      ."
"protein glycosylation";"0.0392156862745098      .";"1      ."
"Ras protein signal transduction";"0.0392156862745098      .";"1      ."
"receptor tyrosine kinase binding";"0.0392156862745098      .";"1      ."
"regulation of cell adhesion";"0.0392156862745098      .";"1      ."
"RNA binding";"0.0392156862745098      .";"1      ."
"RNA splicing";"0.0392156862745098      .";"1      ."
"spliceosomal snRNP assembly";"0.0392156862745098      .";"1      ."
"tachykinin receptor signaling pathway";"0.0392156862745098      .";"1      ."
"thiolester hydrolase activity";"0.0392156862745098      .";"1      ."
"U2-type prespliceosome";"0.0392156862745098      .";"1      ."
"U2 snRNP";"0.0392156862745098      .";"1      ."
"viral nucleocapsid";"0.0392156862745098      .";"1      ."
"artery morphogenesis";"0.0588235294117647      .";"1      ."
"bicellular tight junction assembly";"0.0588235294117647      .";"1      ."
"cardiac muscle cell differentiation";"0.0588235294117647      .";"1      ."
"chromosome";"0.0588235294117647      .";"1      ."
"clathrin-coated pit";"0.0588235294117647      .";"1      ."
"convergent extension";"0.0588235294117647      .";"1      ."
"determination of left/right asymmetry in lateral mesoderm";"0.0588235294117647      .";"1      ."
"determination of ventral identity";"0.0588235294117647      .";"1      ."
"enzyme regulator activity";"0.0588235294117647      .";"1      ."
"G-protein coupled serotonin receptor activity";"0.0588235294117647      .";"1      ."
"Kupffer's vesicle development";"0.0588235294117647      .";"1      ."
"left/right pattern formation";"0.0588235294117647      .";"1      ."
"membrane disruption in other organism";"0.0588235294117647      .";"1      ."
"mitotic sister chromatid cohesion";"0.0588235294117647      .";"1      ."
"mRNA processing";"0.0588235294117647      .";"1      ."
"mRNA splicing, via spliceosome";"0.0588235294117647      .";"1      ."
"neuropeptide receptor activity";"0.0588235294117647      .";"1      ."
"proteasome-mediated ubiquitin-dependent protein catabolic process";"0.0588235294117647      .";"1      ."
"protein autophosphorylation";"0.0588235294117647      .";"1      ."
"protein disulfide isomerase activity";"0.0588235294117647      .";"1      ."
"protein sumoylation";"0.0588235294117647      .";"1      ."
"regulation of apoptotic process";"0.0588235294117647      .";"1      ."
"regulation of translation";"0.0588235294117647      .";"1      ."
"Rho GTPase binding";"0.0588235294117647      .";"1      ."
"small protein activating enzyme activity";"0.0588235294117647      .";"1      ."
"stress-activated protein kinase signaling cascade";"0.0588235294117647      .";"1      ."
"thrombocyte differentiation";"0.0588235294117647      .";"1      ."
"transcription factor TFIID complex";"0.0588235294117647      .";"1      ."
"translation elongation factor activity";"0.0588235294117647      .";"1      ."
"U12-type spliceosomal complex";"0.0588235294117647      .";"1      ."
"ubiquitin-dependent protein catabolic process";"0.0588235294117647      .";"1      ."
"ubiquitin binding";"0.0588235294117647      .";"1      ."
"zinc ion binding";"0.0588235294117647      .";"1      ."
"carbohydrate transport";"0.0784313725490196      .";"1      ."
"cellular metabolic process";"0.0784313725490196      .";"1      ."
"cyclin-dependent protein serine/threonine kinase activity";"0.0784313725490196      .";"1      ."
"detection of chemical stimulus involved in sensory perception";"0.0784313725490196      .";"1      ."
"DNA-directed RNA polymerase I complex";"0.0784313725490196      .";"1      ."
"double-stranded RNA binding";"0.0784313725490196      .";"1      ."
"embryonic heart tube development";"0.0784313725490196      .";"1      ."
"exocytic vesicle";"0.0784313725490196      .";"1      ."
"histone acetyltransferase activity";"0.0784313725490196      .";"1      ."
"histone deacetylation";"0.0784313725490196      .";"1      ."
"lymph vessel development";"0.0784313725490196      .";"1      ."
"mitochondrion organization";"0.0784313725490196      .";"1      ."
"mRNA transport";"0.0784313725490196      .";"1      ."
"negative regulation of translation";"0.0784313725490196      .";"1      ."
"nucleosomal DNA binding";"0.0784313725490196      .";"1      ."
"nucleosome";"0.0784313725490196      .";"1      ."
"nucleosome assembly";"0.0784313725490196      .";"1      ."
"outer dynein arm assembly";"0.0784313725490196      .";"1      ."
"peptidyl-proline hydroxylation";"0.0784313725490196      .";"1      ."
"positive regulation of actin filament polymerization";"0.0784313725490196      .";"1      ."
"post-anal tail morphogenesis";"0.0784313725490196      .";"1      ."
"protein deubiquitination";"0.0784313725490196      .";"1      ."
"protein heterodimerization activity";"0.0784313725490196      .";"1      ."
"regulation of blood vessel diameter";"0.0784313725490196      .";"1      ."
"regulation of nucleic acid-templated transcription";"0.0784313725490196      .";"1      ."
"RNA polymerase I activity";"0.0784313725490196      .";"1      ."
"spindle";"0.0784313725490196      .";"1      ."
"spliceosomal complex assembly";"0.0784313725490196      .";"1      ."
"sterol biosynthetic process";"0.0784313725490196      .";"1      ."
"sugar:proton symporter activity";"0.0784313725490196      .";"1      ."
"transcription initiation from RNA polymerase II promoter";"0.0784313725490196      .";"1      ."
"ATPase activity";"0.104575163398693      .";"1      ."
"cell growth";"0.104575163398693      .";"1      ."
"cellular component organization";"0.104575163398693      .";"1      ."
"centrosome";"0.104575163398693      .";"1      ."
"chondrocyte differentiation";"0.104575163398693      .";"1      ."
"chromatin binding";"0.104575163398693      .";"1      ."
"chromatin silencing";"0.104575163398693      .";"1      ."
"ciliary basal body";"0.104575163398693      .";"1      ."
"cilium movement";"0.104575163398693      .";"1      ."
"DNA-directed RNA polymerase II, core complex";"0.104575163398693      .";"1      ."
"DNA-templated transcription, initiation";"0.104575163398693      .";"1      ."
"exocyst";"0.104575163398693      .";"1      ."
"G-protein coupled purinergic nucleotide receptor activity";"0.104575163398693      .";"1      ."
"G-protein coupled purinergic nucleotide receptor signaling pathway";"0.104575163398693      .";"1      ."
"gastrulation";"0.104575163398693      .";"1      ."
"membrane coat";"0.104575163398693      .";"1      ."
"metal ion transmembrane transporter activity";"0.104575163398693      .";"1      ."
"mRNA binding";"0.104575163398693      .";"1      ."
"neural retina development";"0.104575163398693      .";"1      ."
"phosphate ion transmembrane transport";"0.104575163398693      .";"1      ."
"phosphatidylinositol-mediated signaling";"0.104575163398693      .";"1      ."
"phospholipase A2 activity";"0.104575163398693      .";"1      ."
"phosphotransferase activity, alcohol group as acceptor";"0.104575163398693      .";"1      ."
"primitive erythrocyte differentiation";"0.104575163398693      .";"1      ."
"proteasome assembly";"0.104575163398693      .";"1      ."
"protein serine/threonine kinase activity";"0.104575163398693      .";"1      ."
"response to endoplasmic reticulum stress";"0.104575163398693      .";"1      ."
