"";"Rank";"ID";"Symbol";"mean expression";"SD";"max delta e";"min delta e";"correlation";"->t.score";"->p.value";"Metagene";"Chromosome";"Description"
"ENSDARG00000102928";1;"ENSDARG00000102928";"";3,2003594422745;2,96891539929549;11,8791589316085;-0,868740219525702;0,423117301761004;1,86791310712656;"0.0401001993026442      .";"1 x 30";" ";""
"ENSDARG00000017274";2;"ENSDARG00000017274";"opn1sw2";4,16204038746797;2,36485430774728;5,44415364626129;-2,16634884727631;0,814223282154552;5,60999529446511;"1.95525399029339e-05      .";"1 x 35";"11 NA";"opsin 1 (cone pigments), short-wave-sensitive 2 [Source:ZFIN;Acc:ZDB-GENE-990604-40]"
"ENSDARG00000030215";3;"ENSDARG00000030215";"matn1";9,20124420370358;4,25225830084688;5,34075264317578;-6,97631775692412;0,932099019920982;10,2936484264956;"9.1679402958178e-09      .";"1 x 37";"19 NA";"matrilin 1 [Source:ZFIN;Acc:ZDB-GENE-050307-3]"
"ENSDARG00000097008";4;"ENSDARG00000097008";"opn1mw1";5,37462126464961;2,90497340854034;5,22125689175076;-3,71075555581434;0,819460769145772;5,7191438002508;"1.58303893599276e-05      .";"1 x 35";"6 NA";"opsin 1 (cone pigments), medium-wave-sensitive, 1 [Source:ZFIN;Acc:ZDB-GENE-990604-42]"
"ENSDARG00000045677";5;"ENSDARG00000045677";"opn1sw1";6,81487748905174;2,7004569360774;5,15898566920076;-4,48097538678135;0,784179489833869;5,05486826352236;"5.85890661644051e-05      .";"1 x 35";"4 NA";"opsin 1 (cone pigments), short-wave-sensitive 1 [Source:ZFIN;Acc:ZDB-GENE-991109-25]"
"ENSDARG00000002193";6;"ENSDARG00000002193";"rho";6,54613523059643;3,247456968902;5,14043797846144;-4,55352560887367;0,955412288371307;12,942675190949;"3.41371930723255e-10      .";"1 x 37";"8 NA";"rhodopsin [Source:ZFIN;Acc:ZDB-GENE-990415-271]"
"ENSDARG00000079302";7;"ENSDARG00000079302";"and2";8,47682288459404;2,49594168077377;5,08777308006538;-5,90527969767837;0,884812226316413;7,59580608563217;"5.39680131694809e-07      .";"1 x 37";"2 NA";"actinodin2 [Source:ZFIN;Acc:ZDB-GENE-041105-2]"
"ENSDARG00000044861";8;"ENSDARG00000044861";"opn1lw2";7,00915627472785;2,90809967264744;5,00732729126674;-4,87742047654214;0,953484709069867;12,6523397433597;"4.76012340655529e-10      .";"1 x 37";"11 NA";"opsin 1 (cone pigments), long-wave-sensitive, 2 [Source:ZFIN;Acc:ZDB-GENE-040718-141]"
"ENSDARG00000088514";9;"ENSDARG00000088514";"and1";9,22988671359307;2,03469358758911;4,90294461919997;-3,65699964353229;0,874596825749054;7,21538791438067;"1.03000242757112e-06      .";"1 x 36";"24 NA";"actinodin1 [Source:ZFIN;Acc:ZDB-GENE-030131-9105]"
"ENSDARG00000056511";10;"ENSDARG00000056511";"arr3a";7,62247424548387;3,06629771774838;4,8349808116145;-5,44721079615071;0,965156469029728;14,7536022204982;"4.89629448097162e-11      .";"1 x 37";"10 NA";"arrestin 3a, retinal (X-arrestin) [Source:ZFIN;Acc:ZDB-GENE-040718-102]"
"ENSDARG00000002696";11;"ENSDARG00000002696";"gnb3b";5,88649085774953;2,98892556521009;4,81791427898357;-3,88717579149275;0,895428693597291;8,04509183811342;"2.57753247190351e-07      .";"1 x 36";"19 NA";"guanine nucleotide binding protein (G protein), beta polypeptide 3b [Source:ZFIN;Acc:ZDB-GENE-040426-2280]"
"ENSDARG00000009637";12;"ENSDARG00000009637";"rcvrn3";5,81099794249902;2,37953243378671;4,70892221373461;-3,51817439371359;0,915625467760117;9,10996828438964;"4.94288225905137e-08      .";"1 x 36";"19 NA";"recoverin 3 [Source:ZFIN;Acc:ZDB-GENE-040426-1661]"
"ENSDARG00000100397";13;"ENSDARG00000100397";"pde6c";5,98767640294791;2,46954699956642;4,57291950481274;-3,71326828511502;0,84836593337983;6,4098939343114;"4.31698409630865e-06      .";"1 x 36";"12 NA";"phosphodiesterase 6C, cGMP-specific, cone, alpha prime [Source:ZFIN;Acc:ZDB-GENE-040426-1664]"
