"";"Rank";"ID";"Symbol";"mean expression";"SD";"max delta e";"min delta e";"correlation";"->t.score";"->p.value";"Metagene";"Chromosome";"Description"
"ENSDARG00000004051";1;"ENSDARG00000004051";"cyp7a1b";4,12126605005249;1,90332011970692;5,9313727497119;-1,56675982661569;0,757571723834344;4,64232544103926;"0.000135553153102874      .";"40 x 1";"7 NA";""
"ENSDARG00000102100";2;"ENSDARG00000102100";"mrc1a";8,71816536327673;1,82452635573396;4,13360193974048;-2,80729967857215;0,901643321952853;8,33927516793773;"1.61099737772119e-07      .";"40 x 1";"7 NA";"mannose receptor, C type 1a [Source:ZFIN;Acc:ZDB-GENE-090915-4]"
"ENSDARG00000021232";3;"ENSDARG00000021232";"nkx2.7";4,52326209731952;1,86787068541285;3,89427112113342;-1,93503366391664;0,788784944184745;5,13306900033878;"5.00825781197811e-05      .";"40 x 1";"8 NA";"NK2 transcription factor related 7 [Source:ZFIN;Acc:ZDB-GENE-990415-179]"
"ENSDARG00000015123";4;"ENSDARG00000015123";"dnase1l4.1";7,55321414173418;1,64300993062141;3,74543138460685;-3,15632807775073;0,790105445517228;5,15590793414875;"4.7846255489481e-05      .";"40 x 1";"22 NA";"deoxyribonuclease 1 like 4, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-040808-35]"
"ENSDARG00000013539";5;"ENSDARG00000013539";"ikzf1";6,23357055059266;1,69836650477669;3,53432078753846;-3,10995937123068;0,84161471523695;6,23327817152281;"5.98119762384997e-06      .";"40 x 1";"13 NA";"IKAROS family zinc finger 1 (Ikaros) [Source:ZFIN;Acc:ZDB-GENE-980526-304]"
"ENSDARG00000104474";6;"ENSDARG00000104474";"il6r";6,42570359467439;1,78646216578561;3,46973436026599;-3,88360580809841;0,778674692612931;4,96423406555339;"7.03334928258137e-05      .";"40 x 1";"16 NA";"interleukin 6 receptor [Source:ZFIN;Acc:ZDB-GENE-080107-7]"
"ENSDARG00000074434";7;"ENSDARG00000074434";"";6,24117181551006;1,37568061277456;3,43588621897477;-2,62142798631286;0,824292208153889;5,82369301438791;"1.29504514527756e-05      .";"40 x 1";"17 NA";""
"ENSDARG00000032469";8;"ENSDARG00000032469";"ampd3b";8,33934131450461;1,37461588650402;3,3811341872613;-2,19252124097117;0,807338511071158;5,47265981908228;"2.55596497651389e-05      .";"40 x 3";"18 NA";"adenosine monophosphate deaminase 3b [Source:ZFIN;Acc:ZDB-GENE-030131-5929]"
"ENSDARG00000073743";9;"ENSDARG00000073743";"slc25a37";10,0504610667218;1,69853127475214;3,36214227582026;-3,58009719387416;0,716562138684249;4,10917987942015;"0.000410303172734716      .";"40 x 2";"8 NA";"solute carrier family 25 (mitochondrial iron transporter), member 37 [Source:ZFIN;Acc:ZDB-GENE-031118-202]"
"ENSDARG00000054447";10;"ENSDARG00000054447";"slc29a1b";9,62970535549531;1,31421602769947;3,35501934829987;-1,94905467168498;0,843341713556476;6,27746011385004;"5.51048567420942e-06      .";"40 x 1";"11 NA";"solute carrier family 29 (equilibrative nucleoside transporter), member 1b [Source:ZFIN;Acc:ZDB-GENE-130415-4]"
