"";"Rank";"ID";"Symbol";"mean expression";"SD";"max delta e";"min delta e";"correlation";"->t.score";"->p.value";"Metagene";"Chromosome";"Description"
"ENSDARG00000038147";1;"ENSDARG00000038147";"hbbe3";7,64358847330706;4,50105034732126;8,12038108401482;-6,40048058101529;0,891823553587985;7,88555490494737;"3.34097453480453e-07      .";"40 x 40";"12 NA";"hemoglobin beta embryonic-3 [Source:ZFIN;Acc:ZDB-GENE-980526-287]"
"ENSDARG00000078004";2;"ENSDARG00000078004";"drl";5,32798028878859;3,68873407844149;7,82612028916511;-4,4918922738798;0,957782273985218;13,3259190853302;"2.22190377208165e-10      .";"40 x 40";"5 NA";"draculin [Source:ZFIN;Acc:ZDB-GENE-991213-3]"
"ENSDARG00000035150";3;"ENSDARG00000035150";"si:dkey-261j4.4";5,48029340940591;3,47344984357061;7,35899250146203;-4,5485689521129;0,952921721458686;12,5708461991811;"5.23168175448063e-10      .";"40 x 40";"5 NA";"si:dkey-261j4.4 [Source:ZFIN;Acc:ZDB-GENE-060531-125]"
"ENSDARG00000043126";4;"ENSDARG00000043126";"blf";5,53684108428436;3,36970162116037;7,35347297955101;-4,20113933582756;0,899097773152304;8,21566790101972;"1.96012878928009e-07      .";"40 x 40";"22 NA";"bloody fingers [Source:ZFIN;Acc:ZDB-GENE-050721-1]"
"ENSDARG00000035151";5;"ENSDARG00000035151";"si:dkey-261j4.3";6,1183751309586;3,48755556856932;7,06390288771439;-5,05990744189799;0,953596591189009;12,6687070676111;"4.67095251366345e-10      .";"40 x 40";"5 NA";"si:dkey-261j4.3 [Source:ZFIN;Acc:ZDB-GENE-060531-124]"
"ENSDARG00000040442";6;"ENSDARG00000040442";"";5,90979323790273;2,74659433370618;6,46334982271315;-4,60468388237824;0,753847859900092;4,58929453463884;"0.000151178030344701      .";"40 x 40";"25 NA";"protogenin homolog b (Gallus gallus) [Source:ZFIN;Acc:ZDB-GENE-060302-1]"
"ENSDARG00000045748";7;"ENSDARG00000045748";"stab2";7,86783508677109;2,79787337778915;6,42678665620448;-3,2167653994863;0,877589268555727;7,32219434247587;"8.57402107090621e-07      .";"40 x 40";"4 NA";"stabilin 2 [Source:ZFIN;Acc:ZDB-GENE-041210-336]"
"ENSDARG00000056765";8;"ENSDARG00000056765";"ela2l";3,88940963458923;2,2594386585048;6,31162160833916;-1,78873798292387;0,867379082247984;6,971828197018;"1.57388191213137e-06      .";"40 x 40";"8 NA";"elastase 2 like [Source:ZFIN;Acc:ZDB-GENE-040511-1]"
"ENSDARG00000101322";9;"ENSDARG00000101322";"tfr1a";8,86405274984201;2,76976655533319;6,10998463911347;-4,16074843999267;0,946448312294042;11,725972558236;"1.43658518414469e-09      .";"40 x 40";"2 NA";"transferrin receptor 1a [Source:ZFIN;Acc:ZDB-GENE-041220-1]"
"ENSDARG00000102731";10;"ENSDARG00000102731";"";4,16935721785446;2,40998733169085;6,00282727964183;-2,33339803773918;0,915036428323716;9,07388926748747;"5.21587161239623e-08      .";"40 x 40";"21 NA";"si:ch73-299h12.2 [Source:ZFIN;Acc:ZDB-GENE-081031-77]"
"ENSDARG00000038792";11;"ENSDARG00000038792";"klf17";5,00769806480812;3,12218831101506;5,96918667723583;-3,88633212817862;0,910424287030151;8,80326497050141;"7.84376605889037e-08      .";"40 x 40";"2 NA";"Kruppel-like factor 17 [Source:ZFIN;Acc:ZDB-GENE-010129-1]"
"ENSDARG00000013477";12;"ENSDARG00000013477";"gata1a";4,79898294700624;2,70116101949312;5,69077736881288;-3,46408244419593;0,930290294320329;10,1442640061919;"1.12485030179243e-08      .";"40 x 40";"11 NA";"GATA binding protein 1a [Source:ZFIN;Acc:ZDB-GENE-980526-268]"
"ENSDARG00000079947";13;"ENSDARG00000079947";"gfi1b";4,38740549229638;2,69478934627016;5,68965629841119;-3,03701714567251;0,913119134461674;8,958893166623;"6.19687881009412e-08      .";"40 x 40";"21 NA";"growth factor independent 1B transcription repressor [Source:ZFIN;Acc:ZDB-GENE-091118-129]"
"ENSDARG00000100783";14;"ENSDARG00000100783";"";5,1040729565813;2,45007771565932;5,53426244477586;-3,53119916577297;0,82661997809772;5,87546522582477;"1.17309916463082e-05      .";"40 x 40";"KN150056.1 NA";""
"ENSDARG00000008333";15;"ENSDARG00000008333";"znfl2a";5,64437494032845;2,66158276924425;5,51303500409;-4,08549219796284;0,886640461108331;7,66891510251197;"4.77684394262212e-07      .";"40 x 40";"2 NA";"zinc finger-like gene 2a [Source:ZFIN;Acc:ZDB-GENE-030828-7]"
"ENSDARG00000062025";16;"ENSDARG00000062025";"cpox";8,57944410240491;2,22444408407184;5,44869061344567;-1,90903794898324;0,76260711688432;4,71573332902817;"0.000116605937633185      .";"40 x 39";"8 NA";"coproporphyrinogen oxidase [Source:ZFIN;Acc:ZDB-GENE-030131-9884]"
"ENSDARG00000055991";17;"ENSDARG00000055991";"hmbsb";7,89765994406827;2,22293876718674;5,41596684777687;-2,18024007758599;0,804316232991456;5,41443440824842;"2.86550210237824e-05      .";"40 x 39";"15 NA";"hydroxymethylbilane synthase, b [Source:ZFIN;Acc:ZDB-GENE-050522-491]"
"ENSDARG00000004392";18;"ENSDARG00000004392";"hdr";6,26430415460856;2,72672872339527;5,3896484664056;-4,84806118795949;0,924952247504143;9,73420476823621;"1.99534290201697e-08      .";"40 x 40";"5 NA";"hematopoietic death receptor [Source:ZFIN;Acc:ZDB-GENE-030826-5]"
"ENSDARG00000006939";19;"ENSDARG00000006939";"tbx6l";4,33211444859591;2,61727452207719;5,29800506970814;-2,88123436130335;0,843888081176192;6,29157727304052;"5.3683378613556e-06      .";"40 x 40";"5 NA";"T-box 6, like [Source:ZFIN;Acc:ZDB-GENE-980526-171]"
"ENSDARG00000058839";20;"ENSDARG00000058839";"susd1";6,08972151528286;2,58012609863874;5,29047124094092;-4,06738433995771;0,88808797014775;7,72798871965629;"4.33052728565642e-07      .";"40 x 40";"5 NA";"sushi domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-060526-169]"
"ENSDARG00000006818";21;"ENSDARG00000006818";"urod";8,50480800483183;2,19883142184944;5,2827890441044;-2,28727579007523;0,804293923021061;5,41400907954294;"2.86790046197805e-05      .";"40 x 40";"2 NA";"uroporphyrinogen decarboxylase [Source:ZFIN;Acc:ZDB-GENE-000208-18]"
"ENSDARG00000053066";22;"ENSDARG00000053066";"tubb1";6,45094207053826;3,14734260986729;5,25878676729768;-4,98314553634778;0,90229558685192;8,37168220973884;"1.53071929354098e-07      .";"40 x 40";"6 NA";"tubulin, beta 1 class VI [Source:ZFIN;Acc:ZDB-GENE-110408-5]"
"ENSDARG00000058725";23;"ENSDARG00000058725";"rfesd";5,84287209203338;2,46709999328257;5,20875111059969;-4,29322747732934;0,894800843438054;8,01675225273849;"2.69845783718026e-07      .";"40 x 40";"21 NA";"Rieske (Fe-S) domain containing [Source:ZFIN;Acc:ZDB-GENE-050417-254]"
"ENSDARG00000078557";24;"ENSDARG00000078557";"si:ch211-57n23.4";4,2484741999098;2,05406907095653;5,20073617565209;-2,65246836814548;0,781512829443493;5,0105875597601;"6.40517961345566e-05      .";"40 x 40";"19 NA";"si:ch211-57n23.4 [Source:ZFIN;Acc:ZDB-GENE-140106-153]"
"ENSDARG00000001721";25;"ENSDARG00000001721";"oc90";4,5544766446892;1,90324767969514;5,1905577044746;-2,09577327083809;0,785716673687202;5,08072272270188;"5.56233795301342e-05      .";"40 x 39";"2 NA";"otoconin 90 [Source:ZFIN;Acc:ZDB-GENE-070912-300]"
"ENSDARG00000075664";26;"ENSDARG00000075664";"si:ch1073-429i10.1";3,9883217293836;2,36703910381206;5,11014161816605;-2,58119417649683;0,965849641859917;14,9106554326059;"4.17832435317678e-11      .";"40 x 40";"15 NA";"si:ch1073-429i10.1 [Source:ZFIN;Acc:ZDB-GENE-120215-259]"
"ENSDARG00000104825";27;"ENSDARG00000104825";"trim35-7";5,17962321251795;2,38499689844774;5,04134962993527;-3,46787208062964;0,873929158023511;7,19204357091252;"1.07234943480528e-06      .";"40 x 40";"3 NA";"tripartite motif containing 35-7 [Source:ZFIN;Acc:ZDB-GENE-050522-333]"
"ENSDARG00000095962";28;"ENSDARG00000095962";"";4,37216235007867;1,92164498770817;5,04122011917687;-1,84370769284724;0,836992474037489;6,1182050447688;"7.41392468661672e-06      .";"40 x 40";"23 NA";"FH2 domain containing 5 [Source:ZFIN;Acc:ZDB-GENE-110411-151]"
"ENSDARG00000071052";29;"ENSDARG00000071052";"si:dkey-150i13.2";4,75522820164102;2,13321957111133;4,97729312842158;-2,66255915925844;0,880139719363106;7,41615681737575;"7.30560560380233e-07      .";"40 x 40";"23 NA";"si:dkey-150i13.2 [Source:ZFIN;Acc:ZDB-GENE-090312-157]"
"ENSDARG00000075641";30;"ENSDARG00000075641";"steap3";5,10598971465192;2,40242710449248;4,93688407464674;-3,39784671680302;0,879392196852051;7,38832831350068;"7.65940458946623e-07      .";"40 x 40";"9 NA";"STEAP family member 3, metalloreductase [Source:ZFIN;Acc:ZDB-GENE-081104-268]"
"ENSDARG00000017400";31;"ENSDARG00000017400";"klf1";5,61593367067348;2,55928573243422;4,89816072783581;-3,83662512601428;0,905705119929648;8,5462365123885;"1.16488212076327e-07      .";"40 x 40";"6 NA";"Kruppel-like factor 1 (erythroid) [Source:ZFIN;Acc:ZDB-GENE-980526-55]"
"ENSDARG00000099600";32;"ENSDARG00000099600";"si:dkey-93h22.7";5,31848041190024;2,6569039654177;4,87222381431459;-3,70736910039286;0,932609972909673;10,3368954322849;"8.6444729152646e-09      .";"40 x 40";"11 NA";"si:dkey-93h22.7 [Source:ZFIN;Acc:ZDB-GENE-141216-252]"
"ENSDARG00000009131";33;"ENSDARG00000009131";"";4,20144549377921;1,975296216754;4,84093896270659;-1,63951896785701;0,881542366367015;7,46903772798247;"6.67959937139528e-07      .";"40 x 40";"20 NA";"solute carrier family 10, member 4 [Source:ZFIN;Acc:ZDB-GENE-041014-249]"
"ENSDARG00000057206";34;"ENSDARG00000057206";"nmt1b";7,53516415910037;2,64056680752692;4,81535130369556;-5,93872769317316;0,904602395826674;8,48881028768792;"1.27387487891539e-07      .";"40 x 40";"12 NA";"N-myristoyltransferase 1b [Source:ZFIN;Acc:ZDB-GENE-081222-3]"
"ENSDARG00000012881";35;"ENSDARG00000012881";"slc4a1a";9,71833440487966;2,75565658537912;4,79118915252873;-4,78796767846232;0,918153691456836;9,26902656300979;"3.90677370454284e-08      .";"40 x 40";"3 NA";"solute carrier family 4 (anion exchanger), member 1a (Diego blood group) [Source:ZFIN;Acc:ZDB-GENE-010525-1]"
"ENSDARG00000029019";36;"ENSDARG00000029019";"epb41b";8,87541822776619;2,38259462534476;4,74840146061106;-3,11445558589843;0,936068430191111;10,6426444611252;"5.73453795560397e-09      .";"40 x 40";"16 NA";"erythrocyte membrane protein band 4.1b [Source:ZFIN;Acc:ZDB-GENE-030130-1]"
"ENSDARG00000076721";37;"ENSDARG00000076721";"zgc:171686";4,37380275336789;1,77594836206027;4,74009149258142;-1,58188461302105;0,799075079674784;5,31625778597741;"3.47801030979866e-05      .";"40 x 39";"22 NA";"zgc:171686 [Source:ZFIN;Acc:ZDB-GENE-080220-56]"
"ENSDARG00000090834";38;"ENSDARG00000090834";"epor";6,04943075725032;2,48910403496524;4,72423312290162;-4,37924273591136;0,891890907219043;7,88846624046719;"3.32509818012916e-07      .";"40 x 40";"3 NA";"erythropoietin receptor [Source:ZFIN;Acc:ZDB-GENE-071116-1]"
"ENSDARG00000102167";39;"ENSDARG00000102167";"ppox";6,24783560363865;2,22851829083454;4,66715517297452;-3,66984439963647;0,759211908739159;4,6660181397129;"0.000129115954158432      .";"40 x 40";"16 NA";"protoporphyrinogen oxidase [Source:ZFIN;Acc:ZDB-GENE-051120-90]"
"ENSDARG00000002194";40;"ENSDARG00000002194";"rhd";6,18691870241872;2,30475637112298;4,63922463817551;-3,89142069756657;0,913220940581875;8,96490766193334;"6.14104134211146e-08      .";"40 x 40";"13 NA";"Rh blood group, D antigen [Source:ZFIN;Acc:ZDB-GENE-051213-1]"
"ENSDARG00000070094";41;"ENSDARG00000070094";"sytl1";4,31351185691981;1,8710935138381;4,57050227190196;-1,6157787630446;0,792151828765107;5,19168000950286;"4.45481130135761e-05      .";"40 x 39";"19 NA";"synaptotagmin-like 1 [Source:ZFIN;Acc:ZDB-GENE-060503-439]"
"ENSDARG00000056029";42;"ENSDARG00000056029";"cyp26c1";6,60358611026977;1,96878591039362;4,54958645045988;-2,34750453496073;0,925788595100689;9,7956257869095;"1.82913970636633e-08      .";"40 x 40";"17 NA";"cytochrome P450, family 26, subfamily C, polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-050714-2]"
"ENSDARG00000045144";43;"ENSDARG00000045144";"hbz";4,45968357971302;2,26057600792751;4,54697094519624;-2,484454735095;0,906317243300725;8,5785288301119;"1.10793554553013e-07      .";"40 x 40";"12 NA";"hemoglobin subunit zeta [Source:ZFIN;Acc:ZDB-GENE-070410-131]"
"ENSDARG00000069031";44;"ENSDARG00000069031";"plac8l1";4,90703194956406;2,03570938494155;4,40064798647998;-2,62214624746632;0,884629534297657;7,58859030727871;"5.4623997813863e-07      .";"40 x 40";"21 NA";"PLAC8-like 1 [Source:ZFIN;Acc:ZDB-GENE-091204-165]"
"ENSDARG00000038643";45;"ENSDARG00000038643";"alas2";9,55536904984711;2,46472399268412;4,35790876623019;-3,85203290685786;0,920341821599012;9,41249358499367;"3.16756811891139e-08      .";"40 x 40";"8 NA";"aminolevulinate, delta-, synthase 2 [Source:ZFIN;Acc:ZDB-GENE-001229-1]"
"ENSDARG00000036616";46;"ENSDARG00000036616";"gpr182";4,46670460747578;2,14625132402459;4,35135158295391;-2,35755317345835;0,894616593915879;8,00848113392164;"2.73486116308952e-07      .";"40 x 40";"23 NA";"G protein-coupled receptor 182 [Source:ZFIN;Acc:ZDB-GENE-030131-2361]"
"ENSDARG00000101096";47;"ENSDARG00000101096";"cebp1";4,44416169253765;1,6066149283127;4,30521644172789;-1,40488132158818;0,877150333507567;7,3063000878793;"8.81041046230102e-07      .";"40 x 39";"24 NA";"CCAAT/enhancer binding protein (C/EBP) 1 [Source:ZFIN;Acc:ZDB-GENE-010611-1]"
"ENSDARG00000030490";48;"ENSDARG00000030490";"sptb";11,0370944656333;1,83466059344502;4,25744836248526;-2,45112130951861;0,91258956343226;8,92776918487983;"6.49447771117195e-08      .";"40 x 40";"17 NA";"spectrin, beta, erythrocytic [Source:ZFIN;Acc:ZDB-GENE-000906-1]"
"ENSDARG00000101146";49;"ENSDARG00000101146";"LOC101886098";5,28069509573765;2,32482668400052;4,20203314034806;-3,1015191356074;0,895076556094249;8,02916763873139;"2.64476511357969e-07      .";"40 x 40";"11 NA";""
"ENSDARG00000089475";50;"ENSDARG00000089475";"hbae1";11,9624032310166;2,2301639201416;4,19341494359003;-3,0707880054812;0,92017766522251;9,40153482002112;"3.21846751472066e-08      .";"40 x 40";"3 NA";"hemoglobin, alpha embryonic 1 [Source:NCBI gene;Acc:30597]"
"ENSDARG00000019521";51;"ENSDARG00000019521";"mpx";8,26454471867797;1,98768330940916;4,17638228733833;-2,87547881969098;0,812483143157217;5,57464485835801;"2.09435936552316e-05      .";"40 x 40";"10 NA";"myeloid-specific peroxidase [Source:ZFIN;Acc:ZDB-GENE-030131-9460]"
"ENSDARG00000088330";52;"ENSDARG00000088330";"hbae1.3";13,1256284425489;2,2990710031554;4,09346348474365;-3,41837666113632;0,914069640190382;9,01544344535352;"5.69225387936356e-08      .";"40 x 40";"3 NA";"hemoglobin subunit zeta [Source:HGNC Symbol;Acc:HGNC:4835]"
"ENSDARG00000012137";53;"ENSDARG00000012137";"cyp46a1.1";5,0625947476428;1,81890713101878;4,08040224408634;-2,71182040428947;0,897916712253544;8,15981188646462;"2.14314199609156e-07      .";"40 x 40";"20 NA";"cytochrome P450, family 46, subfamily A, polypeptide 1, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-050522-464]"
"ENSDARG00000045142";54;"ENSDARG00000045142";"hbae5";4,76931424031735;1,78480074159902;4,05426946720053;-2,20795115174452;0,93342148990816;10,4065668837515;"7.86635334648622e-09      .";"40 x 40";"12 NA";"hemoglobin, alpha embryonic 5 [Source:ZFIN;Acc:ZDB-GENE-101028-1]"
"ENSDARG00000103449";55;"ENSDARG00000103449";"LOC100537032";6,39639527514135;2,1826914086931;4,04894200156903;-4,36110494206991;0,782872139497825;5,03306980142547;"6.12156995427604e-05      .";"40 x 40";"3 NA";""
"ENSDARG00000044326";56;"ENSDARG00000044326";"";5,31870482675668;2,13419113091493;3,98392995128802;-2,96671833233683;0,870220510128709;7,06545064709979;"1.33592078888078e-06      .";"40 x 40";"6 NA";"carboxypeptidase N, polypeptide 2 [Source:ZFIN;Acc:ZDB-GENE-120810-1]"
"ENSDARG00000079305";57;"ENSDARG00000079305";"";13,7564884632598;2,03419784268577;3,96735362119427;-2,99305427582811;0,805397421351007;5,43512481421492;"2.75129831395216e-05      .";"39 x 40";"3 NA";"hemoglobin alpha embryonic-3 [Source:ZFIN;Acc:ZDB-GENE-990706-3]"
