"";"Rank";"ID";"Symbol";"mean expression";"SD";"max delta e";"min delta e";"correlation";"->t.score";"->p.value";"Metagene";"Chromosome";"Description"
"ENSDARG00000012366";1;"ENSDARG00000012366";"fbp2";4,49689436564723;1,78533876184122;4,22585513947134;-1,92535117873157;0,627589986284417;3,22442898962211;"0.00264924708536607      .";"1 x 33";"5 NA";"fructose-1,6-bisphosphatase 2 [Source:ZFIN;Acc:ZDB-GENE-040822-23]"
"ENSDARG00000056873";2;"ENSDARG00000056873";"and3";5,18360516412716;1,63981096591379;4,18992959158216;-2,48056404811997;0,773085151231365;4,87518464152435;"8.42383411704395e-05      .";"1 x 31";"10 NA";"actinodin3 [Source:ZFIN;Acc:ZDB-GENE-040724-185]"
"ENSDARG00000101258";3;"ENSDARG00000101258";"";8,76923993698399;1,42071260798027;2,96512557869949;-1,50643486479635;0,874125010335603;7,19887339123045;"1.05977495068466e-06      .";"1 x 33";"16 NA";"collagen, type XXVII, alpha 1a [Source:ZFIN;Acc:ZDB-GENE-100119-1]"
"ENSDARG00000069027";4;"ENSDARG00000069027";"admb";6,46357482081051;1,38877308255336;2,94478640839238;-2,0322513934301;0,717654639384825;4,12208778817327;"0.000399349946334837      .";"2 x 33";"18 NA";"adrenomedullin b [Source:ZFIN;Acc:ZDB-GENE-120221-6]"
"ENSDARG00000040274";5;"ENSDARG00000040274";"scamp5b";5,15169443812186;1,44898469870004;2,88168430840361;-1,83683477178419;0,833045980291083;6,02342968589009;"8.86024589430434e-06      .";"1 x 33";"18 NA";"secretory carrier membrane protein 5b [Source:ZFIN;Acc:ZDB-GENE-120215-76]"
"ENSDARG00000044132";6;"ENSDARG00000044132";"ogn";7,63465969068387;1,33018664476281;2,8212391033801;-2,08601719968041;0,773739776632834;4,885464441716;"8.24985127299005e-05      .";"2 x 31";"22 NA";"osteoglycin [Source:ZFIN;Acc:ZDB-GENE-050208-650]"
"ENSDARG00000098308";7;"ENSDARG00000098308";"";5,61214469638932;1,3780679006762;2,66198784982792;-2,18057412970608;0,790613919742692;5,16475311336099;"4.70080190382305e-05      .";"1 x 31";"23 NA";""
"ENSDARG00000079752";8;"ENSDARG00000079752";"col6a4a";10,9582781603447;1,1972424750044;2,59575373282253;-1,67412945822872;0,845650049523015;6,33756962252387;"4.93110978305733e-06      .";"2 x 33";"16 NA";"collagen, type VI, alpha 4a [Source:ZFIN;Acc:ZDB-GENE-041111-303]"
"ENSDARG00000100288";9;"ENSDARG00000100288";"";4,71157047441701;1,40845997124993;2,57495586695413;-1,55773608060807;0,87998799015783;7,41048861633431;"7.37625649227525e-07      .";"1 x 33";"22 NA";"interphotoreceptor matrix proteoglycan 2b [Source:ZFIN;Acc:ZDB-GENE-081031-56]"
"ENSDARG00000077275";10;"ENSDARG00000077275";"crispld1a";5,53038248627485;1,33767073997907;2,5067212751762;-2,09300827800799;0,70940919443424;4,02617689307691;"0.000488389555296398      .";"3 x 31";"24 NA";"cysteine-rich secretory protein LCCL domain containing 1a [Source:ZFIN;Acc:ZDB-GENE-090612-1]"
"ENSDARG00000036422";11;"ENSDARG00000036422";"ntn5";7,16433369192044;1,44088119488802;2,50391040686063;-3,18336422529305;0,8347180658156;6,06320765652051;"8.22047477178067e-06      .";"1 x 33";"7 NA";"netrin 5 [Source:ZFIN;Acc:ZDB-GENE-130530-593]"
"ENSDARG00000086391";12;"ENSDARG00000086391";"cald1b";4,51512004439416;1,3240623902117;2,46825358123079;-1,49314335854887;0,895192109772551;8,03438479515297;"2.62253782690181e-07      .";"1 x 33";"25 NA";"caldesmon 1b [Source:ZFIN;Acc:ZDB-GENE-090313-229]"
"ENSDARG00000027088";13;"ENSDARG00000027088";"ptgdsb.1";6,47276996980749;1,49859448917989;2,46469953961923;-2,96330230678057;0,708510983641347;4,01593424880825;"0.00049901538201258      .";"1 x 31";"24 NA";"prostaglandin D2 synthase b, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030131-8436]"
"ENSDARG00000052138";14;"ENSDARG00000052138";"slc1a2a";4,14745014221144;1,38901732465312;2,42521255426074;-1,30951344262205;0,640023133818085;3,33191090805601;"0.00211269764222455      .";"1 x 32";"7 NA";"solute carrier family 1 (glial high affinity glutamate transporter), member 2a [Source:ZFIN;Acc:ZDB-GENE-100422-11]"
