"";"24hpf_neg";"24hpf_pos";"48hpf_neg";"48hpf_pos";"72hpf_neg";"72hpf_pos";"72hpf_neg_gata5";"72hpf_pos_gata5";"72hpf_neg_tbx5";"72hpf_pos_tbx5";"72hpf_neg_hand2";"72hpf_pos_hand2"
"'de novo' protein folding";1,8052127448675;0,240392345084123;-0,835550827992372;-0,0563291221797728;-0,511838300454652;0,392164686191504;-2,15398737676441;0,0213232047643237;-1,48431649463156;0,0357517155989291;0,485729405190434;-0,594265326956258
"1-phosphatidylinositol-3-kinase activity";-2,10131735670742;0,118765995578321;-0,772852898921085;0,160821862085305;-1,35827545038091;0,403725781234731;-1,5348137459648;0,0310756190922494;-1,7864194387977;0,0556999694695065;-1,29968017485176;0,153657687086223
"2 iron, 2 sulfur cluster binding";-2,45790416347889;0,266234817642541;-4,90613596455684;0,426426506296476;-3,43093266269119;0,151897749912763;-4,00071910175113;0,03366371337843;-5,26486034635774;0,225899530150194;-5,81392892842297;0,70124824546078
"3'-5' exonuclease activity";3,29482008454299;0,236047712042213;0,0333393767959792;-0,356855543880466;0,735220815197996;0,420650553195101;-0,907895084062606;0,0234130451365204;-1,28361860469557;0,036285282829907;-1,18763239452833;0,127351446936268
"3',5'-cyclic-nucleotide phosphodiesterase activity";-2,18930252524993;0,114843725863456;0,342232208629806;0,131959517133469;3,30766214816243;0,670726447905504;1,17208630089063;0,0326957820518164;4,3897575913837;0,0651431053970183;2,66386926314065;-0,210914299089246
"3-oxo-arachidoyl-CoA synthase activity";-0,46208006927401;0,0119354234783786;0,226745945625875;0,197506723353245;-0,165997415595081;0,548542713072222;0,082375903013093;0,0218959826827432;-0,338019280740872;0,0321146762861201;-1,71951081971655;-0,131242558734888
"3-oxo-cerotoyl-CoA synthase activity";-0,46208006927401;0,0119354234783786;0,226745945625875;0,197506723353245;-0,165997415595081;0,548542713072222;0,082375903013093;0,0218959826827432;-0,338019280740872;0,0321146762861201;-1,71951081971655;-0,131242558734888
"3-oxo-lignoceronyl-CoA synthase activity";-0,46208006927401;0,0119354234783786;0,226745945625875;0,197506723353245;-0,165997415595081;0,548542713072222;0,082375903013093;0,0218959826827432;-0,338019280740872;0,0321146762861201;-1,71951081971655;-0,131242558734888
"4 iron, 4 sulfur cluster binding";0,686712031789644;0,514541650697844;-3,96213430211593;-0,210227468156325;-1,25321657237487;0,858012164235897;-3,64136670834684;0,032042116076798;-4,14007783244632;0,0719585447344096;-3,99665551045509;0,390345065920891
"5'-nucleotidase activity";-0,519024661707902;0,106990601616511;0,704065887519002;0,466529791956506;0,188159246521991;-2,4517284347888;0,809740167606159;0,0202013406070688;1,4695432589204;0,045727016223278;-0,135594808429611;0,0662000367416432
"acetylcholine-gated cation-selective channel activity";1,09875363248972;0,0987603605366736;0,567104602666077;0,0650489957179048;-0,348239796212571;-0,790043385865146;1,9218484857576;0,0302309523566062;2,61018197664506;0,0331662004160053;1,84858715114304;-0,256711391513173
"acetylcholine-gated channel complex";1,28088130801328;0,114430135423108;0,383282906657058;0,0667174165666988;-0,261383888591533;-0,833953015607298;0,940466798836981;0,0264511130119841;2,19628800264385;0,0276010427103292;1,47129773037201;-0,0161792683146321
