"Rank";"Upregulated";"GSZ";"p.value";"fdr";".";"Downregulated";"GSZ.";"p.value.";"fdr."
1;"extracellular matrix structural constituent";18,2415975;"      .";"      .";"";"lysosome";-8,55555594;"      .";"      ."
2;"proteinaceous extracellular matrix";13,2521143;"      .";"      .";"";"pigmentation";-8,23795087;"      .";"      ."
3;"visual perception";13,14628335;"      .";"      .";"";"melanosome organization";-7,87144322;"      .";"      ."
4;"nucleus";12,33796021;"      .";"      .";"";"troponin complex";-7,46108282;"      .";"      ."
5;"DNA binding";12,11897723;"      .";"      .";"";"oxidation-reduction process";-6,92771497;"      .";"      ."
6;"sequence-specific DNA binding";11,39987658;"      .";"      .";"";"melanosome";-6,76411022;"      .";"      ."
7;"multicellular organism development";11,39253814;"      .";"      .";"";"oxidoreductase activity";-6,47029737;"      .";"      ."
8;"cell adhesion";11,31191104;"      .";"      .";"";"catalytic activity";-6,34302689;"      .";"      ."
9;"calcium ion binding";10,78739281;"      .";"      .";"";"heart contraction";-6,18298943;"      .";"      ."
10;"fin development";10,68610404;"      .";"      .";"";"sarcomere organization";-6,14143591;"      .";"      ."
11;"regulation of transcription, DNA-templated";10,68333415;"      .";"      .";"";"regulation of muscle contraction";-6,01516096;"      .";"      ."
12;"cartilage development";9,60960898;"      .";"      .";"";"proteolysis involved in cellular protein catabolic process";-5,78446085;"      .";"      ."
13;"extracellular region";9,51311195;"      .";"      .";"";"substrate-specific transmembrane transporter activity";-5,71203984;"      .";"      ."
14;"basement membrane";8,62445752;"      .";"      .";"";"lysosomal membrane";-5,68051007;"      .";"      ."
15;"phototransduction";8,55350965;"      .";"      .";"";"cardiac muscle contraction";-5,58503909;"      .";"      ."
16;"collagen trimer";8,21833034;"      .";"      .";"";"skeletal muscle contraction";-5,50630712;"      .";"      ."
17;"axon guidance";8,12847803;"      .";"      .";"";"response to cadmium ion";-5,4861924;"      .";"      ."
18;"dorsal/ventral pattern formation";7,46325175;"      .";"      .";"";"metabolic process";-5,41527667;"      .";"      ."
19;"retinal ganglion cell axon guidance";7,00718406;"      .";"      .";"";"purine nucleotide biosynthetic process";-5,31202948;"      .";"      ."
20;"extracellular matrix";6,97291312;"      .";"      .";"";"mitochondrion";-5,30988406;"      .";"      ."
21;"fin morphogenesis";6,91659574;"      .";"      .";"";"embryonic hemopoiesis";-4,99160112;"      .";"      ."
22;"skeletal system development";6,88231761;"      .";"      .";"";"striated muscle contraction";-4,92324074;"      .";"      ."
23;"collagen binding";6,86839848;"      .";"      .";"";"negative regulation of insulin receptor signaling pathway";-4,88610126;"      .";"      ."
24;"homophilic cell adhesion via plasma membrane adhesion molecules";6,83253649;"      .";"      .";"";"GTP binding";-4,84963376;"      .";"      ."
25;"photoreceptor activity";6,7908169;"      .";"      .";"";"molecular_function";-4,84492633;"      .";"      ."
26;"photoreceptor outer segment";6,75234378;"      .";"      .";"";"cellular_component";-4,70157906;"      .";"      ."
27;"chromosome";6,71517747;"      .";"      .";"";"cysteine-type endopeptidase activity";-4,65985156;"      .";"      ."
28;"nucleosome";6,68027415;"      .";"      .";"";"lipoprotein metabolic process";-4,45984571;"      .";"      ."
29;"fin regeneration";6,46244582;"      .";"      .";"";"cholesterol homeostasis";-4,32492075;"      .";"      ."
30;"camera-type eye development";6,24236761;"      .";"      .";"";"triglyceride catabolic process";-4,30265725;"      .";"      ."
31;"pectoral fin development";6,21293806;"      .";"      .";"";"cardiac muscle cell proliferation";-4,29686059;"      .";"      ."
32;"structural molecule activity";6,18120357;"      .";"      .";"";"flavin adenine dinucleotide binding";-4,1931842;"      .";"      ."
33;"cerebellum development";6,05668223;"      .";"      .";"";"endomembrane system";-4,18912077;"      .";"      ."
34;"extracellular matrix organization";6,02532136;"      .";"      .";"";"cholesterol biosynthetic process";-4,13118333;"      .";"      ."
35;"protein-chromophore linkage";6,01569255;"      .";"      .";"";"vesicle-mediated transport";-4,11900238;"      .";"      ."
36;"central nervous system development";6,00346353;"      .";"      .";"";"transmembrane transporter activity";-4,11364869;"      .";"      ."
37;"serine-type endopeptidase inhibitor activity";5,98765094;"      .";"      .";"";"erythrocyte development";-4,07480135;"      .";"      ."
38;"Wnt signaling pathway";5,91261493;"      .";"      .";"";"endosome";-4,03221915;"      .";"      ."
39;"nucleosomal DNA binding";5,84733002;"      .";"      .";"";"cholesterol metabolic process";-3,99845307;"      .";"      ."
40;"intermediate filament";5,82048079;"      .";"      .";"";"response to lipopolysaccharide";-3,93778625;"      .";"      ."
41;"transcription factor activity, sequence-specific DNA binding";5,81617685;"      .";"      .";"";"translation";-3,91764557;"      .";"      ."
42;"nucleosome assembly";5,80736187;"      .";"      .";"";"response to cytokine";-3,90568873;"      .";"      ."
43;"hyaluronic acid binding";5,80280264;"      .";"      .";"";"high-density lipoprotein particle";-3,89484513;"      .";"      ."
