"Rank";"Upregulated";"GSZ";"p.value";"fdr";".";"Downregulated";"GSZ.";"p.value.";"fdr."
1;"nucleosome";15,83053135;"      .";"      .";"";"oxidation-reduction process";-13,94174077;"      .";"      ."
2;"cell adhesion";14,67264703;"      .";"      .";"";"oxidoreductase activity";-13,26951075;"      .";"      ."
3;"DNA binding";14,34483653;"      .";"      .";"";"metabolic process";-10,66912142;"      .";"      ."
4;"homophilic cell adhesion via plasma membrane adhesion molecules";14,09861131;"      .";"      .";"";"lysosome";-9,54135056;"      .";"      ."
5;"synapse";13,99479563;"      .";"      .";"";"iron-sulfur cluster binding";-7,54551775;"      .";"      ."
6;"ion channel activity";13,55818899;"      .";"      .";"";"mitochondrion";-7,21800388;"      .";"      ."
7;"chromosome";13,48624669;"      .";"      .";"";"catalytic activity";-7,11656452;"      .";"      ."
8;"nervous system development";12,91721752;"      .";"      .";"";"pigmentation";-6,96938461;"      .";"      ."
9;"plasma membrane";12,85657546;"      .";"      .";"";"nucleoside metabolic process";-6,76931265;"      .";"      ."
10;"nucleosome assembly";12,15246867;"      .";"      .";"";"flavin adenine dinucleotide binding";-6,74427855;"      .";"      ."
11;"nucleus";12,08056981;"      .";"      .";"";"hydrolase activity";-6,35756535;"      .";"      ."
12;"ion transport";11,74967259;"      .";"      .";"";"purine nucleotide biosynthetic process";-6,35737405;"      .";"      ."
13;"calcium ion binding";11,59391036;"      .";"      .";"";"lipid transport";-6,29341047;"      .";"      ."
14;"extracellular-glutamate-gated ion channel activity";11,59373406;"      .";"      .";"";"cellular_component";-6,18084466;"      .";"      ."
15;"ionotropic glutamate receptor activity";11,59373406;"      .";"      .";"";"carbohydrate metabolic process";-5,92144727;"      .";"      ."
16;"ionotropic glutamate receptor signaling pathway";11,59373406;"      .";"      .";"";"glutathione transferase activity";-5,8733283;"      .";"      ."
17;"sequence-specific DNA binding";11,41482379;"      .";"      .";"";"2 iron, 2 sulfur cluster binding";-5,81392893;"      .";"      ."
18;"proteinaceous extracellular matrix";11,25576074;"      .";"      .";"";"lipoprotein metabolic process";-5,81210024;"      .";"      ."
19;"regulation of transcription, DNA-templated";10,86141181;"      .";"      .";"";"sarcomere organization";-5,49846545;"      .";"      ."
20;"protein heterodimerization activity";10,82260251;"      .";"      .";"";"endoplasmic reticulum membrane";-5,46931814;"      .";"      ."
21;"extracellular matrix structural constituent";10,74895375;"      .";"      .";"";"heart contraction";-5,45577419;"      .";"      ."
