"Rank";"Upregulated";"GSZ";"p.value";"fdr";".";"Downregulated";"GSZ.";"p.value.";"fdr."
1;"synapse";18,21793079;"      .";"      .";"";"oxidation-reduction process";-15,56368592;"      .";"      ."
2;"homophilic cell adhesion via plasma membrane adhesion molecules";17,86434006;"      .";"      .";"";"oxidoreductase activity";-14,77364737;"      .";"      ."
3;"plasma membrane";17,57686229;"      .";"      .";"";"mitochondrion";-10,01339405;"      .";"      ."
4;"ion channel activity";16,57509355;"      .";"      .";"";"metabolic process";-9,04702496;"      .";"      ."
5;"ion transport";16,44819256;"      .";"      .";"";"translation";-8,80716069;"      .";"      ."
6;"cell adhesion";15,86022617;"      .";"      .";"";"ribosome";-8,2483833;"      .";"      ."
7;"nervous system development";15,74437888;"      .";"      .";"";"structural constituent of ribosome";-8,1901118;"      .";"      ."
8;"extracellular-glutamate-gated ion channel activity";14,06037565;"      .";"      .";"";"endopeptidase inhibitor activity";-7,98020113;"      .";"      ."
9;"ionotropic glutamate receptor activity";14,06037565;"      .";"      .";"";"catalytic activity";-7,78612964;"      .";"      ."
10;"ionotropic glutamate receptor signaling pathway";14,06037565;"      .";"      .";"";"lysosome";-7,53176425;"      .";"      ."
11;"calcium ion binding";12,83953984;"      .";"      .";"";"iron-sulfur cluster binding";-7,33487779;"      .";"      ."
12;"regulation of transcription, DNA-templated";12,25016736;"      .";"      .";"";"cellular_component";-6,85496018;"      .";"      ."
13;"sequence-specific DNA binding";12,14158075;"      .";"      .";"";"pigmentation";-6,74470687;"      .";"      ."
14;"regulation of ion transmembrane transport";12,09719506;"      .";"      .";"";"lipoprotein metabolic process";-6,48944603;"      .";"      ."
15;"voltage-gated ion channel activity";12,09719506;"      .";"      .";"";"carbohydrate metabolic process";-6,31311713;"      .";"      ."
16;"excitatory postsynaptic potential";12,08574035;"      .";"      .";"";"flavin adenine dinucleotide binding";-6,20548124;"      .";"      ."
17;"postsynaptic membrane";11,72955185;"      .";"      .";"";"proteolysis involved in cellular protein catabolic process";-6,15450964;"      .";"      ."
18;"integral component of membrane";11,55908269;"      .";"      .";"";"electron carrier activity";-6,1511545;"      .";"      ."
19;"membrane";11,49750361;"      .";"      .";"";"chylomicron";-5,86736607;"      .";"      ."
20;"ion transmembrane transport";11,25239789;"      .";"      .";"";"molecular_function";-5,84308219;"      .";"      ."
21;"voltage-gated calcium channel activity";10,99430879;"      .";"      .";"";"negative regulation of endopeptidase activity";-5,78272193;"      .";"      ."
22;"extracellular matrix structural constituent";10,76295291;"      .";"      .";"";"intracellular ribonucleoprotein complex";-5,66623146;"      .";"      ."
23;"DNA binding";10,71379554;"      .";"      .";"";"nucleoside metabolic process";-5,65666619;"      .";"      ."
24;"calcium ion transmembrane transport";10,69096511;"      .";"      .";"";"nucleolus";-5,64412532;"      .";"      ."
25;"presynaptic active zone";10,56944003;"      .";"      .";"";"purine nucleotide biosynthetic process";-5,611168;"      .";"      ."
26;"voltage-gated calcium channel complex";10,42514761;"      .";"      .";"";"glutathione transferase activity";-5,56482495;"      .";"      ."
27;"axon guidance";10,28099463;"      .";"      .";"";"triglyceride catabolic process";-5,53617844;"      .";"      ."
28;"potassium ion transport";10,16052115;"      .";"      .";"";"hydrolase activity";-5,53581032;"      .";"      ."
29;"proteinaceous extracellular matrix";10,06618588;"      .";"      .";"";"cytosolic large ribosomal subunit";-5,52674332;"      .";"      ."
30;"calcium ion-regulated exocytosis of neurotransmitter";10,00355977;"      .";"      .";"";"cysteine-type endopeptidase activity";-5,50570822;"      .";"      ."
31;"membrane depolarization during action potential";9,85223632;"      .";"      .";"";"lipid transport";-5,49943817;"      .";"      ."
32;"cell-cell signaling";9,7900237;"      .";"      .";"";"mitochondrial inner membrane";-5,43625998;"      .";"      ."
33;"presynapse";9,78197765;"      .";"      .";"";"biological_process";-5,38904179;"      .";"      ."
34;"calcium ion transport";9,66231125;"      .";"      .";"";"high-density lipoprotein particle";-5,33107093;"      .";"      ."
35;"microtubule binding";9,62260098;"      .";"      .";"";"2 iron, 2 sulfur cluster binding";-5,26486035;"      .";"      ."
36;"neuron projection";9,58578736;"      .";"      .";"";"cholesterol homeostasis";-5,182363;"      .";"      ."
37;"integral component of plasma membrane";9,54558645;"      .";"      .";"";"cysteine-type peptidase activity";-5,14648019;"      .";"      ."
38;"potassium ion transmembrane transport";9,47175777;"      .";"      .";"";"substrate-specific transmembrane transporter activity";-5,03945121;"      .";"      ."
39;"cell junction";9,3763529;"      .";"      .";"";"immune response";-4,97169472;"      .";"      ."
40;"receptor activity";9,37266402;"      .";"      .";"";"ribosome biogenesis";-4,89228964;"      .";"      ."
41;"clathrin binding";9,11224452;"      .";"      .";"";"response to bacterium";-4,88730526;"      .";"      ."
42;"chemical synaptic transmission";9,08086093;"      .";"      .";"";"sarcomere organization";-4,80792801;"      .";"      ."
43;"nucleus";9,04032256;"      .";"      .";"";"monooxygenase activity";-4,80098025;"      .";"      ."
44;"neurotransmitter secretion";9,03361251;"      .";"      .";"";"heart contraction";-4,75452519;"      .";"      ."
45;"potassium channel activity";8,95375301;"      .";"      .";"";"proteolysis";-4,74168617;"      .";"      ."
46;"voltage-gated potassium channel activity";8,94701487;"      .";"      .";"";"iron ion binding";-4,72731437;"      .";"      ."
47;"AMPA glutamate receptor complex";8,85825258;"      .";"      .";"";"cellular oxidant detoxification";-4,68533332;"      .";"      ."
48;"neuron development";8,84886512;"      .";"      .";"";"cardiac muscle tissue development";-4,55577781;"      .";"      ."
49;"synaptic vesicle endocytosis";8,81465851;"      .";"      .";"";"cholesterol binding";-4,52338388;"      .";"      ."
50;"calcium channel activity";8,78436493;"      .";"      .";"";"protein transport";-4,46701732;"      .";"      ."
51;"sodium ion transmembrane transport";8,70481945;"      .";"      .";"";"cysteine-type endopeptidase inhibitor activity";-4,42815488;"      .";"      ."
52;"neuron projection development";8,61946694;"      .";"      .";"";"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen";-4,40558287;"      .";"      ."
53;"syntaxin binding";8,48734495;"      .";"      .";"";"GTP binding";-4,39175964;"      .";"      ."
54;"high voltage-gated calcium channel activity";8,47791955;"      .";"      .";"";"cholesterol efflux";-4,37194723;"      .";"      ."
55;"modulation of synaptic transmission";8,40656553;"      .";"      .";"";"cellular response to xenobiotic stimulus";-4,36546095;"      .";"      ."
56;"multicellular organism development";8,1934055;"      .";"      .";"";"peptidase activity";-4,31506259;"      .";"      ."
57;"tubulin binding";8,1154678;"      .";"      .";"";"translational initiation";-4,30464277;"      .";"      ."
58;"visual perception";7,97329917;"      .";"      .";"";"lipid binding";-4,30030008;"      .";"      ."
59;"GABA-A receptor activity";7,9290683;"      .";"      .";"";"NAD binding";-4,25576394;"      .";"      ."
60;"signal transduction";7,92694334;"      .";"      .";"";"melanosome";-4,22321339;"      .";"      ."
61;"voltage-gated potassium channel complex";7,89055047;"      .";"      .";"";"cholesterol biosynthetic process";-4,21447172;"      .";"      ."
62;"regulation of synaptic transmission, glutamatergic";7,78367111;"      .";"      .";"";"hemoglobin biosynthetic process";-4,19535614;"      .";"      ."
63;"voltage-gated sodium channel activity";7,66909175;"      .";"      .";"";"translation initiation factor activity";-4,17945111;"      .";"      ."
64;"calmodulin binding";7,65320216;"      .";"      .";"";"cytosol";-4,14827795;"      .";"      ."
65;"extracellular ligand-gated ion channel activity";7,62348746;"      .";"      .";"";"iron ion transport";-4,1436857;"      .";"      ."
66;"transcription factor activity, sequence-specific DNA binding";7,57772097;"      .";"      .";"";"4 iron, 4 sulfur cluster binding";-4,14007783;"      .";"      ."
67;"regulation of calcium ion-dependent exocytosis";7,49741291;"      .";"      .";"";"cholesterol transporter activity";-4,1259301;"      .";"      ."
68;"glutamate receptor activity";7,47058719;"      .";"      .";"";"blood microparticle";-4,06860417;"      .";"      ."
69;"GABA-A receptor complex";7,35836961;"      .";"      .";"";"lipid metabolic process";-4,03323078;"      .";"      ."
70;"transport";7,30650799;"      .";"      .";"";"cell redox homeostasis";-4,0206613;"      .";"      ."
71;"microtubule";7,25547954;"      .";"      .";"";"cellular iron ion homeostasis";-4,01949877;"      .";"      ."
72;"sodium channel activity";7,07528603;"      .";"      .";"";"nucleotide biosynthetic process";-3,9568707;"      .";"      ."
73;"voltage-gated sodium channel complex";7,07186342;"      .";"      .";"";"hydrolase activity, acting on glycosyl bonds";-3,95423721;"      .";"      ."
74;"protein homooligomerization";6,99754044;"      .";"      .";"";"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor";-3,9357145;"      .";"      ."
75;"neuronal action potential";6,84569245;"      .";"      .";"";"tRNA processing";-3,88245207;"      .";"      ."
76;"microtubule cytoskeleton organization";6,83896206;"      .";"      .";"";"rRNA processing";-3,83517725;"      .";"      ."
77;"regulation of postsynaptic membrane potential";6,76249151;"      .";"      .";"";"cytoplasmic translation";-3,83315887;"      .";"      ."
78;"symporter activity";6,63880787;"      .";"      .";"";"antioxidant activity";-3,83295669;"      .";"      ."
79;"synapse assembly";6,6042446;"      .";"      .";"";"late endosome membrane";-3,82235877;"      .";"      ."
80;"synapse organization";6,57734799;"      .";"      .";"";"DNA repair";-3,77865929;"      .";"      ."
81;"synaptic vesicle membrane";6,56457048;"      .";"      .";"";"cytosolic small ribosomal subunit";-3,73615248;"      .";"      ."
82;"presynaptic membrane";6,44116062;"      .";"      .";"";"vesicle organization";-3,70136229;"      .";"      ."
83;"transcription, DNA-templated";6,27921666;"      .";"      .";"";"actin filament polymerization";-3,69702182;"      .";"      ."
84;"neurotransmitter transport";6,27858877;"      .";"      .";"";"endoplasmic reticulum membrane";-3,69076329;"      .";"      ."
85;"spectrin binding";6,25294354;"      .";"      .";"";"Arp2/3 complex-mediated actin nucleation";-3,65646888;"      .";"      ."
86;"sodium ion transport";6,20733099;"      .";"      .";"";"regulation of actin filament polymerization";-3,64917923;"      .";"      ."
87;"intracellular signal transduction";6,19660961;"      .";"      .";"";"proteasome complex";-3,63546253;"      .";"      ."
88;"axonogenesis";6,19525393;"      .";"      .";"";"actin cytoskeleton";-3,61278814;"      .";"      ."
89;"ephrin receptor signaling pathway";6,1871645;"      .";"      .";"";"Arp2/3 protein complex";-3,608448;"      .";"      ."
90;"vesicle fusion";6,09798262;"      .";"      .";"";"regulation of apoptotic process";-3,60515755;"      .";"      ."
91;"brain development";6,0688024;"      .";"      .";"";"heme biosynthetic process";-3,60247635;"      .";"      ."
92;"synaptic vesicle";5,90000584;"      .";"      .";"";"cytoplasm";-3,57680845;"      .";"      ."
93;"ephrin receptor activity";5,79069983;"      .";"      .";"";"ligase activity";-3,57624334;"      .";"      ."
94;"central nervous system development";5,78527281;"      .";"      .";"";"biosynthetic process";-3,54348613;"      .";"      ."
