"Rank";"Upregulated";"GSZ";"p.value";"fdr";".";"Downregulated";"GSZ.";"p.value.";"fdr."
1;"membrane";0,57177208;"      .";"      .";"";"integral component of peroxisomal membrane";-0,00394135;"      .";"      ."
2;"integral component of membrane";0,54388284;"      .";"      .";"";"spermatid development";-0,00385656;"      .";"      ."
3;"nucleus";0,32592985;"      .";"      .";"";"ADP transport";-0,00019238;"      .";"      ."
4;"cytoplasm";0,29420784;"      .";"      .";"";"ATP transport";-0,00019238;"      .";"      ."
5;"nucleic acid binding";0,2819835;"      .";"      .";"";"";0;"1      .";"1      ."
6;"metal ion binding";0,26845715;"      .";"      .";"";"";0;"1      .";"1      ."
7;"ATP binding";0,25746181;"      .";"      .";"";"";0;"1      .";"1      ."
8;"cellular_component";0,25027834;"      .";"      .";"";"";0;"1      .";"1      ."
9;"molecular_function";0,24139912;"      .";"      .";"";"";0;"1      .";"1      ."
10;"DNA binding";0,2398826;"      .";"      .";"";"";0;"1      .";"1      ."
11;"nucleotide binding";0,23978212;"      .";"      .";"";"";0;"1      .";"1      ."
12;"biological_process";0,237626;"      .";"      .";"";"";0;"1      .";"1      ."
13;"regulation of transcription, DNA-templated";0,21773937;"      .";"      .";"";"";0;"1      .";"1      ."
14;"signal transduction";0,21633232;"      .";"      .";"";"";0;"1      .";"1      ."
15;"intracellular";0,21153209;"      .";"      .";"";"";0;"1      .";"1      ."
16;"plasma membrane";0,20737961;"      .";"      .";"";"";0;"1      .";"1      ."
17;"transferase activity";0,20582613;"      .";"      .";"";"";0;"1      .";"1      ."
18;"transport";0,20420599;"      .";"      .";"";"";0;"1      .";"1      ."
19;"hydrolase activity";0,19309288;"      .";"      .";"";"";0;"1      .";"1      ."
20;"protein phosphorylation";0,18036397;"      .";"      .";"";"";0;"1      .";"1      ."
21;"protein kinase activity";0,17543891;"      .";"      .";"";"";0;"1      .";"1      ."
22;"oxidation-reduction process";0,17511842;"      .";"      .";"";"";0;"1      .";"1      ."
23;"integral component of plasma membrane";0,17498344;"      .";"      .";"";"";0;"1      .";"1      ."
24;"zinc ion binding";0,17283039;"      .";"      .";"";"";0;"1      .";"1      ."
25;"G-protein coupled receptor signaling pathway";0,16960834;"      .";"      .";"";"";0;"1      .";"1      ."
26;"calcium ion binding";0,16532714;"      .";"      .";"";"";0;"1      .";"1      ."
27;"G-protein coupled receptor activity";0,15735102;"      .";"      .";"";"";0;"1      .";"1      ."
28;"transcription, DNA-templated";0,15562017;"      .";"      .";"";"";0;"1      .";"1      ."
29;"extracellular region";0,15460083;"      .";"      .";"";"";0;"1      .";"1      ."
30;"transcription factor activity, sequence-specific DNA binding";0,15425375;"      .";"      .";"";"";0;"1      .";"1      ."
31;"oxidoreductase activity";0,15190931;"      .";"      .";"";"";0;"1      .";"1      ."
32;"transmembrane transport";0,1514831;"      .";"      .";"";"";0;"1      .";"1      ."
