"Rank";"Upregulated";"GSZ";"p.value";"fdr";".";"Downregulated";"GSZ.";"p.value.";"fdr."
1;"nucleic acid binding";26,13133949;"      .";"      .";"";"membrane";-14,44410841;"      .";"      ."
2;"nucleus";22,88129643;"      .";"      .";"";"integral component of membrane";-13,26097572;"      .";"      ."
3;"DNA binding";22,19912197;"      .";"      .";"";"transport";-9,84712754;"      .";"      ."
4;"chromosome";21,99520653;"      .";"      .";"";"oxidation-reduction process";-9,6026723;"      .";"      ."
5;"nucleosome";21,37477209;"      .";"      .";"";"oxidoreductase activity";-9,20325705;"      .";"      ."
6;"nucleosome assembly";16,80012864;"      .";"      .";"";"transmembrane transport";-8,43751928;"      .";"      ."
7;"protein heterodimerization activity";16,0279711;"      .";"      .";"";"ion transport";-8,2545261;"      .";"      ."
8;"multicellular organism development";12,48793524;"      .";"      .";"";"gluconeogenesis";-8,02224848;"      .";"      ."
9;"regulation of transcription, DNA-templated";12,04956416;"      .";"      .";"";"lipid transport";-7,70698174;"      .";"      ."
10;"nucleosomal DNA binding";11,88446681;"      .";"      .";"";"response to bacterium";-7,68986432;"      .";"      ."
11;"DNA replication";10,69593229;"      .";"      .";"";"troponin complex";-7,52853157;"      .";"      ."
12;"RNA binding";10,25663088;"      .";"      .";"";"metabolic process";-7,17640469;"      .";"      ."
13;"sequence-specific DNA binding";9,67120233;"      .";"      .";"";"lipoprotein metabolic process";-7,13839736;"      .";"      ."
14;"DNA-templated transcription, initiation";9,66540301;"      .";"      .";"";"chylomicron";-6,87301495;"      .";"      ."
15;"DNA repair";9,17897615;"      .";"      .";"";"visual perception";-6,87214921;"      .";"      ."
16;"membrane disruption in other organism";8,72592761;"      .";"      .";"";"glycolytic process";-6,7864703;"      .";"      ."
17;"DNA replication initiation";8,36756414;"      .";"      .";"";"transporter activity";-6,7747704;"      .";"      ."
18;"transcription, DNA-templated";8,24431112;"      .";"      .";"";"heart contraction";-6,74826253;"      .";"      ."
19;"DNA duplex unwinding";7,94100279;"      .";"      .";"";"negative regulation of endopeptidase activity";-6,66620424;"      .";"      ."
20;"defense response to Gram-positive bacterium";7,90751606;"      .";"      .";"";"response to cadmium ion";-6,64747896;"      .";"      ."
21;"nucleolus";7,90398108;"      .";"      .";"";"actin binding";-6,63369229;"      .";"      ."
22;"cellular response to DNA damage stimulus";7,42778521;"      .";"      .";"";"plasma membrane";-6,60765057;"      .";"      ."
23;"hindbrain development";7,20952815;"      .";"      .";"";"catalytic activity";-6,60632942;"      .";"      ."
24;"chromatin silencing";7,20512712;"      .";"      .";"";"signal transduction";-6,51971096;"      .";"      ."
25;"chromatin binding";7,16307763;"      .";"      .";"";"negative regulation of insulin receptor signaling pathway";-6,43107452;"      .";"      ."
26;"helicase activity";6,91468705;"      .";"      .";"";"photoreceptor activity";-6,37893463;"      .";"      ."
27;"cell cycle";6,69171177;"      .";"      .";"";"cytokine-mediated signaling pathway";-6,31009448;"      .";"      ."
28;"kinetochore";6,40816841;"      .";"      .";"";"cholesterol homeostasis";-6,29769502;"      .";"      ."
29;"ephrin receptor signaling pathway";6,38958279;"      .";"      .";"";"triglyceride catabolic process";-6,27595883;"      .";"      ."
30;"DNA biosynthetic process";5,98354252;"      .";"      .";"";"cardiac muscle contraction";-6,12750535;"      .";"      ."
31;"mitotic cell cycle";5,97050157;"      .";"      .";"";"skeletal muscle contraction";-6,03793451;"      .";"      ."
32;"mRNA splicing, via spliceosome";5,93415645;"      .";"      .";"";"high-density lipoprotein particle";-5,99334253;"      .";"      ."
33;"anterior/posterior pattern specification";5,92438933;"      .";"      .";"";"protein-chromophore linkage";-5,9535827;"      .";"      ."
34;"chromosome, centromeric region";5,87217772;"      .";"      .";"";"ion channel activity";-5,93801202;"      .";"      ."
35;"methyltransferase activity";5,72563271;"      .";"      .";"";"cellular calcium ion homeostasis";-5,91015351;"      .";"      ."
36;"Notch signaling pathway";5,64203046;"      .";"      .";"";"phototransduction";-5,72398548;"      .";"      ."
37;"nuclear chromatin";5,59936322;"      .";"      .";"";"platelet activation";-5,65072025;"      .";"      ."
38;"nucleic acid phosphodiester bond hydrolysis";5,53654335;"      .";"      .";"";"cholesterol biosynthetic process";-5,6163613;"      .";"      ."
39;"midbrain development";5,53332846;"      .";"      .";"";"integral component of plasma membrane";-5,55409339;"      .";"      ."
40;"DNA recombination";5,46771417;"      .";"      .";"";"endopeptidase inhibitor activity";-5,53725892;"      .";"      ."
41;"cell division";5,42385981;"      .";"      .";"";"circadian regulation of gene expression";-5,46245809;"      .";"      ."
42;"Wnt signaling pathway";5,37987132;"      .";"      .";"";"extracellular region";-5,45755723;"      .";"      ."
43;"mitotic sister chromatid segregation";5,30882295;"      .";"      .";"";"intracellular signal transduction";-5,29002242;"      .";"      ."
44;"single-stranded DNA binding";5,28554862;"      .";"      .";"";"sarcomere organization";-5,19041532;"      .";"      ."
45;"adenohypophysis development";5,21214895;"      .";"      .";"";"regulation of muscle contraction";-5,18391956;"      .";"      ."
46;"ephrin receptor activity";5,2003435;"      .";"      .";"";"blood microparticle";-5,16769956;"      .";"      ."
47;"smoothened signaling pathway";5,11621626;"      .";"      .";"";"calcium ion transport";-5,15132595;"      .";"      ."
48;"DNA helicase activity";5,07412516;"      .";"      .";"";"potassium ion binding";-5,00120578;"      .";"      ."
49;"RNA processing";5,07043682;"      .";"      .";"";"calcium ion binding";-4,83008627;"      .";"      ."
50;"DNA-directed DNA polymerase activity";5,02547512;"      .";"      .";"";"lipid metabolic process";-4,78202396;"      .";"      ."
51;"hemoglobin complex";4,99650881;"      .";"      .";"";"myosin complex";-4,74698244;"      .";"      ."
52;"positive regulation of sequence-specific DNA binding transcription factor activity";4,99067829;"      .";"      .";"";"cytokine receptor activity";-4,72086133;"      .";"      ."
53;"otic placode formation";4,96860593;"      .";"      .";"";"lipid binding";-4,6667512;"      .";"      ."
54;"rRNA processing";4,91764797;"      .";"      .";"";"cholesterol efflux";-4,65570031;"      .";"      ."
55;"regulation of transcription from RNA polymerase II promoter";4,91082136;"      .";"      .";"";"intracellular";-4,58752176;"      .";"      ."
56;"floor plate formation";4,86887369;"      .";"      .";"";"regulation of cell growth";-4,56914428;"      .";"      ."
57;"axon guidance";4,85532238;"      .";"      .";"";"glutathione transferase activity";-4,55477277;"      .";"      ."
58;"methylation";4,83170691;"      .";"      .";"";"GTP binding";-4,55414737;"      .";"      ."
59;"vasculogenesis";4,81703649;"      .";"      .";"";"photoreceptor outer segment";-4,50724139;"      .";"      ."
