"Rank";"Upregulated";"GSZ";"p.value";"fdr";".";"Downregulated";"GSZ.";"p.value.";"fdr."
1;"extracellular matrix structural constituent";16,17702811;"      .";"      .";"";"oxidation-reduction process";-10,27698916;"      .";"      ."
2;"cell adhesion";15,37457075;"      .";"      .";"";"oxidoreductase activity";-9,9903744;"      .";"      ."
3;"sequence-specific DNA binding";14,80925784;"      .";"      .";"";"mitochondrion";-9,00167763;"      .";"      ."
4;"homophilic cell adhesion via plasma membrane adhesion molecules";13,65908233;"      .";"      .";"";"melanosome";-8,1177722;"      .";"      ."
5;"regulation of transcription, DNA-templated";13,37397291;"      .";"      .";"";"cellular_component";-7,97912196;"      .";"      ."
6;"calcium ion binding";13,19704723;"      .";"      .";"";"melanosome organization";-7,79295385;"      .";"      ."
7;"proteinaceous extracellular matrix";12,60015566;"      .";"      .";"";"catalytic activity";-7,67933227;"      .";"      ."
8;"multicellular organism development";12,13154644;"      .";"      .";"";"pigmentation";-7,63838909;"      .";"      ."
9;"plasma membrane";11,74739431;"      .";"      .";"";"sarcomere organization";-6,7014955;"      .";"      ."
10;"nervous system development";10,79649024;"      .";"      .";"";"lysosome";-6,67557347;"      .";"      ."
11;"ion channel activity";10,30271116;"      .";"      .";"";"GTP binding";-6,65476937;"      .";"      ."
12;"DNA binding";10,24878861;"      .";"      .";"";"troponin complex";-6,27614529;"      .";"      ."
13;"integral component of membrane";10,23706803;"      .";"      .";"";"proteolysis involved in cellular protein catabolic process";-6,15276869;"      .";"      ."
14;"transcription factor activity, sequence-specific DNA binding";9,96916394;"      .";"      .";"";"electron carrier activity";-5,97160107;"      .";"      ."
15;"membrane";9,45701837;"      .";"      .";"";"flavin adenine dinucleotide binding";-5,95754838;"      .";"      ."
16;"ion transport";9,39066011;"      .";"      .";"";"substrate-specific transmembrane transporter activity";-5,93918239;"      .";"      ."
17;"synapse";9,23035583;"      .";"      .";"";"iron-sulfur cluster binding";-5,83808299;"      .";"      ."
18;"axon guidance";8,76186835;"      .";"      .";"";"metabolic process";-5,82115689;"      .";"      ."
19;"nucleus";8,09178306;"      .";"      .";"";"purine nucleotide biosynthetic process";-5,77355757;"      .";"      ."
20;"ion transmembrane transport";7,75163693;"      .";"      .";"";"heart contraction";-5,75503095;"      .";"      ."
21;"cell-cell signaling";7,59759114;"      .";"      .";"";"nucleoside metabolic process";-5,69063151;"      .";"      ."
22;"extracellular-glutamate-gated ion channel activity";7,58094306;"      .";"      .";"";"Z disc";-5,68674679;"      .";"      ."
23;"ionotropic glutamate receptor activity";7,58094306;"      .";"      .";"";"nucleolus";-5,68441764;"      .";"      ."
24;"ionotropic glutamate receptor signaling pathway";7,58094306;"      .";"      .";"";"cysteine-type endopeptidase activity";-5,68314092;"      .";"      ."
25;"hyaluronic acid binding";7,48819102;"      .";"      .";"";"GTPase activity";-5,66837196;"      .";"      ."
26;"integral component of plasma membrane";7,02406999;"      .";"      .";"";"hydrolase activity";-5,46050849;"      .";"      ."
27;"transcription, DNA-templated";6,98708175;"      .";"      .";"";"striated muscle contraction";-5,394259;"      .";"      ."
28;"collagen trimer";6,94663926;"      .";"      .";"";"molecular_function";-5,37650755;"      .";"      ."
29;"heparin binding";6,89023037;"      .";"      .";"";"mitochondrial inner membrane";-5,33551057;"      .";"      ."
30;"regulation of ion transmembrane transport";6,85882067;"      .";"      .";"";"tRNA processing";-5,29747064;"      .";"      ."
31;"voltage-gated ion channel activity";6,85882067;"      .";"      .";"";"lipoprotein metabolic process";-5,26985168;"      .";"      ."
32;"excitatory postsynaptic potential";6,77484902;"      .";"      .";"";"melanosome transport";-5,13442065;"      .";"      ."
33;"neuron development";6,71278732;"      .";"      .";"";"lysosomal membrane";-4,98078047;"      .";"      ."
34;"transmembrane receptor protein tyrosine kinase activity";6,71040473;"      .";"      .";"";"cytoplasm";-4,95318547;"      .";"      ."
35;"potassium ion transport";6,70767199;"      .";"      .";"";"regulation of muscle contraction";-4,87313733;"      .";"      ."
36;"cartilage development";6,54069838;"      .";"      .";"";"cytosol";-4,84859599;"      .";"      ."
37;"postsynaptic membrane";6,41122217;"      .";"      .";"";"late endosome membrane";-4,82940987;"      .";"      ."
38;"presynaptic active zone";6,34786519;"      .";"      .";"";"M band";-4,81961444;"      .";"      ."
39;"extracellular region";6,13002715;"      .";"      .";"";"DNA replication";-4,81072462;"      .";"      ."
40;"fin development";6,01370456;"      .";"      .";"";"cardiac muscle tissue development";-4,75223624;"      .";"      ."
41;"hemoglobin complex";6,00740301;"      .";"      .";"";"cysteine-type peptidase activity";-4,72701099;"      .";"      ."
42;"skeletal system development";6,00452012;"      .";"      .";"";"biological_process";-4,64473159;"      .";"      ."
43;"negative regulation of angiogenesis";5,93805432;"      .";"      .";"";"peroxisome";-4,60594897;"      .";"      ."
44;"receptor activity";5,87022921;"      .";"      .";"";"carbohydrate metabolic process";-4,55702751;"      .";"      ."
45;"ephrin receptor signaling pathway";5,83535039;"      .";"      .";"";"triglyceride catabolic process";-4,54887914;"      .";"      ."
46;"Wnt signaling pathway";5,7821577;"      .";"      .";"";"chylomicron";-4,45478649;"      .";"      ."
47;"signal transduction";5,774425;"      .";"      .";"";"skeletal muscle contraction";-4,42226843;"      .";"      ."
48;"neurotransmitter secretion";5,74214552;"      .";"      .";"";"proteasome complex";-4,36102766;"      .";"      ."
49;"cell junction";5,66602397;"      .";"      .";"";"cholesterol homeostasis";-4,35330014;"      .";"      ."
50;"neuron projection";5,66048992;"      .";"      .";"";"cardiac muscle contraction";-4,32763306;"      .";"      ."
51;"voltage-gated sodium channel complex";5,64899279;"      .";"      .";"";"lipid transport";-4,28449758;"      .";"      ."
52;"brain development";5,6167869;"      .";"      .";"";"innate immune response";-4,23190236;"      .";"      ."
53;"retinal ganglion cell axon guidance";5,60044219;"      .";"      .";"";"mitochondrial matrix";-4,23176282;"      .";"      ."
54;"presynapse";5,58095738;"      .";"      .";"";"high-density lipoprotein particle";-4,22022714;"      .";"      ."
55;"oxygen binding";5,55312576;"      .";"      .";"";"vesicle organization";-4,08749933;"      .";"      ."
56;"oxygen transport";5,55312576;"      .";"      .";"";"endopeptidase inhibitor activity";-4,0274196;"      .";"      ."
57;"oxygen transporter activity";5,55312576;"      .";"      .";"";"response to bacterium";-4,01732187;"      .";"      ."
58;"protein tyrosine kinase activity";5,53316172;"      .";"      .";"";"DNA repair";-4,00844292;"      .";"      ."
59;"ephrin receptor activity";5,53096247;"      .";"      .";"";"2 iron, 2 sulfur cluster binding";-4,0007191;"      .";"      ."
60;"membrane depolarization during action potential";5,51500141;"      .";"      .";"";"endopeptidase activity";-3,99640076;"      .";"      ."
61;"central nervous system development";5,51309994;"      .";"      .";"";"transmembrane transporter activity";-3,98693138;"      .";"      ."
62;"voltage-gated potassium channel complex";5,4838348;"      .";"      .";"";"translation";-3,92458166;"      .";"      ."
63;"potassium ion transmembrane transport";5,47364553;"      .";"      .";"";"endomembrane system";-3,92143458;"      .";"      ."
64;"peptidyl-tyrosine phosphorylation";5,46632747;"      .";"      .";"";"intracellular protein transport";-3,90146246;"      .";"      ."
65;"cell differentiation";5,46567182;"      .";"      .";"";"tricarboxylic acid cycle";-3,87770565;"      .";"      ."
66;"extracellular matrix";5,4188303;"      .";"      .";"";"striated muscle myosin thick filament assembly";-3,83119376;"      .";"      ."
67;"regulation of transcription from RNA polymerase II promoter";5,40630637;"      .";"      .";"";"ubiquitin-dependent protein catabolic process";-3,78009314;"      .";"      ."
68;"canonical Wnt signaling pathway";5,39489498;"      .";"      .";"";"heme biosynthetic process";-3,72153417;"      .";"      ."
69;"calcium ion-regulated exocytosis of neurotransmitter";5,30641243;"      .";"      .";"";"retrograde transport, endosome to Golgi";-3,7174753;"      .";"      ."
70;"potassium channel activity";5,30062105;"      .";"      .";"";"ribosome biogenesis";-3,70428218;"      .";"      ."
71;"protein binding";5,2853486;"      .";"      .";"";"ribosome binding";-3,65799548;"      .";"      ."
72;"calcium ion transmembrane transport";5,25284791;"      .";"      .";"";"4 iron, 4 sulfur cluster binding";-3,64136671;"      .";"      ."
73;"voltage-gated potassium channel activity";5,22310895;"      .";"      .";"";"regulation of actin filament polymerization";-3,57454607;"      .";"      ."
74;"visual perception";5,21068658;"      .";"      .";"";"developmental pigmentation";-3,55115892;"      .";"      ."
75;"RNA polymerase II transcription factor activity, sequence-specific DNA binding";5,15161229;"      .";"      .";"";"proton transport";-3,53345367;"      .";"      ."
76;"collagen binding";5,15017994;"      .";"      .";"";"endosome";-3,52059554;"      .";"      ."
77;"synaptic vesicle endocytosis";5,12152826;"      .";"      .";"";"glucose transmembrane transport";-3,51940882;"      .";"      ."
78;"fin morphogenesis";5,09255327;"      .";"      .";"";"protein transport";-3,5158243;"      .";"      ."
79;"sodium ion transport";5,02522128;"      .";"      .";"";"cholesterol efflux";-3,50688419;"      .";"      ."
80;"neuron projection development";5,00283673;"      .";"      .";"";"translational initiation";-3,48671297;"      .";"      ."
81;"transcription from RNA polymerase II promoter";5,00257046;"      .";"      .";"";"Arp2/3 protein complex";-3,48628977;"      .";"      ."
82;"clathrin binding";4,98159733;"      .";"      .";"";"DNA-dependent DNA replication";-3,45435868;"      .";"      ."
83;"voltage-gated calcium channel activity";4,9239966;"      .";"      .";"";"Arp2/3 complex-mediated actin nucleation";-3,41750505;"      .";"      ."
84;"cell surface receptor signaling pathway";4,91354379;"      .";"      .";"";"actin cytoskeleton";-3,40486181;"      .";"      ."
85;"embryonic retina morphogenesis in camera-type eye";4,89818311;"      .";"      .";"";"translation initiation factor activity";-3,39214978;"      .";"      ."
86;"positive regulation of transcription from RNA polymerase II promoter";4,87043952;"      .";"      .";"";"NADP binding";-3,38616924;"      .";"      ."
87;"hindbrain development";4,86895913;"      .";"      .";"";"extrinsic component of membrane";-3,37494483;"      .";"      ."
88;"microtubule binding";4,86625155;"      .";"      .";"";"early endosome";-3,34327575;"      .";"      ."
89;"voltage-gated calcium channel complex";4,86531385;"      .";"      .";"";"ligase activity";-3,27421951;"      .";"      ."
90;"high voltage-gated calcium channel activity";4,75458489;"      .";"      .";"";"mitochondrial transport";-3,26709174;"      .";"      ."
91;"tubulin binding";4,72449535;"      .";"      .";"";"cholesterol binding";-3,26278933;"      .";"      ."
92;"voltage-gated sodium channel activity";4,6871374;"      .";"      .";"";"cellular response to oxidative stress";-3,24670414;"      .";"      ."
93;"chemical synaptic transmission";4,67464706;"      .";"      .";"";"cholesterol transporter activity";-3,23879797;"      .";"      ."
94;"insulin-like growth factor binding";4,6500412;"      .";"      .";"";"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides";-3,22418682;"      .";"      ."
95;"anatomical structure morphogenesis";4,62842315;"      .";"      .";"";"protein catabolic process";-3,21206727;"      .";"      ."
96;"GABA-A receptor complex";4,61528857;"      .";"      .";"";"blood coagulation";-3,19415756;"      .";"      ."
97;"Wnt-protein binding";4,59126297;"      .";"      .";"";"rRNA processing";-3,17935984;"      .";"      ."
