"Rank";"Upregulated";"GSZ";"p.value";"fdr";".";"Downregulated";"GSZ.";"p.value.";"fdr."
1;"response to xenobiotic stimulus";7,45070684;"      .";"      .";"";"cell proliferation";-10,7255278;"      .";"      ."
2;"glutathione transferase activity";5,64361729;"      .";"      .";"";"cysteine-type peptidase activity";-4,9187775;"      .";"      ."
3;"cellular response to xenobiotic stimulus";5,61659562;"      .";"      .";"";"amino acid transport";-4,43234185;"      .";"      ."
4;"neutrophil chemotaxis";5,1732539;"      .";"      .";"";"protein binding";-4,39742863;"      .";"      ."
5;"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen";5,00565413;"      .";"      .";"";"midbrain development";-4,14704052;"      .";"      ."
6;"actin filament organization";4,64383699;"      .";"      .";"";"swim bladder development";-3,64183377;"      .";"      ."
7;"oxidation-reduction process";4,38892581;"      .";"      .";"";"nucleosome assembly";-3,12212728;"      .";"      ."
8;"oxidoreductase activity";4,31563321;"      .";"      .";"";"cell communication";-3,02146058;"      .";"      ."
9;"neural crest cell development";3,92838179;"      .";"      .";"";"centriole";-3,00626145;"      .";"      ."
10;"iron ion binding";3,55035073;"      .";"      .";"";"nucleosome";-2,95007729;"      .";"      ."
11;"endoplasmic reticulum";3,50021487;"      .";"      .";"";"peptidase activity";-2,9258612;"      .";"      ."
12;"actin binding";3,4252576;"      .";"      .";"";"chromosome";-2,86442477;"      .";"      ."
13;"response to copper ion";3,23378957;"      .";"      .";"";"nucleus";-2,8128676;"      .";"      ."
14;"intracellular membrane-bounded organelle";3,20057384;"      .";"      .";"";"somite specification";-2,68326837;"      .";"      ."
15;"positive regulation of NF-kappaB transcription factor activity";3,19763808;"      .";"      .";"";"amino acid transmembrane transporter activity";-2,66300289;"      .";"      ."
16;"purine nucleotide biosynthetic process";3,0523706;"      .";"      .";"";"DNA binding";-2,63234684;"      .";"      ."
17;"calcium ion transport";3,03472564;"      .";"      .";"";"cell fate commitment";-2,60241682;"      .";"      ."
18;"nucleoside metabolic process";3,02553723;"      .";"      .";"";"amino acid transmembrane transport";-2,55029025;"      .";"      ."
19;"metabolic process";2,94403411;"      .";"      .";"";"frizzled binding";-2,50229823;"      .";"      ."
20;"defense response to bacterium";2,94323626;"      .";"      .";"";"G-protein coupled acetylcholine receptor activity";-2,38273425;"      .";"      ."
21;"mitochondrion";2,76044546;"      .";"      .";"";"Notch signaling pathway";-2,27321998;"      .";"      ."
22;"metal ion transport";2,70697784;"      .";"      .";"";"cell projection organization";-2,27176943;"      .";"      ."
23;"monooxygenase activity";2,66807187;"      .";"      .";"";"G-protein coupled receptor signaling pathway";-2,053789;"      .";"      ."
24;"endoplasmic reticulum membrane";2,62923266;"      .";"      .";"";"vesicle docking";-2,03503673;"      .";"      ."
25;"nucleotide biosynthetic process";2,57032352;"      .";"      .";"";"proteinaceous extracellular matrix";-2,02699644;"      .";"      ."
26;"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen";2,56583836;"      .";"      .";"";"multicellular organism development";-2,01206162;"      .";"      ."
27;"lyase activity";2,36450559;"      .";"      .";"";"G-protein coupled receptor activity";-1,97460393;"      .";"      ."
28;"catalytic activity";2,25694912;"      .";"      .";"";"signal transducer activity";-1,93938596;"      .";"      ."
29;"ATP hydrolysis coupled cation transmembrane transport";2,22136357;"      .";"      .";"";"blood circulation";-1,92168825;"      .";"      ."
30;"metal ion binding";2,17453114;"      .";"      .";"";"nervous system development";-1,92036637;"      .";"      ."
31;"endomembrane system";2,14538517;"      .";"      .";"";"neuropeptide receptor activity";-1,87967336;"      .";"      ."
32;"transmembrane transport";2,14056438;"      .";"      .";"";"cilium assembly";-1,74417049;"      .";"      ."
33;"NADP binding";2,06972247;"      .";"      .";"";"proteolysis";-1,71713047;"      .";"      ."
34;"heme binding";2,01385955;"      .";"      .";"";"B cell receptor signaling pathway";-1,71100852;"      .";"      ."
35;"cellular_component";1,88835318;"      .";"      .";"";"neuron differentiation";-1,69662556;"      .";"      ."
36;"lysosome";1,86445932;"      .";"      .";"";"protein autophosphorylation";-1,66585225;"      .";"      ."
37;"intracellular";1,84989975;"      .";"      .";"";"neuropeptide signaling pathway";-1,65828399;"      .";"      ."
38;"response to bacterium";1,77218552;"      .";"      .";"";"protein heterodimerization activity";-1,6539551;"      .";"      ."
39;"endosome organization";1,68872512;"      .";"      .";"";"synaptic transmission, cholinergic";-1,62837782;"      .";"      ."
40;"transferase activity";1,67900889;"      .";"      .";"";"Wnt signaling pathway";-1,62759144;"      .";"      ."
41;"peroxisome";1,67292571;"      .";"      .";"";"dioxygenase activity";-1,6268695;"      .";"      ."
42;"cellular amino acid metabolic process";1,64483185;"      .";"      .";"";"vesicle fusion";-1,54415877;"      .";"      ."
43;"ATP-dependent microtubule motor activity, plus-end-directed";1,60664349;"      .";"      .";"";"cAMP biosynthetic process";-1,53260037;"      .";"      ."
44;"cytoplasm";1,60595981;"      .";"      .";"";"neuropeptide Y receptor activity";-1,51582347;"      .";"      ."
45;"GTP biosynthetic process";1,60127463;"      .";"      .";"";"carboxy-lyase activity";-1,47667376;"      .";"      ."
46;"actin filament polymerization";1,56917375;"      .";"      .";"";"transmembrane signaling receptor activity";-1,46665254;"      .";"      ."
47;"protein polyubiquitination";1,51542818;"      .";"      .";"";"negative regulation of apoptotic process";-1,46594801;"      .";"      ."
48;"apoptotic process";1,51408224;"      .";"      .";"";"detection of chemical stimulus involved in sensory perception of smell";-1,46301019;"      .";"      ."
49;"iron-sulfur cluster binding";1,50036624;"      .";"      .";"";"olfactory receptor activity";-1,46301019;"      .";"      ."
50;"cation transport";1,49402792;"      .";"      .";"";"regulation of mitotic cell cycle";-1,44345253;"      .";"      ."
51;"GTPase activity";1,49220891;"      .";"      .";"";"plasma membrane";-1,43205612;"      .";"      ."
52;"copper ion binding";1,47961772;"      .";"      .";"";"external side of plasma membrane";-1,39881438;"      .";"      ."
53;"trans-Golgi network";1,46987042;"      .";"      .";"";"SNAP receptor activity";-1,37414309;"      .";"      ."
54;"extrinsic component of cytoplasmic side of plasma membrane";1,46218782;"      .";"      .";"";"cell junction";-1,37229724;"      .";"      ."
55;"positive regulation of proteasomal ubiquitin-dependent protein catabolic process";1,45894923;"      .";"      .";"";"feeding behavior";-1,3622915;"      .";"      ."
56;"nucleotide binding";1,44131053;"      .";"      .";"";"sodium-independent organic anion transmembrane transporter activity";-1,35473179;"      .";"      ."
57;"regulation of blood vessel diameter";1,43826485;"      .";"      .";"";"sodium-independent organic anion transport";-1,35473179;"      .";"      ."
58;"regulation of apoptotic process";1,4375264;"      .";"      .";"";"SNARE binding";-1,35467808;"      .";"      ."
59;"cytosol";1,43570955;"      .";"      .";"";"blood microparticle";-1,34874471;"      .";"      ."
60;"cysteine-type endopeptidase activity";1,41225221;"      .";"      .";"";"microtubule";-1,31724485;"      .";"      ."
61;"actin cytoskeleton";1,39417764;"      .";"      .";"";"cell differentiation";-1,31235563;"      .";"      ."
62;"integral component of Golgi membrane";1,36911425;"      .";"      .";"";"response to stimulus";-1,31012059;"      .";"      ."
63;"flavin adenine dinucleotide binding";1,34685616;"      .";"      .";"";"negative regulation of canonical Wnt signaling pathway";-1,30654199;"      .";"      ."
64;"monocarboxylic acid transmembrane transporter activity";1,34494421;"      .";"      .";"";"membrane fusion";-1,303777;"      .";"      ."
65;"monocarboxylic acid transport";1,34494421;"      .";"      .";"";"SNARE complex";-1,28852398;"      .";"      ."
66;"positive regulation of GTPase activity";1,33932529;"      .";"      .";"";"hemoglobin complex";-1,28057167;"      .";"      ."
67;"fatty acid beta-oxidation";1,3295415;"      .";"      .";"";"phospholipase C-activating G-protein coupled receptor signaling pathway";-1,27385982;"      .";"      ."
68;"regulation of autophagy";1,30943067;"      .";"      .";"";"detection of chemical stimulus involved in sensory perception";-1,25913695;"      .";"      ."
